reward,config/num_envs,config/num_steps,config/num_minibatches,config/alpha,config/update_epochs,config/target_network_frequency,config/beta,config/policy_lr_start,config/q_lr_start,config/use_kl_loss,config/target_network,config/anneal_lr,config/saddle_point_optimization,config/policy_activation,config/num_hidden_layers,config/hidden_size,config/q_activation,config/q_hidden_size,config/q_num_hidden_layers,config/q_optimizer,config/actor_optimizer,config/eps
361.0606053670247,4,256,8,8,100,0,0.0070811761546232,0.0022370478556036,0.0023558824219659,False,False,False,True,ReLU,4,128,Tanh,128,4,SGD,Adam,1e-08
350.49275334676105,4,256,8,8,100,0,0.0070811743188819,0.0022370473599393,0.002355881927337,False,False,False,True,ReLU,4,128,Tanh,128,4,SGD,Adam,1e-08
219.73118273417154,4,256,8,4,100,0,0.0070811743188819,0.0022370473599393,0.002355881927337,False,False,True,True,ReLU,4,128,Sigmoid,64,4,SGD,Adam,1e-08
212.06098429361978,4,500,16,4,100,0,0.0010895657073113,0.0013724658538368,0.0021548737955805,False,False,False,True,ReLU,4,128,Tanh,128,4,SGD,Adam,1e-08
201.6812489827474,4,256,16,8,100,0,0.005423826287188,0.0022370473599393,0.0028338493546576,False,False,True,True,ReLU,4,128,Tanh,64,4,SGD,Adam,1e-08
193.1486956278483,4,500,16,8,100,0,0.0147056836477028,0.0033023375974123,0.0032391955320066,False,False,True,True,Tanh,4,64,Sigmoid,512,4,SGD,Adam,1e-08
189.56890996297201,4,256,16,8,100,0,0.0103452886061031,0.0007763799585411,0.0003922641184298,False,False,False,True,ReLU,4,128,Sigmoid,64,4,SGD,Adam,1e-08
178.65828641255698,4,256,4,4,100,0,0.0247801373663108,0.0099660629393699,0.0006630623401,False,False,False,True,ReLU,2,64,Tanh,128,2,Adam,Adam,1e-08
170.51977411905924,4,256,8,8,100,0,0.0012515413599804,0.0043715274971536,0.0022536016640079,False,False,False,True,ReLU,4,128,Tanh,128,2,Adam,Adam,0.0001
160.35262743631998,4,256,8,8,100,0,0.0070811743188819,0.0022370473599393,0.0025654336717627,False,False,False,True,ReLU,4,128,Tanh,64,4,SGD,Adam,1e-08
156.13556543986002,4,500,16,8,100,0,0.0031898757932615,0.0020329340003745,0.0012165094945877,False,False,False,True,ReLU,2,64,Tanh,128,4,SGD,Adam,1e-08
155.43714872996011,4,256,8,4,100,0,0.049433382164582,0.0012058595392962,0.0060162324731346,False,False,True,True,ReLU,4,512,Tanh,128,2,Adam,Adam,0.0001
153.56508127848306,4,500,8,8,100,0,0.0068826087425571,0.0060322993051946,0.0016505371164089,False,False,True,True,ReLU,4,64,Tanh,128,4,SGD,Adam,0.0001
152.34850152333578,4,256,16,12,100,0,0.017665531292749,0.0019264964335137,0.0015663499268556,False,False,False,True,ReLU,2,128,Tanh,128,4,SGD,Adam,1e-08
147.4370371500651,4,256,8,8,100,0,0.007381465170434,0.0021665995255475,0.0024478444964087,False,False,False,True,ReLU,4,128,Tanh,128,4,Adam,Adam,1e-08
142.79864883422852,4,500,8,8,100,0,0.00957626484447,0.0014707185448531,0.0003290013044864,False,False,False,True,ReLU,4,64,Tanh,64,2,SGD,Adam,1e-08
141.89314715067545,4,256,4,8,100,0,0.0978613160370742,0.0009423021535318,0.0042513225752574,False,False,False,True,ReLU,4,512,Tanh,128,2,Adam,Adam,1e-08
119.97936312357585,4,500,16,8,100,0,0.0077646854688007,0.0002001560718592,0.0024767378350217,False,False,False,True,ReLU,4,128,Tanh,128,4,SGD,Adam,1e-08
106.41363016764323,4,128,8,12,100,0,0.0184533003553362,0.0021459165356135,0.0009914456133874,False,False,True,True,ReLU,2,64,Tanh,128,4,Adam,Adam,1e-08
100.49864641825359,4,256,8,8,50,0,0.0100237412886744,0.0014998313859825,0.000372146166667,False,False,True,True,ReLU,2,128,Tanh,128,2,Adam,Adam,1e-08
98.68624305725098,4,256,8,4,100,0,0.0049300242640488,0.0045919307740138,0.000661848245345,False,False,False,True,ReLU,4,128,Tanh,128,4,SGD,Adam,1e-08
79.49943987528484,4,500,8,12,100,0,0.0118168935603815,0.0022021412751664,0.0007595757122497,False,False,True,True,Tanh,4,128,Sigmoid,64,4,SGD,Adam,1e-08
73.09763876597087,4,256,4,4,10,0,0.033414820703513,0.0015065317007372,0.0002072814755426,False,False,True,True,Tanh,2,64,Tanh,128,2,Adam,Adam,0.0001
