"Step","charts/episodic_return","LunarLander-v2__dqn__3__1712515488 - charts/episodic_return__MIN","LunarLander-v2__dqn__3__1712515488 - charts/episodic_return__MAX"
"1","-115.47169494628906","-115.47169494628906","-115.47169494628906"
"2","-71.81842041015625","-71.81842041015625","-71.81842041015625"
"3","-419.8825378417969","-419.8825378417969","-419.8825378417969"
"4","-375.40478515625","-375.40478515625","-375.40478515625"
"5","-189.1275634765625","-189.1275634765625","-189.1275634765625"
"6","-268.80535888671875","-268.80535888671875","-268.80535888671875"
"7","-509.6888427734375","-509.6888427734375","-509.6888427734375"
"8","-289.7690124511719","-289.7690124511719","-289.7690124511719"
"9","-374.1411437988281","-374.1411437988281","-374.1411437988281"
"10","-138.63465881347656","-138.63465881347656","-138.63465881347656"
"11","-200.16275024414062","-200.16275024414062","-200.16275024414062"
"12","-275.98370361328125","-275.98370361328125","-275.98370361328125"
"13","-471.8603210449219","-471.8603210449219","-471.8603210449219"
"14","-8.249015808105469","-8.249015808105469","-8.249015808105469"
"15","-88.74310302734375","-88.74310302734375","-88.74310302734375"
"16","-340.19573974609375","-340.19573974609375","-340.19573974609375"
"17","-94.5070571899414","-94.5070571899414","-94.5070571899414"
"18","-71.36334991455078","-71.36334991455078","-71.36334991455078"
"19","-105.08582305908203","-105.08582305908203","-105.08582305908203"
"20","-112.16557312011719","-112.16557312011719","-112.16557312011719"
"21","-218.35406494140625","-218.35406494140625","-218.35406494140625"
"22","-258.92767333984375","-258.92767333984375","-258.92767333984375"
"23","-165.68154907226562","-165.68154907226562","-165.68154907226562"
"24","-136.17034912109375","-136.17034912109375","-136.17034912109375"
"25","-263.0873107910156","-263.0873107910156","-263.0873107910156"
"26","-138.84954833984375","-138.84954833984375","-138.84954833984375"
"27","-389.7426452636719","-389.7426452636719","-389.7426452636719"
"28","-117.03675842285156","-117.03675842285156","-117.03675842285156"
"29","-161.48495483398438","-161.48495483398438","-161.48495483398438"
"30","-162.69454956054688","-162.69454956054688","-162.69454956054688"
"31","-99.18013000488281","-99.18013000488281","-99.18013000488281"
"32","-338.3417053222656","-338.3417053222656","-338.3417053222656"
"33","-135.82342529296875","-135.82342529296875","-135.82342529296875"
"34","-100.1651611328125","-100.1651611328125","-100.1651611328125"
"35","-104.19254302978516","-104.19254302978516","-104.19254302978516"
"36","-78.00780487060547","-78.00780487060547","-78.00780487060547"
"37","-422.9285888671875","-422.9285888671875","-422.9285888671875"
"38","-365.7471008300781","-365.7471008300781","-365.7471008300781"
"39","-122.71908569335938","-122.71908569335938","-122.71908569335938"
"40","-7.830841064453125","-7.830841064453125","-7.830841064453125"
"41","-208.93870544433594","-208.93870544433594","-208.93870544433594"
"42","-12.986312866210938","-12.986312866210938","-12.986312866210938"
"43","-114.35816955566406","-114.35816955566406","-114.35816955566406"
"44","-65.17008972167969","-65.17008972167969","-65.17008972167969"
"45","-75.54133605957031","-75.54133605957031","-75.54133605957031"
"46","-168.7024688720703","-168.7024688720703","-168.7024688720703"
"47","-292.9349365234375","-292.9349365234375","-292.9349365234375"
"48","-99.28974914550781","-99.28974914550781","-99.28974914550781"
"49","-135.42665100097656","-135.42665100097656","-135.42665100097656"
"50","-96.09513092041016","-96.09513092041016","-96.09513092041016"
"51","-246.9404296875","-246.9404296875","-246.9404296875"
"52","-126.93883514404297","-126.93883514404297","-126.93883514404297"
"53","-263.0648193359375","-263.0648193359375","-263.0648193359375"
"54","-107.85517883300781","-107.85517883300781","-107.85517883300781"
"55","-329.85162353515625","-329.85162353515625","-329.85162353515625"
"56","-558.6451416015625","-558.6451416015625","-558.6451416015625"
"57","-387.7220153808594","-387.7220153808594","-387.7220153808594"
"58","-65.60617065429688","-65.60617065429688","-65.60617065429688"
"59","-198.13107299804688","-198.13107299804688","-198.13107299804688"
"60","-113.7056655883789","-113.7056655883789","-113.7056655883789"
"61","-186.1781463623047","-186.1781463623047","-186.1781463623047"
"62","-354.18768310546875","-354.18768310546875","-354.18768310546875"
"63","-354.49871826171875","-354.49871826171875","-354.49871826171875"
"64","-19.56383514404297","-19.56383514404297","-19.56383514404297"
"65","-244.2695770263672","-244.2695770263672","-244.2695770263672"
"66","-148.14846801757812","-148.14846801757812","-148.14846801757812"
