,Step,Reward
0,105.0,-210.750732421875
1,225.0,-166.3968048095703
2,347.0,-97.31078338623047
3,436.0,-183.27432250976562
4,522.0,-156.7636260986328
5,581.0,-86.63626098632812
6,683.0,-353.49658203125
7,782.0,-303.4482421875
8,888.0,-266.61627197265625
9,995.0,-260.5318603515625
10,1103.0,-259.51702880859375
11,1165.0,-124.00301361083984
12,1240.0,-196.68679809570312
13,1309.0,-89.80867004394531
14,1442.0,-151.24169921875
15,1548.0,-87.9049072265625
16,1655.0,-305.7587890625
17,1728.0,-156.503173828125
18,1824.0,-124.43740844726562
19,1891.0,-246.6401824951172
20,1989.0,-412.10552978515625
21,2083.0,-428.8958435058594
22,2198.0,-103.17694091796875
23,2304.0,-149.76959228515625
24,2384.0,-120.94486999511719
25,2476.0,-172.46664428710938
26,2580.0,-212.30752563476562
27,2687.0,-96.937744140625
28,2788.0,-251.241943359375
29,2903.0,-171.49081420898438
30,2972.0,-108.5058364868164
31,3085.0,-289.84521484375
32,3201.0,-233.5958251953125
33,3315.0,-346.7024841308594
34,3440.0,12.9410400390625
35,3522.0,-134.00350952148438
36,3597.0,-45.01250457763672
37,3690.0,-408.02667236328125
38,3783.0,-275.2872314453125
39,3842.0,-120.93614196777344
40,3939.0,-281.0245666503906
41,4001.0,-205.18785095214844
42,4096.0,-97.61268615722656
43,4179.0,-404.075439453125
44,4249.0,-84.40890502929688
45,4328.0,-253.80685424804688
46,4436.0,-271.6349792480469
47,4526.0,-436.7590637207031
48,4624.0,-131.105224609375
49,4697.0,-111.50081634521484
50,4780.0,-154.41973876953125
51,4878.0,-442.53253173828125
52,4982.0,-251.16522216796875
53,5070.0,-102.60408020019531
54,5161.0,-429.9208679199219
55,5270.0,-25.18646240234375
56,5381.0,-269.42877197265625
57,5465.0,-234.1486358642578
58,5548.0,-219.40347290039062
59,5656.0,-187.12806701660156
60,5757.0,-115.58448028564453
61,5843.0,-412.8787841796875
62,5955.0,-84.16154479980469
63,6051.0,-143.53555297851562
64,6114.0,-106.68584442138672
65,6174.0,-154.76390075683594
66,6244.0,-169.45225524902344
67,6351.0,-12.356605529785156
68,6420.0,-31.765274047851562
69,6478.0,-125.47224426269531
70,6560.0,-204.15884399414062
71,6642.0,-300.3086242675781
72,6748.0,-140.31027221679688
73,6842.0,-134.41986083984375
74,6914.0,-112.00414276123047
75,7023.0,-127.17323303222656
76,7091.0,-264.8914794921875
77,7193.0,-352.8797607421875
78,7266.0,-191.17752075195312
79,7367.0,-154.98641967773438
80,7454.0,-71.25011444091797
81,7529.0,-199.14126586914062
82,7597.0,-209.17286682128906
83,7667.0,-85.36005401611328
84,7766.0,-70.75379943847656
85,7859.0,-418.26361083984375
86,7969.0,-208.79501342773438
87,8031.0,-99.38304901123047
88,8129.0,-312.5397644042969
89,8192.0,-116.74580383300781
90,8304.0,-89.68245697021484
91,8407.0,-280.6279296875
92,8477.0,-103.1609878540039
93,8589.0,-191.5418701171875
94,8681.0,-114.03101348876953
95,8773.0,-117.10430145263672
96,8850.0,-286.94293212890625
97,8913.0,-105.53119659423828
98,9001.0,-246.18446350097656
99,9098.0,-155.31463623046875
100,9191.0,-98.85570526123047
101,9305.0,-25.879302978515625
102,9413.0,-135.79098510742188
103,9538.0,-177.01800537109375
104,9594.0,-86.4082260131836
105,9705.0,-169.62411499023438
106,9804.0,-478.32757568359375
107,9891.0,-140.94696044921875
108,10009.0,-118.3392562866211
109,10082.0,-379.54986572265625
110,10152.0,-239.60107421875
111,10242.0,-377.24493408203125
112,10350.0,-418.4264831542969
113,10411.0,-99.05461120605469
114,10568.0,-350.5149841308594
115,10643.0,-56.11055374145508
116,10710.0,-132.3631591796875
117,10794.0,-452.5358581542969
118,10864.0,-19.604644775390625
119,10933.0,-123.16966247558594
120,11013.0,-189.64439392089844
121,11105.0,-436.5614318847656
122,11202.0,-129.6308135986328
123,11275.0,-126.60810852050781
124,11355.0,-266.5098876953125
125,11471.0,-338.7585144042969
126,11558.0,-128.95266723632812
127,11664.0,-37.593074798583984
128,11770.0,-294.74749755859375
129,11890.0,-107.07798767089844
130,11995.0,-488.26361083984375
131,12085.0,-149.6631622314453
132,12156.0,-68.68291473388672
133,12271.0,-303.68768310546875
134,12396.0,-132.8023223876953
135,12474.0,-150.30235290527344
136,12570.0,-315.0291442871094
137,12688.0,-437.7122802734375
138,12784.0,-88.0028076171875
139,12922.0,-274.3838806152344
140,13031.0,40.65873718261719
141,13143.0,-89.10765075683594
142,13265.0,-150.06918334960938
143,13384.0,-550.7073974609375
144,13489.0,-98.27076721191406
145,13587.0,-230.3600311279297
146,13692.0,-330.7716064453125
147,13774.0,-85.46458435058594
148,13890.0,-368.53094482421875
149,14005.0,-76.41209411621094
150,14084.0,-301.6683349609375
151,15084.0,9.28465747833252
152,15187.0,-91.4144058227539
153,15275.0,-117.56242370605469
154,15345.0,-49.12113571166992
155,15472.0,-111.40501403808594
156,15574.0,-274.0622863769531
157,15643.0,-215.99815368652344
158,15729.0,-300.4930419921875
159,15817.0,-424.4178771972656
160,15924.0,-260.57232666015625
161,16008.0,-259.8233947753906
162,16081.0,-122.86483764648438
163,16153.0,-234.74822998046875
164,16269.0,-281.2174072265625
165,16372.0,-252.77188110351562
166,16555.0,-298.04205322265625
167,16652.0,-355.7034606933594
168,16736.0,-161.48387145996094
169,16860.0,-150.146240234375
170,16939.0,-135.79281616210938
171,17014.0,-75.49064636230469
172,17141.0,-314.7364501953125
173,17241.0,-82.67311096191406
174,17378.0,-96.88459777832031
175,17501.0,-405.2436218261719
176,17577.0,-230.56163024902344
177,17724.0,-262.3191223144531
178,17867.0,-54.886863708496094
179,17957.0,-75.99942016601562
180,18066.0,-259.03338623046875
181,18200.0,-381.84613037109375
182,18266.0,-52.90192794799805
183,18367.0,-137.6011962890625
184,18465.0,-267.83905029296875
185,18583.0,-118.48019409179688
186,18691.0,-184.3211669921875
187,18806.0,-117.15711975097656
188,18958.0,-87.69195556640625
189,19081.0,-223.36776733398438
190,19184.0,-142.65878295898438
191,19299.0,-212.8041229248047
192,19401.0,-301.76422119140625
193,19519.0,-227.29672241210938
194,19619.0,-454.99468994140625
195,19751.0,-171.9984130859375
196,19827.0,-105.8852310180664
197,19930.0,-12.359817504882812
198,20069.0,-259.43023681640625
199,20175.0,-69.28193664550781
200,20327.0,-144.9585418701172
201,20428.0,-293.4544677734375
202,20552.0,-106.95933532714844
203,20665.0,-72.56040954589844
204,20750.0,-112.24518585205078
205,20838.0,-114.5018081665039
206,20972.0,-144.50282287597656
207,21090.0,-336.50390625
208,21182.0,-171.83102416992188
209,21304.0,-333.08538818359375
210,21395.0,-173.16357421875
211,21563.0,-300.52239990234375
212,21710.0,-68.41433715820312
213,21806.0,-200.85975646972656
214,21963.0,-143.56182861328125
215,22059.0,-5.104164123535156
216,22133.0,14.469375610351562
217,22305.0,-97.06544494628906
218,22433.0,-98.17493438720703
219,22527.0,-181.38351440429688
220,22613.0,-154.59075927734375
221,22772.0,-107.96646118164062
222,22836.0,-189.0514678955078
223,22956.0,-70.15930938720703
224,23055.0,-50.40873718261719
225,23164.0,-103.21707916259766
226,23273.0,-64.78367614746094
227,23348.0,-82.52534484863281
228,23425.0,-46.67537307739258
229,23543.0,-245.400390625
230,23632.0,-87.76071166992188
231,23755.0,-113.89663696289062
232,23828.0,-123.58918762207031
233,23945.0,-302.62188720703125
234,24945.0,29.67165756225586
235,25047.0,-260.65447998046875
236,25201.0,-217.17779541015625
237,25325.0,-21.34381103515625
238,25410.0,-73.85562896728516
239,25512.0,-78.99983978271484
240,25686.0,-42.44770812988281
241,25772.0,-143.31427001953125
242,25880.0,-153.9018096923828
243,25983.0,-109.04297637939453
244,26090.0,-90.77281188964844
245,26165.0,-100.63018798828125
246,26315.0,-137.01791381835938
247,26406.0,-185.62725830078125
248,26488.0,-101.08219909667969
249,26589.0,-115.85134887695312
250,26691.0,-191.02249145507812
251,26764.0,-199.19442749023438
252,26843.0,-93.352783203125
253,26953.0,8.342491149902344
254,27044.0,16.888137817382812
255,27180.0,-237.093017578125
256,27331.0,-167.17588806152344
257,27414.0,-145.5688018798828
258,27536.0,-148.49685668945312
259,27621.0,-82.96038055419922
260,27757.0,-208.51312255859375
261,27837.0,-129.23602294921875
262,27952.0,-107.50262451171875
263,28073.0,-65.86943054199219
264,28200.0,-1.4626388549804688
265,28311.0,-209.39208984375
266,28428.0,-12.621742248535156
267,28510.0,-122.50926208496094
268,28668.0,-75.26753234863281
269,28752.0,-104.03577423095703
270,28896.0,-355.41961669921875
271,29009.0,-128.2598114013672
272,29105.0,-104.2677993774414
273,29278.0,-148.99771118164062
274,29409.0,-123.25382232666016
275,29534.0,-228.7087860107422
276,29669.0,-110.26595306396484
277,29859.0,-204.91778564453125
278,29998.0,-93.36997985839844
279,30084.0,-91.92508697509766
280,30170.0,-122.75823211669922
281,30260.0,-166.83221435546875
282,30418.0,-38.685123443603516
283,30497.0,-31.804595947265625
284,30609.0,-117.46122741699219
285,30726.0,-127.8783187866211
286,30850.0,-23.54863739013672
287,30961.0,-112.75093841552734
288,31049.0,-48.665992736816406
289,31176.0,-213.74801635742188
290,31277.0,-94.20508575439453
291,31442.0,-171.64212036132812
292,31606.0,-84.55355072021484
293,31711.0,-159.17132568359375
294,31790.0,-67.5679931640625
295,31923.0,-183.50860595703125
296,32062.0,-149.29205322265625
297,32186.0,-121.5652847290039
298,32302.0,-169.49697875976562
299,32471.0,37.06146240234375
300,32600.0,-153.8406982421875
301,32707.0,1.7069549560546875
302,32808.0,-88.45111083984375
303,32895.0,-234.63636779785156
304,32973.0,-75.47711944580078
305,33136.0,-197.70755004882812
306,33250.0,-138.31275939941406
307,33416.0,-189.58860778808594
308,33537.0,-191.21310424804688
309,33672.0,-165.20944213867188
310,33815.0,-241.42630004882812
311,33903.0,-93.75904083251953
312,34059.0,-79.32402801513672
313,34175.0,-128.63404846191406
314,34300.0,-153.0298309326172
315,34418.0,-152.7382049560547
316,34561.0,-110.46451568603516
317,34683.0,-108.51602172851562
318,34831.0,-133.33436584472656
319,34982.0,-123.93362426757812
320,35090.0,-71.55569458007812
321,35198.0,-107.69718933105469
322,35306.0,-136.07211303710938
323,35427.0,-137.71812438964844
324,35553.0,-164.304931640625
325,35651.0,-177.02830505371094
326,35745.0,-133.79522705078125
327,35916.0,-85.04779052734375
328,36034.0,-153.96133422851562
329,36178.0,-217.1881103515625
330,36272.0,-54.58143615722656
331,36431.0,-96.83902740478516
332,36613.0,-104.64772033691406
333,36806.0,-241.28799438476562
334,36900.0,-153.3827362060547
335,37039.0,-16.231170654296875
336,37136.0,-135.00921630859375
337,37232.0,-119.6402359008789
338,37298.0,-167.73045349121094
339,37472.0,-119.97720336914062
340,37564.0,-43.57231140136719
341,37697.0,-317.2544860839844
342,37846.0,-184.7581787109375
343,37947.0,-84.61383819580078
344,38084.0,-370.2976989746094
345,38209.0,-6.7158050537109375
346,38338.0,-131.57183837890625
347,38424.0,-98.4844970703125
348,38609.0,-137.7190399169922
349,38711.0,-82.74418640136719
350,38812.0,-132.6778564453125
351,38913.0,-139.15191650390625
352,39059.0,-128.01535034179688
353,39144.0,-140.05865478515625
354,39270.0,-88.32928466796875
355,39372.0,-142.10690307617188
356,39466.0,-134.0990447998047
357,39652.0,-116.501220703125
358,39815.0,-104.6533203125
359,39938.0,-73.92745971679688
360,40080.0,-53.23206329345703
361,40159.0,-103.85069274902344
362,40286.0,-133.05105590820312
363,40443.0,-85.58068084716797
364,40589.0,-73.62714385986328
365,40713.0,-122.66149139404297
366,40842.0,-119.31026458740234
367,40973.0,-139.87611389160156
368,41055.0,-7.033905029296875
369,41144.0,-131.74972534179688
370,41330.0,-155.63624572753906
371,41435.0,-130.71559143066406
372,41530.0,-76.81049346923828
373,41611.0,-131.89378356933594
374,41739.0,-135.97918701171875
375,41866.0,-224.88104248046875
376,41965.0,-23.13092041015625
377,42114.0,-120.66439819335938
378,42261.0,-35.20257568359375
379,42379.0,7.220695495605469
380,42538.0,-148.51454162597656
381,42659.0,7.042442321777344
382,42813.0,-121.39117431640625
383,42914.0,-109.70818328857422
384,42992.0,-60.60236358642578
385,43124.0,-145.67254638671875
386,43254.0,-80.94198608398438
387,43370.0,-84.57196044921875
388,43588.0,-139.22793579101562
389,43731.0,-51.15966033935547
390,43892.0,-125.10211181640625
391,44013.0,-49.31755447387695
392,44101.0,-75.2607192993164
393,44297.0,-45.01349639892578
394,44376.0,-126.0663833618164
395,44500.0,-158.43777465820312
396,44741.0,-103.22499084472656
397,44867.0,-94.36248779296875
398,45006.0,-97.99014282226562
399,45151.0,-275.9248046875
400,45375.0,-59.717491149902344
401,45535.0,0.31671905517578125
402,45621.0,-38.78520965576172
403,45712.0,-69.86361694335938
404,45900.0,-11.379669189453125
405,46075.0,-84.8441162109375
