trial_id,reward,timestamp,checkpoint_dir_name,done,training_iteration,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/exp_name,config/seed,config/torch_deterministic,config/cuda,config/track,config/wandb_project_name,config/wandb_entity,config/capture_video,config/env_id,config/eta,config/total_timesteps,config/num_envs,config/tau,config/gamma,config/num_steps,config/num_minibatches,config/alpha,config/update_epochs,config/target_network_frequency,config/beta,config/policy_lr_start,config/q_lr_start,config/use_kl_loss,config/target_network,config/anneal_lr,config/q_histogram,config/saddle_point_optimization,config/parametrized_sampler,config/policy_activation,config/num_hidden_layers,config/hidden_size,config/q_activation,config/q_hidden_size,config/q_num_hidden_layers,config/q_optimizer,config/actor_optimizer,config/eps,config/batch_size,config/minibatch_size,config/num_iterations,config/__trial_index__
54c73767,-111.0,1713826661,,True,13,2024-04-23_00-57-41,70.38288378715515,769.2705342769623,85147,Nicolass-iMac.technicolor.net,127.0.0.1,769.2705342769623,13,"1_trial_index=0,actor_optimizer=Adam,alpha=8,anneal_lr=True,batch_size=0,beta=0.0329,capture_video=False,cuda=True,env_id=CartPole-v1,eps=0.0000,eta=None,exp_name=QREPS,gamma=0.9900,hidden_size=512,minibatch_size=0,num_envs=4,num_hidden_layers=2,num_iterations=0,num_minibatches=8,num_steps=500,parametrized_sampler=False,policy_activation=Tanh,policy_lr_start=0.0002,q_activation=Tanh,q_hidden_size=512,q_histogram=False,q_lr_start=0.0003,q_num_hidden_layers=4,q_optimizer=SGD,saddle_point_optimization=True,seed=0,target_network=True,target_network_frequency=12,tau=1.0000,torch_deterministic=True,total_timesteps=50000,track=False,update_epochs=100,use_kl_loss=True,wandb_entity=None,wandb_project_name=CC",QREPS,0,True,True,False,CC,,False,CartPole-v1,,50000,4,1.0,0.99,500,8,8,100,12,0.03287405917106645,0.00017065836363539482,0.0003268848925737053,True,True,True,False,True,False,Tanh,2,512,Tanh,512,4,SGD,Adam,1e-08,0,0,0,0
cbc9a93b,-111.0,1713826770,,True,15,2024-04-23_00-59-30,7.265100002288818,875.8414571285248,85149,Nicolass-iMac.technicolor.net,127.0.0.1,875.8414571285248,15,"2_trial_index=1,actor_optimizer=Adam,alpha=8,anneal_lr=True,batch_size=0,beta=0.0329,capture_video=False,cuda=True,env_id=CartPole-v1,eps=0.0000,eta=None,exp_name=QREPS,gamma=0.9900,hidden_size=512,minibatch_size=0,num_envs=4,num_hidden_layers=2,num_iterations=0,num_minibatches=8,num_steps=500,parametrized_sampler=False,policy_activation=Tanh,policy_lr_start=0.0002,q_activation=Tanh,q_hidden_size=512,q_histogram=False,q_lr_start=0.0003,q_num_hidden_layers=4,q_optimizer=SGD,saddle_point_optimization=True,seed=0,target_network=True,target_network_frequency=12,tau=1.0000,torch_deterministic=True,total_timesteps=50000,track=False,update_epochs=100,use_kl_loss=True,wandb_entity=None,wandb_project_name=CC",QREPS,0,True,True,False,CC,,False,CartPole-v1,,50000,4,1.0,0.99,500,8,8,100,12,0.03287405917106645,0.00017065836363539482,0.0003268848925737053,True,True,True,False,True,False,Tanh,2,512,Tanh,512,4,SGD,Adam,1e-08,0,0,0,1
09f18dc4,-111.0,1713825912,,True,10,2024-04-23_00-45-12,0.5616500377655029,17.06499147415161,85150,Nicolass-iMac.technicolor.net,127.0.0.1,17.06499147415161,10,"3_trial_index=0,actor_optimizer=Adam,alpha=4,anneal_lr=False,batch_size=0,beta=0.0013,capture_video=False,cuda=True,env_id=CartPole-v1,eps=0.0001,eta=None,exp_name=QREPS,gamma=0.9900,hidden_size=128,minibatch_size=0,num_envs=4,num_hidden_layers=4,num_iterations=0,num_minibatches=8,num_steps=128,parametrized_sampler=False,policy_activation=ReLU,policy_lr_start=0.0213,q_activation=ReLU,q_hidden_size=128,q_histogram=False,q_lr_start=0.0136,q_num_hidden_layers=2,q_optimizer=SGD,saddle_point_optimization=True,seed=0,target_network=False,target_network_frequency=6,tau=1.0000,torch_deterministic=True,total_timesteps=50000,track=False,update_epochs=50,use_kl_loss=False,wandb_entity=None,wandb_project_name=CC",QREPS,0,True,True,False,CC,,False,CartPole-v1,,50000,4,1.0,0.99,128,8,4,50,6,0.0013403573520227089,0.021313303659966233,0.013627968583933428,False,False,False,False,True,False,ReLU,4,128,ReLU,128,2,SGD,Adam,0.0001,0,0,0,0
d73322fe,-111.0,1713825908,,True,7,2024-04-23_00-45-08,0.4376678466796875,10.948436737060547,85153,Nicolass-iMac.technicolor.net,127.0.0.1,10.948436737060547,7,"4_trial_index=1,actor_optimizer=Adam,alpha=4,anneal_lr=False,batch_size=0,beta=0.0013,capture_video=False,cuda=True,env_id=CartPole-v1,eps=0.0001,eta=None,exp_name=QREPS,gamma=0.9900,hidden_size=128,minibatch_size=0,num_envs=4,num_hidden_layers=4,num_iterations=0,num_minibatches=8,num_steps=128,parametrized_sampler=False,policy_activation=ReLU,policy_lr_start=0.0213,q_activation=ReLU,q_hidden_size=128,q_histogram=False,q_lr_start=0.0136,q_num_hidden_layers=2,q_optimizer=SGD,saddle_point_optimization=True,seed=0,target_network=False,target_network_frequency=6,tau=1.0000,torch_deterministic=True,total_timesteps=50000,track=False,update_epochs=50,use_kl_loss=False,wandb_entity=None,wandb_project_name=CC",QREPS,0,True,True,False,CC,,False,CartPole-v1,,50000,4,1.0,0.99,128,8,4,50,6,0.0013403573520227089,0.021313303659966233,0.013627968583933428,False,False,False,False,True,False,ReLU,4,128,ReLU,128,2,SGD,Adam,0.0001,0,0,0,1
dfbd907f,21.46875,1713826045,,True,25,2024-04-23_00-47-25,7.061305046081543,145.88493967056274,85154,Nicolass-iMac.technicolor.net,127.0.0.1,145.88493967056274,25,"5_trial_index=0,actor_optimizer=Adam,alpha=4,anneal_lr=False,batch_size=0,beta=0.0001,capture_video=False,cuda=True,env_id=CartPole-v1,eps=0.0000,eta=None,exp_name=QREPS,gamma=0.9900,hidden_size=128,minibatch_size=0,num_envs=4,num_hidden_layers=2,num_iterations=0,num_minibatches=16,num_steps=500,parametrized_sampler=False,policy_activation=ReLU,policy_lr_start=0.0031,q_activation=ReLU,q_hidden_size=128,q_histogram=False,q_lr_start=0.0014,q_num_hidden_layers=2,q_optimizer=SGD,saddle_point_optimization=True,seed=0,target_network=False,target_network_frequency=2,tau=1.0000,torch_deterministic=True,total_timesteps=50000,track=False,update_epochs=50,use_kl_loss=False,wandb_entity=None,wandb_project_name=CC",QREPS,0,True,True,False,CC,,False,CartPole-v1,,50000,4,1.0,0.99,500,16,4,50,2,0.00010063409448757965,0.0031365398642172527,0.0013987574619787363,False,False,False,False,True,False,ReLU,2,128,ReLU,128,2,SGD,Adam,1e-08,0,0,0,0
56a27ba1,284.20001220703125,1713826055,,True,25,2024-04-23_00-47-35,14.984456062316895,153.44334292411804,85155,Nicolass-iMac.technicolor.net,127.0.0.1,153.44334292411804,25,"6_trial_index=1,actor_optimizer=Adam,alpha=4,anneal_lr=False,batch_size=0,beta=0.0001,capture_video=False,cuda=True,env_id=CartPole-v1,eps=0.0000,eta=None,exp_name=QREPS,gamma=0.9900,hidden_size=128,minibatch_size=0,num_envs=4,num_hidden_layers=2,num_iterations=0,num_minibatches=16,num_steps=500,parametrized_sampler=False,policy_activation=ReLU,policy_lr_start=0.0031,q_activation=ReLU,q_hidden_size=128,q_histogram=False,q_lr_start=0.0014,q_num_hidden_layers=2,q_optimizer=SGD,saddle_point_optimization=True,seed=0,target_network=False,target_network_frequency=2,tau=1.0000,torch_deterministic=True,total_timesteps=50000,track=False,update_epochs=50,use_kl_loss=False,wandb_entity=None,wandb_project_name=CC",QREPS,0,True,True,False,CC,,False,CartPole-v1,,50000,4,1.0,0.99,500,16,4,50,2,0.00010063409448757965,0.0031365398642172527,0.0013987574619787363,False,False,False,False,True,False,ReLU,2,128,ReLU,128,2,SGD,Adam,1e-08,0,0,0,1
9e08299a,-111.0,1713825908,,True,8,2024-04-23_00-45-08,0.1970231533050537,4.231657028198242,85161,Nicolass-iMac.technicolor.net,127.0.0.1,4.231657028198242,8,"7_trial_index=0,actor_optimizer=Adam,alpha=12,anneal_lr=True,batch_size=0,beta=0.0139,capture_video=False,cuda=True,env_id=CartPole-v1,eps=0.0001,eta=None,exp_name=QREPS,gamma=0.9900,hidden_size=64,minibatch_size=0,num_envs=4,num_hidden_layers=4,num_iterations=0,num_minibatches=4,num_steps=128,parametrized_sampler=False,policy_activation=Tanh,policy_lr_start=0.0100,q_activation=Tanh,q_hidden_size=64,q_histogram=False,q_lr_start=0.0898,q_num_hidden_layers=4,q_optimizer=SGD,saddle_point_optimization=True,seed=0,target_network=True,target_network_frequency=6,tau=1.0000,torch_deterministic=True,total_timesteps=50000,track=False,update_epochs=10,use_kl_loss=True,wandb_entity=None,wandb_project_name=CC",QREPS,0,True,True,False,CC,,False,CartPole-v1,,50000,4,1.0,0.99,128,4,12,10,6,0.013876707044771177,0.010033837173288379,0.08980050521114716,True,True,True,False,True,False,Tanh,4,64,Tanh,64,4,SGD,Adam,0.0001,0,0,0,0
b8659a60,-111.0,1713825911,,True,9,2024-04-23_00-45-11,0.021007061004638672,5.183947324752808,85164,Nicolass-iMac.technicolor.net,127.0.0.1,5.183947324752808,9,"8_trial_index=1,actor_optimizer=Adam,alpha=12,anneal_lr=True,batch_size=0,beta=0.0139,capture_video=False,cuda=True,env_id=CartPole-v1,eps=0.0001,eta=None,exp_name=QREPS,gamma=0.9900,hidden_size=64,minibatch_size=0,num_envs=4,num_hidden_layers=4,num_iterations=0,num_minibatches=4,num_steps=128,parametrized_sampler=False,policy_activation=Tanh,policy_lr_start=0.0100,q_activation=Tanh,q_hidden_size=64,q_histogram=False,q_lr_start=0.0898,q_num_hidden_layers=4,q_optimizer=SGD,saddle_point_optimization=True,seed=0,target_network=True,target_network_frequency=6,tau=1.0000,torch_deterministic=True,total_timesteps=50000,track=False,update_epochs=10,use_kl_loss=True,wandb_entity=None,wandb_project_name=CC",QREPS,0,True,True,False,CC,,False,CartPole-v1,,50000,4,1.0,0.99,128,4,12,10,6,0.013876707044771177,0.010033837173288379,0.08980050521114716,True,True,True,False,True,False,Tanh,4,64,Tanh,64,4,SGD,Adam,0.0001,0,0,0,1
06b3b813,32.4375,1713826160,,True,97,2024-04-23_00-49-20,2.211794853210449,246.93499207496643,85169,Nicolass-iMac.technicolor.net,127.0.0.1,246.93499207496643,97,"9_trial_index=0,actor_optimizer=Adam,alpha=8,anneal_lr=False,batch_size=0,beta=0.0067,capture_video=False,cuda=True,env_id=CartPole-v1,eps=0.0001,eta=None,exp_name=QREPS,gamma=0.9900,hidden_size=128,minibatch_size=0,num_envs=4,num_hidden_layers=2,num_iterations=0,num_minibatches=4,num_steps=128,parametrized_sampler=False,policy_activation=Tanh,policy_lr_start=0.0006,q_activation=Tanh,q_hidden_size=64,q_histogram=False,q_lr_start=0.0034,q_num_hidden_layers=4,q_optimizer=SGD,saddle_point_optimization=True,seed=0,target_network=False,target_network_frequency=2,tau=1.0000,torch_deterministic=True,total_timesteps=50000,track=False,update_epochs=50,use_kl_loss=False,wandb_entity=None,wandb_project_name=CC",QREPS,0,True,True,False,CC,,False,CartPole-v1,,50000,4,1.0,0.99,128,4,8,50,2,0.006653953550426112,0.0006020563729821366,0.003363906417885394,False,False,False,False,True,False,Tanh,2,128,Tanh,64,4,SGD,Adam,0.0001,0,0,0,0
4a1ff0f3,41.33333206176758,1713826151,,True,97,2024-04-23_00-49-11,2.0447328090667725,236.20952892303467,85175,Nicolass-iMac.technicolor.net,127.0.0.1,236.20952892303467,97,"10_trial_index=1,actor_optimizer=Adam,alpha=8,anneal_lr=False,batch_size=0,beta=0.0067,capture_video=False,cuda=True,env_id=CartPole-v1,eps=0.0001,eta=None,exp_name=QREPS,gamma=0.9900,hidden_size=128,minibatch_size=0,num_envs=4,num_hidden_layers=2,num_iterations=0,num_minibatches=4,num_steps=128,parametrized_sampler=False,policy_activation=Tanh,policy_lr_start=0.0006,q_activation=Tanh,q_hidden_size=64,q_histogram=False,q_lr_start=0.0034,q_num_hidden_layers=4,q_optimizer=SGD,saddle_point_optimization=True,seed=0,target_network=False,target_network_frequency=2,tau=1.0000,torch_deterministic=True,total_timesteps=50000,track=False,update_epochs=50,use_kl_loss=False,wandb_entity=None,wandb_project_name=CC",QREPS,0,True,True,False,CC,,False,CartPole-v1,,50000,4,1.0,0.99,128,4,8,50,2,0.006653953550426112,0.0006020563729821366,0.003363906417885394,False,False,False,False,True,False,Tanh,2,128,Tanh,64,4,SGD,Adam,0.0001,0,0,0,1
