,Step,Reward
0,113.0,-195.88372802734375
1,213.0,-103.99038696289062
2,287.0,-34.888885498046875
3,347.0,-83.82638549804688
4,417.0,-181.15911865234375
5,528.0,-93.22158813476562
6,610.0,-360.3467712402344
7,715.0,-104.94258880615234
8,846.0,-199.33767700195312
9,918.0,-111.11080932617188
10,980.0,-95.00667572021484
11,1047.0,-104.34307098388672
12,1146.0,-129.16192626953125
13,1242.0,-204.70361328125
14,1344.0,-382.0060119628906
15,1419.0,-386.95916748046875
16,1516.0,-233.62139892578125
17,1599.0,-109.4642105102539
18,1686.0,-145.6472930908203
19,1762.0,-98.51400756835938
20,1871.0,-76.41346740722656
21,1954.0,-106.1157455444336
22,2072.0,-176.98541259765625
23,2204.0,-357.67730712890625
24,2323.0,-254.9543914794922
25,2468.0,-104.1922378540039
26,2531.0,11.731544494628906
27,2649.0,-142.6547393798828
28,2805.0,-438.6859436035156
29,2889.0,-99.66529846191406
30,3013.0,-305.7962341308594
31,3100.0,-104.53482055664062
32,3186.0,-41.21112823486328
33,3267.0,-225.25433349609375
34,3347.0,-311.7651062011719
35,3437.0,-237.00852966308594
36,3518.0,-298.09271240234375
37,3617.0,-430.3631896972656
38,3703.0,-136.72470092773438
39,3819.0,-323.33184814453125
40,3937.0,-188.45973205566406
41,4015.0,-158.71066284179688
42,4137.0,-102.14710998535156
43,4239.0,-336.31884765625
44,4314.0,-132.67501831054688
45,4432.0,-224.50942993164062
46,4533.0,-87.1011962890625
47,4665.0,-355.13909912109375
48,4729.0,-127.17460632324219
49,4833.0,-292.56622314453125
50,4901.0,-423.57220458984375
51,5024.0,-173.78860473632812
52,5136.0,-159.06019592285156
53,5228.0,-444.8095397949219
54,5336.0,-376.6683349609375
55,5399.0,-57.07500457763672
56,5518.0,-293.7041015625
57,5588.0,-107.26893615722656
58,5656.0,-119.97154235839844
59,5720.0,-69.65922546386719
60,5844.0,-310.2747497558594
61,5908.0,-171.1906280517578
62,6009.0,-433.0165710449219
63,6151.0,-174.6092529296875
64,6219.0,-93.36691284179688
65,6337.0,-88.37759399414062
66,6447.0,-435.6964111328125
67,6510.0,-161.68653869628906
68,6619.0,-234.4232177734375
69,6731.0,-77.85735321044922
70,6830.0,-319.36846923828125
71,6889.0,-102.26112365722656
72,6960.0,-129.02890014648438
73,7052.0,-95.1694107055664
74,7161.0,-288.96826171875
75,7288.0,-351.9437255859375
76,7352.0,-123.75106048583984
77,7425.0,-69.48368835449219
78,7479.0,-132.0255584716797
79,7540.0,-80.14869689941406
80,7634.0,-193.64666748046875
81,7739.0,-287.1559753417969
82,7823.0,-114.83744812011719
83,7888.0,-118.47710418701172
84,7957.0,-142.4522705078125
85,8060.0,-427.1794128417969
86,8159.0,-312.08056640625
87,8242.0,-248.12310791015625
88,8302.0,-94.82080841064453
89,8428.0,-220.55218505859375
90,8541.0,-178.18893432617188
91,8632.0,-198.1392364501953
92,8748.0,-74.12933349609375
93,8840.0,-391.8142395019531
94,8930.0,-310.18975830078125
95,9002.0,-59.91278839111328
96,9073.0,-182.123046875
97,9140.0,-218.38320922851562
98,9244.0,-321.05572509765625
99,9336.0,-142.04278564453125
100,9433.0,-282.7410583496094
101,9496.0,-72.89952087402344
102,9597.0,-208.26266479492188
103,9704.0,-55.379058837890625
104,9770.0,-83.82709503173828
105,9846.0,-173.3415069580078
106,9955.0,-432.0152893066406
107,10016.0,-115.35894775390625
108,10148.0,-138.32447814941406
109,10224.0,-99.33168029785156
110,10301.0,47.4906005859375
111,10423.0,-356.8080749511719
112,10543.0,-231.6566925048828
113,10631.0,-59.99433135986328
114,10756.0,-334.11602783203125
115,10809.0,-230.2621307373047
116,10913.0,-330.84088134765625
117,10991.0,-207.66236877441406
118,11108.0,-168.5740966796875
119,11183.0,-67.84944152832031
120,11261.0,-44.07362747192383
121,11324.0,-182.18646240234375
122,11390.0,-83.20466613769531
123,11456.0,-134.23643493652344
124,11559.0,-300.03814697265625
125,11622.0,-70.77425384521484
126,11736.0,-265.019287109375
127,11807.0,-105.55878448486328
128,11900.0,-134.9988250732422
129,12009.0,-443.9132995605469
130,12115.0,-257.06707763671875
131,12180.0,-80.34257507324219
132,12286.0,-111.45414733886719
133,12366.0,-111.47551727294922
134,12438.0,-148.00021362304688
135,12527.0,-115.15474700927734
136,12634.0,-277.102294921875
137,12701.0,-257.3768310546875
138,12809.0,-131.6460723876953
139,12893.0,-91.66282653808594
140,13007.0,-189.21530151367188
141,13133.0,-212.13027954101562
142,13193.0,-105.8531494140625
143,13268.0,-119.03855895996094
144,13336.0,-91.07561492919922
145,13438.0,-150.31661987304688
146,13565.0,-246.16204833984375
147,13641.0,-108.35746765136719
148,13703.0,-90.92594146728516
149,13784.0,-54.286293029785156
150,13849.0,-103.8052749633789
151,13910.0,-116.5074462890625
152,14009.0,-151.0047607421875
153,14147.0,-138.26492309570312
154,14208.0,-84.08892822265625
155,14296.0,-177.46829223632812
156,14403.0,-499.7483215332031
157,14506.0,-463.96417236328125
158,14573.0,-48.357582092285156
159,14664.0,-475.62261962890625
160,14769.0,-150.70233154296875
161,14866.0,-163.89805603027344
162,14967.0,-349.23040771484375
163,15039.0,-150.57931518554688
164,15112.0,-151.20567321777344
165,15172.0,-74.77127838134766
166,15269.0,-95.69436645507812
167,15372.0,-85.3633041381836
168,15490.0,-83.00827026367188
169,15583.0,-261.90716552734375
170,15721.0,-73.87333679199219
171,15858.0,-218.89907836914062
172,15938.0,-270.485595703125
173,16069.0,-173.20147705078125
174,16193.0,-271.3078308105469
175,16339.0,-69.54662322998047
176,16416.0,-82.163818359375
177,16497.0,-75.23989868164062
178,16584.0,-8.161994934082031
179,16675.0,-181.16029357910156
180,16742.0,-66.5419692993164
181,16827.0,-184.60537719726562
182,16893.0,-74.06593322753906
183,16970.0,-112.56327819824219
184,17061.0,-126.36773681640625
185,17165.0,-329.27880859375
186,17244.0,-293.11187744140625
187,17322.0,-185.92030334472656
188,17425.0,-370.0521240234375
189,17496.0,-153.30764770507812
190,17603.0,-180.27313232421875
191,17697.0,-103.4705581665039
192,17788.0,-151.85696411132812
193,17911.0,-357.45599365234375
194,18035.0,-141.75384521484375
195,18155.0,-380.3149108886719
196,18246.0,-92.17801666259766
197,18317.0,-204.0943603515625
198,18402.0,35.28985595703125
199,18506.0,-115.81277465820312
200,18602.0,-84.56975555419922
201,18686.0,-116.90487670898438
202,18792.0,-387.3950500488281
203,18892.0,-143.41751098632812
204,18979.0,-176.20626831054688
205,19078.0,-397.48785400390625
206,19173.0,-192.3195343017578
207,19292.0,-355.5263977050781
208,19381.0,-314.0240173339844
209,19467.0,-81.56250762939453
210,19600.0,-390.6479797363281
211,19704.0,-370.9784851074219
212,19770.0,-113.50341033935547
213,19845.0,-7.9687042236328125
214,19955.0,-255.47413635253906
215,20060.0,-210.03997802734375
216,20138.0,-544.211669921875
217,20318.0,-260.9800109863281
218,20407.0,-310.41729736328125
219,20510.0,-276.45489501953125
220,20623.0,-244.9781494140625
221,20722.0,-255.8941192626953
222,20872.0,-109.56304931640625
223,21872.0,46.34428787231445
224,22039.0,-247.58258056640625
225,22153.0,-8.726585388183594
226,22259.0,-47.54079055786133
227,22422.0,22.722679138183594
228,22532.0,19.74700927734375
229,23532.0,62.829803466796875
230,24532.0,62.286598205566406
231,25532.0,34.51986312866211
232,26532.0,-16.613391876220703
233,27532.0,-2.1795802116394043
234,28532.0,-50.355525970458984
235,29028.0,-76.40095520019531
236,30028.0,2.221564769744873
237,31028.0,-40.73987579345703
238,32028.0,-55.24974822998047
239,32211.0,-55.13243865966797
240,33211.0,-53.90691375732422
241,34211.0,-84.88076782226562
242,35211.0,-58.87902069091797
243,36211.0,-74.74505615234375
244,37211.0,-75.57839965820312
245,38211.0,-43.90167999267578
246,39211.0,18.543798446655273
247,40211.0,5.825655937194824
248,41211.0,-32.82046127319336
249,42211.0,-35.92369079589844
250,43211.0,-5.151050567626953
251,44211.0,-70.0379638671875
252,45083.0,-81.71621704101562
253,46083.0,3.076425075531006
254,47083.0,53.55439758300781
255,48000.0,140.25177001953125
256,49000.0,85.59625244140625
257,50000.0,71.39794921875
258,50437.0,-48.57185745239258
259,51437.0,64.22801971435547
260,52437.0,45.491214752197266
261,53437.0,1.12227201461792
262,54437.0,85.5666732788086
263,55437.0,13.290176391601562
264,56437.0,18.964292526245117
265,57437.0,-5.020630836486816
266,58437.0,19.33761215209961
267,59437.0,85.03115844726562
268,60437.0,88.6622543334961
269,61437.0,9.833687782287598
270,62437.0,51.7899284362793
271,63437.0,-13.542949676513672
272,64437.0,90.87603759765625
273,65327.0,120.21498107910156
274,66327.0,-8.773246765136719
275,67327.0,1.795081615447998
276,68327.0,66.58499145507812
277,69327.0,3.5207836627960205
278,70327.0,77.35920715332031
279,71327.0,118.1831283569336
280,72299.0,198.8572540283203
281,73299.0,10.873028755187988
282,74299.0,35.30785369873047
283,75299.0,94.5396957397461
284,75655.0,-10.837234497070312
285,75854.0,-20.613922119140625
286,76854.0,42.05431365966797
287,77854.0,49.66292190551758
288,78854.0,-3.576434850692749
289,79854.0,-33.67060470581055
290,80854.0,78.5196304321289
291,81854.0,-46.82265090942383
292,82854.0,82.30493927001953
293,83854.0,3.5498206615448
294,84303.0,-96.16844940185547
295,85303.0,-17.52341079711914
296,86303.0,48.30350112915039
297,87303.0,30.564495086669922
298,87846.0,186.80279541015625
299,88846.0,-35.931156158447266
300,89846.0,89.515380859375
301,90846.0,2.491518974304199
302,91846.0,132.5297088623047
303,92846.0,-5.740846157073975
304,93846.0,53.63716125488281
305,94665.0,-116.52263641357422
306,95160.0,208.70645141601562
307,96160.0,105.12813568115234
308,97160.0,14.428465843200684
309,98160.0,-83.11627960205078
310,99158.0,123.97917175292969
