trial_id,reward,timestamp,checkpoint_dir_name,done,training_iteration,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/exp_name,config/seed,config/torch_deterministic,config/cuda,config/track,config/wandb_project_name,config/wandb_entity,config/capture_video,config/env_id,config/total_timesteps,config/num_updates,config/buffer_size,config/update_epochs,config/update_policy_epochs,config/num_rollouts,config/num_envs,config/gamma,config/policy_lr_start,config/q_lr_start,config/q_lr_end,config/policy_lr_end,config/alpha,config/eta,config/beta,config/autotune,config/target_entropy_scale,config/use_linear_schedule,config/saddle_point_optimization,config/use_kl_loss,config/__trial_index__
e0ac7f8b,11.6,1711814243,,True,30,2024-03-30_16-57-23,1.3557779788970947,31.461108922958374,33784,Nicolass-Air.technicolor.net,127.0.0.1,31.461108922958374,30,"1_trial_index=0,alpha=0.5000,autotune=True,beta=0.0020,buffer_size=10000,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=0.9900,num_envs=4,num_rollouts=5,num_updates=30,policy_lr_end=0.0000,policy_lr_start=0.0025,q_lr_end=0.0010,q_lr_start=0.0025,saddle_point_optimization=True,seed=1,target_entropy_scale=0.5000,torch_deterministic=True,total_timesteps=500,track=False,update_epochs=5,update_policy_epochs=300,use_kl_loss=True,use_linear_schedule=True,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,CartPole-v1,500,30,10000,5,300,5,4,0.99,0.0025,0.0025,0.001,1e-05,0.5,,0.002,True,0.5,True,True,True,0
37491cda,8.0,1711814225,,True,30,2024-03-30_16-57-05,0.27301788330078125,8.005894899368286,33791,Nicolass-Air.technicolor.net,127.0.0.1,8.005894899368286,30,"2_trial_index=0,alpha=4.0000,autotune=False,beta=0.0100,buffer_size=10000,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=0.9900,num_envs=1,num_rollouts=5,num_updates=30,policy_lr_end=0.0002,policy_lr_start=0.0200,q_lr_end=0.0002,q_lr_start=0.0200,saddle_point_optimization=False,seed=1,target_entropy_scale=0.3500,torch_deterministic=True,total_timesteps=500,track=False,update_epochs=100,update_policy_epochs=50,use_kl_loss=False,use_linear_schedule=False,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,CartPole-v1,500,30,10000,100,50,5,1,0.99,0.02,0.02,0.0002,0.0002,4.0,,0.01,False,0.35,False,False,False,0
d62d72b0,28.4,1711814624,,True,30,2024-03-30_17-03-44,308.31272196769714,400.07286977767944,33799,Nicolass-Air.technicolor.net,127.0.0.1,400.07286977767944,30,"3_trial_index=0,alpha=6.0000,autotune=False,beta=0.0100,buffer_size=10000,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=0.9900,num_envs=4,num_rollouts=5,num_updates=30,policy_lr_end=0.0002,policy_lr_start=0.0025,q_lr_end=0.0000,q_lr_start=0.1000,saddle_point_optimization=True,seed=1,target_entropy_scale=0.2000,torch_deterministic=True,total_timesteps=500,track=False,update_epochs=50,update_policy_epochs=450,use_kl_loss=True,use_linear_schedule=False,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,CartPole-v1,500,30,10000,50,450,5,4,0.99,0.0025,0.1,1e-05,0.0002,6.0,,0.01,False,0.2,False,True,True,0
dd3b589c,16.0,1711814252,,True,30,2024-03-30_16-57-32,0.9714529514312744,26.963546991348267,33791,Nicolass-Air.technicolor.net,127.0.0.1,26.963546991348267,30,"4_trial_index=0,alpha=2.0000,autotune=True,beta=0.0000,buffer_size=10000,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=0.9900,num_envs=1,num_rollouts=5,num_updates=30,policy_lr_end=0.0010,policy_lr_start=0.0200,q_lr_end=0.0002,q_lr_start=0.0005,saddle_point_optimization=False,seed=1,target_entropy_scale=0.8900,torch_deterministic=True,total_timesteps=500,track=False,update_epochs=50,update_policy_epochs=300,use_kl_loss=False,use_linear_schedule=True,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,CartPole-v1,500,30,10000,50,300,5,1,0.99,0.02,0.0005,0.0002,0.001,2.0,,4e-05,True,0.89,True,False,False,0
319cb7f3,43.2,1711814296,,True,30,2024-03-30_16-58-16,2.6192729473114014,62.992666482925415,33814,Nicolass-Air.technicolor.net,127.0.0.1,62.992666482925415,30,"5_trial_index=0,alpha=4.0000,autotune=False,beta=0.0100,buffer_size=10000,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=0.9900,num_envs=1,num_rollouts=5,num_updates=30,policy_lr_end=0.0002,policy_lr_start=0.0200,q_lr_end=0.0010,q_lr_start=0.0005,saddle_point_optimization=True,seed=1,target_entropy_scale=0.2000,torch_deterministic=True,total_timesteps=500,track=False,update_epochs=50,update_policy_epochs=450,use_kl_loss=False,use_linear_schedule=True,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,CartPole-v1,500,30,10000,50,450,5,1,0.99,0.02,0.0005,0.001,0.0002,4.0,,0.01,False,0.2,True,True,False,0
ee3eb67f,40.0,1711814624,,True,30,2024-03-30_17-03-44,308.04950284957886,383.41239380836487,33821,Nicolass-Air.technicolor.net,127.0.0.1,383.41239380836487,30,"6_trial_index=0,alpha=0.5000,autotune=True,beta=0.0020,buffer_size=10000,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=0.9900,num_envs=4,num_rollouts=5,num_updates=30,policy_lr_end=0.0010,policy_lr_start=0.0025,q_lr_end=0.0002,q_lr_start=0.1000,saddle_point_optimization=False,seed=1,target_entropy_scale=0.8900,torch_deterministic=True,total_timesteps=500,track=False,update_epochs=50,update_policy_epochs=300,use_kl_loss=True,use_linear_schedule=False,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,CartPole-v1,500,30,10000,50,300,5,4,0.99,0.0025,0.1,0.0002,0.001,0.5,,0.002,True,0.89,False,False,True,0
87971b06,8.0,1711814278,,True,30,2024-03-30_16-57-58,0.8894369602203369,34.2252836227417,33784,Nicolass-Air.technicolor.net,127.0.0.1,34.2252836227417,30,"7_trial_index=0,alpha=0.2000,autotune=True,beta=0.0020,buffer_size=10000,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=0.9900,num_envs=1,num_rollouts=5,num_updates=30,policy_lr_end=0.0000,policy_lr_start=0.1000,q_lr_end=0.0000,q_lr_start=0.0200,saddle_point_optimization=True,seed=1,target_entropy_scale=0.5000,torch_deterministic=True,total_timesteps=500,track=False,update_epochs=100,update_policy_epochs=300,use_kl_loss=False,use_linear_schedule=False,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,CartPole-v1,500,30,10000,100,300,5,1,0.99,0.1,0.02,1e-05,1e-05,0.2,,0.002,True,0.5,False,True,False,0
c212b75b,13.6,1711814263,,True,30,2024-03-30_16-57-43,0.3495330810546875,10.70110034942627,33831,Nicolass-Air.technicolor.net,127.0.0.1,10.70110034942627,30,"8_trial_index=0,alpha=2.0000,autotune=False,beta=0.1000,buffer_size=10000,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=0.9900,num_envs=4,num_rollouts=5,num_updates=30,policy_lr_end=0.0002,policy_lr_start=0.0005,q_lr_end=0.0002,q_lr_start=0.0025,saddle_point_optimization=False,seed=1,target_entropy_scale=0.3500,torch_deterministic=True,total_timesteps=500,track=False,update_epochs=5,update_policy_epochs=50,use_kl_loss=True,use_linear_schedule=True,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,CartPole-v1,500,30,10000,5,50,5,4,0.99,0.0005,0.0025,0.0002,0.0002,2.0,,0.1,False,0.35,True,False,True,0
9d2cda36,10.0,1711814295,,True,30,2024-03-30_16-58-15,1.2809231281280518,42.507779359817505,33791,Nicolass-Air.technicolor.net,127.0.0.1,42.507779359817505,30,"9_trial_index=0,alpha=4.0000,autotune=True,beta=0.0100,buffer_size=10000,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=0.9900,num_envs=1,num_rollouts=5,num_updates=30,policy_lr_end=0.0002,policy_lr_start=0.0025,q_lr_end=0.0002,q_lr_start=0.0200,saddle_point_optimization=False,seed=1,target_entropy_scale=0.3500,torch_deterministic=True,total_timesteps=500,track=False,update_epochs=5,update_policy_epochs=450,use_kl_loss=False,use_linear_schedule=True,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,CartPole-v1,500,30,10000,5,450,5,1,0.99,0.0025,0.02,0.0002,0.0002,4.0,,0.01,True,0.35,True,False,False,0
4c78dbe7,8.0,1711814633,,True,30,2024-03-30_17-03-53,0.7969698905944824,371.31608057022095,33839,Nicolass-Air.technicolor.net,127.0.0.1,371.31608057022095,30,"10_trial_index=0,alpha=0.5000,autotune=False,beta=0.0000,buffer_size=10000,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=0.9900,num_envs=4,num_rollouts=5,num_updates=30,policy_lr_end=0.0010,policy_lr_start=0.0200,q_lr_end=0.0000,q_lr_start=0.0025,saddle_point_optimization=True,seed=1,target_entropy_scale=0.5000,torch_deterministic=True,total_timesteps=500,track=False,update_epochs=100,update_policy_epochs=300,use_kl_loss=True,use_linear_schedule=False,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,CartPole-v1,500,30,10000,100,300,5,4,0.99,0.02,0.0025,1e-05,0.001,0.5,,4e-05,False,0.5,False,True,True,0
85a434c6,9.0,1711814294,,True,30,2024-03-30_16-58-14,0.8249950408935547,30.68851590156555,33831,Nicolass-Air.technicolor.net,127.0.0.1,30.68851590156555,30,"11_trial_index=0,alpha=0.2000,autotune=False,beta=0.0020,buffer_size=10000,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=0.9900,num_envs=1,num_rollouts=5,num_updates=30,policy_lr_end=0.0000,policy_lr_start=0.0005,q_lr_end=0.0002,q_lr_start=0.0025,saddle_point_optimization=False,seed=1,target_entropy_scale=0.5000,torch_deterministic=True,total_timesteps=500,track=False,update_epochs=50,update_policy_epochs=300,use_kl_loss=False,use_linear_schedule=False,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,CartPole-v1,500,30,10000,50,300,5,1,0.99,0.0005,0.0025,0.0002,1e-05,0.2,,0.002,False,0.5,False,False,False,0
10a507cc,42.0,1711814670,,True,30,2024-03-30_17-04-30,1.6630468368530273,36.92315983772278,33784,Nicolass-Air.technicolor.net,127.0.0.1,36.92315983772278,30,"12_trial_index=0,alpha=2.0000,autotune=True,beta=0.1000,buffer_size=10000,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=0.9900,num_envs=4,num_rollouts=5,num_updates=30,policy_lr_end=0.0002,policy_lr_start=0.1000,q_lr_end=0.0010,q_lr_start=0.0200,saddle_point_optimization=True,seed=1,target_entropy_scale=0.2000,torch_deterministic=True,total_timesteps=500,track=False,update_epochs=50,update_policy_epochs=50,use_kl_loss=True,use_linear_schedule=True,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,CartPole-v1,500,30,10000,50,50,5,4,0.99,0.1,0.02,0.001,0.0002,2.0,,0.1,True,0.2,True,True,True,0
16c6c5de,9.0,1711814669,,True,30,2024-03-30_17-04-29,1.0846049785614014,28.046240091323853,33983,Nicolass-Air.technicolor.net,127.0.0.1,28.046240091323853,30,"13_trial_index=0,alpha=0.5000,autotune=False,beta=0.0020,buffer_size=10000,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=0.9900,num_envs=4,num_rollouts=5,num_updates=30,policy_lr_end=0.0000,policy_lr_start=0.1000,q_lr_end=0.0002,q_lr_start=0.1000,saddle_point_optimization=False,seed=1,target_entropy_scale=0.8900,torch_deterministic=True,total_timesteps=500,track=False,update_epochs=50,update_policy_epochs=300,use_kl_loss=True,use_linear_schedule=True,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,CartPole-v1,500,30,10000,50,300,5,4,0.99,0.1,0.1,0.0002,1e-05,0.5,,0.002,False,0.89,True,False,True,0
6e468c95,19.0,1711814658,,True,30,2024-03-30_17-04-18,0.3323981761932373,11.436868906021118,33989,Nicolass-Air.technicolor.net,127.0.0.1,11.436868906021118,30,"14_trial_index=0,alpha=4.0000,autotune=True,beta=0.1000,buffer_size=10000,capture_video=False,cuda=True,env_id=CartPole-v1,eta=None,exp_name=QREPS,gamma=0.9900,num_envs=1,num_rollouts=5,num_updates=30,policy_lr_end=0.0002,policy_lr_start=0.0005,q_lr_end=0.0000,q_lr_start=0.0005,saddle_point_optimization=True,seed=1,target_entropy_scale=0.3500,torch_deterministic=True,total_timesteps=500,track=False,update_epochs=50,update_policy_epochs=50,use_kl_loss=False,use_linear_schedule=False,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,CartPole-v1,500,30,10000,50,50,5,1,0.99,0.0005,0.0005,1e-05,0.0002,4.0,,0.1,True,0.35,False,True,False,0
