trial_id,reward,timestamp,checkpoint_dir_name,done,training_iteration,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/exp_name,config/seed,config/torch_deterministic,config/cuda,config/track,config/wandb_project_name,config/wandb_entity,config/capture_video,config/env_id,config/total_timesteps,config/num_updates,config/buffer_size,config/update_epochs,config/update_policy_epochs,config/num_rollouts,config/num_envs,config/gamma,config/policy_lr_start,config/q_lr_start,config/q_lr_end,config/policy_lr_end,config/alpha,config/eta,config/beta,config/autotune,config/target_entropy_scale,config/use_linear_schedule,config/saddle_point_optimization,config/use_kl_loss,config/__trial_index__
f543fc29,-382.5204798451314,1712048268,,True,100,2024-04-02_10-57-48,1.815688133239746,273.6339063644409,41693,Nicolass-Air.technicolor.net,127.0.0.1,273.6339063644409,100,"1_trial_index=0,alpha=4,autotune=True,beta=0.0000,buffer_size=10000,capture_video=False,cuda=True,env_id=LunarLander-v2,eta=None,exp_name=QREPS,gamma=0.9900,num_envs=1,num_rollouts=5,num_updates=100,policy_lr_end=0.0010,policy_lr_start=0.0025,q_lr_end=0.0010,q_lr_start=0.1000,saddle_point_optimization=False,seed=1,target_entropy_scale=0.5000,torch_deterministic=True,total_timesteps=1000,track=False,update_epochs=50,update_policy_epochs=300,use_kl_loss=False,use_linear_schedule=True,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,LunarLander-v2,1000,100,10000,50,300,5,1,0.99,0.0025,0.1,0.001,0.001,4,,4e-05,True,0.5,True,False,False,0
6f47b620,-393.8193459229602,1712048103,,True,100,2024-04-02_10-55-03,0.9762842655181885,102.21396565437317,41708,Nicolass-Air.technicolor.net,127.0.0.1,102.21396565437317,100,"2_trial_index=0,alpha=2,autotune=True,beta=0.0000,buffer_size=10000,capture_video=False,cuda=True,env_id=LunarLander-v2,eta=None,exp_name=QREPS,gamma=0.9900,num_envs=1,num_rollouts=5,num_updates=100,policy_lr_end=0.0000,policy_lr_start=0.0200,q_lr_end=0.0000,q_lr_start=0.0200,saddle_point_optimization=True,seed=1,target_entropy_scale=0.3500,torch_deterministic=True,total_timesteps=1000,track=False,update_epochs=50,update_policy_epochs=50,use_kl_loss=True,use_linear_schedule=False,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,LunarLander-v2,1000,100,10000,50,50,5,1,0.99,0.02,0.02,1e-05,1e-05,2,,4e-05,True,0.35,False,True,True,0
fc18b8e8,0.0,1712048041,,True,34,2024-04-02_10-54-01,0.1690199375152588,34.639312982559204,41718,Nicolass-Air.technicolor.net,127.0.0.1,34.639312982559204,34,"3_trial_index=0,alpha=2,autotune=True,beta=0.0000,buffer_size=10000,capture_video=False,cuda=True,env_id=LunarLander-v2,eta=None,exp_name=QREPS,gamma=0.9900,num_envs=1,num_rollouts=5,num_updates=100,policy_lr_end=0.0000,policy_lr_start=0.0025,q_lr_end=0.0010,q_lr_start=0.1000,saddle_point_optimization=True,seed=1,target_entropy_scale=0.5000,torch_deterministic=True,total_timesteps=1000,track=False,update_epochs=50,update_policy_epochs=50,use_kl_loss=True,use_linear_schedule=False,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,LunarLander-v2,1000,100,10000,50,50,5,1,0.99,0.0025,0.1,0.001,1e-05,2,,4e-05,True,0.5,False,True,True,0
11d58d4a,0.0,1712048054,,True,26,2024-04-02_10-54-14,0.32938122749328613,40.94820022583008,41725,Nicolass-Air.technicolor.net,127.0.0.1,40.94820022583008,26,"4_trial_index=0,alpha=4,autotune=True,beta=0.0000,buffer_size=10000,capture_video=False,cuda=True,env_id=LunarLander-v2,eta=None,exp_name=QREPS,gamma=0.9900,num_envs=1,num_rollouts=5,num_updates=100,policy_lr_end=0.0010,policy_lr_start=0.0200,q_lr_end=0.0000,q_lr_start=0.0200,saddle_point_optimization=False,seed=1,target_entropy_scale=0.3500,torch_deterministic=True,total_timesteps=1000,track=False,update_epochs=50,update_policy_epochs=300,use_kl_loss=False,use_linear_schedule=True,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,LunarLander-v2,1000,100,10000,50,300,5,1,0.99,0.02,0.02,1e-05,0.001,4,,4e-05,True,0.35,True,False,False,0
7193122e,-37.37390091623456,1712048249,,True,100,2024-04-02_10-57-29,11.020998001098633,227.42610359191895,41733,Nicolass-Air.technicolor.net,127.0.0.1,227.42610359191895,100,"5_trial_index=0,alpha=4,autotune=True,beta=0.0000,buffer_size=10000,capture_video=False,cuda=True,env_id=LunarLander-v2,eta=None,exp_name=QREPS,gamma=0.9900,num_envs=1,num_rollouts=5,num_updates=100,policy_lr_end=0.0010,policy_lr_start=0.0025,q_lr_end=0.0000,q_lr_start=0.0200,saddle_point_optimization=True,seed=1,target_entropy_scale=0.5000,torch_deterministic=True,total_timesteps=1000,track=False,update_epochs=50,update_policy_epochs=300,use_kl_loss=True,use_linear_schedule=False,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,LunarLander-v2,1000,100,10000,50,300,5,1,0.99,0.0025,0.02,1e-05,0.001,4,,4e-05,True,0.5,False,True,True,0
e27ab9db,0.0,1712048031,,True,1,2024-04-02_10-53-51,1.222059965133667,1.222059965133667,41740,Nicolass-Air.technicolor.net,127.0.0.1,1.222059965133667,1,"6_trial_index=0,alpha=2,autotune=True,beta=0.0000,buffer_size=10000,capture_video=False,cuda=True,env_id=LunarLander-v2,eta=None,exp_name=QREPS,gamma=0.9900,num_envs=1,num_rollouts=5,num_updates=100,policy_lr_end=0.0000,policy_lr_start=0.0200,q_lr_end=0.0010,q_lr_start=0.1000,saddle_point_optimization=False,seed=1,target_entropy_scale=0.3500,torch_deterministic=True,total_timesteps=1000,track=False,update_epochs=50,update_policy_epochs=50,use_kl_loss=False,use_linear_schedule=True,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,LunarLander-v2,1000,100,10000,50,50,5,1,0.99,0.02,0.1,0.001,1e-05,2,,4e-05,True,0.35,True,False,False,0
2f89c8fd,0.0,1712048045,,True,18,2024-04-02_10-54-05,0.3970680236816406,13.450377941131592,41740,Nicolass-Air.technicolor.net,127.0.0.1,13.450377941131592,18,"7_trial_index=0,alpha=2,autotune=True,beta=0.0000,buffer_size=10000,capture_video=False,cuda=True,env_id=LunarLander-v2,eta=None,exp_name=QREPS,gamma=0.9900,num_envs=1,num_rollouts=5,num_updates=100,policy_lr_end=0.0000,policy_lr_start=0.0025,q_lr_end=0.0000,q_lr_start=0.0200,saddle_point_optimization=False,seed=1,target_entropy_scale=0.5000,torch_deterministic=True,total_timesteps=1000,track=False,update_epochs=50,update_policy_epochs=50,use_kl_loss=False,use_linear_schedule=True,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,LunarLander-v2,1000,100,10000,50,50,5,1,0.99,0.0025,0.02,1e-05,1e-05,2,,4e-05,True,0.5,True,False,False,0
f661adac,0.0,1712048251,,True,99,2024-04-02_10-57-31,0.49591803550720215,210.19244599342346,41750,Nicolass-Air.technicolor.net,127.0.0.1,210.19244599342346,99,"8_trial_index=0,alpha=4,autotune=True,beta=0.0000,buffer_size=10000,capture_video=False,cuda=True,env_id=LunarLander-v2,eta=None,exp_name=QREPS,gamma=0.9900,num_envs=1,num_rollouts=5,num_updates=100,policy_lr_end=0.0010,policy_lr_start=0.0200,q_lr_end=0.0010,q_lr_start=0.1000,saddle_point_optimization=True,seed=1,target_entropy_scale=0.3500,torch_deterministic=True,total_timesteps=1000,track=False,update_epochs=50,update_policy_epochs=300,use_kl_loss=True,use_linear_schedule=False,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,LunarLander-v2,1000,100,10000,50,300,5,1,0.99,0.02,0.1,0.001,0.001,4,,4e-05,True,0.35,False,True,True,0
486a54d9,0.0,1712048204,,True,97,2024-04-02_10-56-44,0.44184398651123047,162.6242916584015,41718,Nicolass-Air.technicolor.net,127.0.0.1,162.6242916584015,97,"9_trial_index=0,alpha=4,autotune=True,beta=0.0000,buffer_size=10000,capture_video=False,cuda=True,env_id=LunarLander-v2,eta=None,exp_name=QREPS,gamma=0.9900,num_envs=1,num_rollouts=5,num_updates=100,policy_lr_end=0.0000,policy_lr_start=0.0025,q_lr_end=0.0010,q_lr_start=0.0200,saddle_point_optimization=True,seed=1,target_entropy_scale=0.5000,torch_deterministic=True,total_timesteps=1000,track=False,update_epochs=50,update_policy_epochs=300,use_kl_loss=False,use_linear_schedule=False,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,LunarLander-v2,1000,100,10000,50,300,5,1,0.99,0.0025,0.02,0.001,1e-05,4,,4e-05,True,0.5,False,True,False,0
297f842a,0.0,1712048269,,True,1,2024-04-02_10-57-49,0.2999918460845947,0.2999918460845947,41740,Nicolass-Air.technicolor.net,127.0.0.1,0.2999918460845947,1,"10_trial_index=0,alpha=2,autotune=True,beta=0.0000,buffer_size=10000,capture_video=False,cuda=True,env_id=LunarLander-v2,eta=None,exp_name=QREPS,gamma=0.9900,num_envs=1,num_rollouts=5,num_updates=100,policy_lr_end=0.0010,policy_lr_start=0.0200,q_lr_end=0.0000,q_lr_start=0.1000,saddle_point_optimization=False,seed=1,target_entropy_scale=0.3500,torch_deterministic=True,total_timesteps=1000,track=False,update_epochs=50,update_policy_epochs=50,use_kl_loss=True,use_linear_schedule=True,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,LunarLander-v2,1000,100,10000,50,50,5,1,0.99,0.02,0.1,1e-05,0.001,2,,4e-05,True,0.35,True,False,True,0
78032d03,0.0,1712048273,,True,13,2024-04-02_10-57-53,0.20098471641540527,4.205240488052368,41740,Nicolass-Air.technicolor.net,127.0.0.1,4.205240488052368,13,"11_trial_index=0,alpha=2,autotune=True,beta=0.0000,buffer_size=10000,capture_video=False,cuda=True,env_id=LunarLander-v2,eta=None,exp_name=QREPS,gamma=0.9900,num_envs=1,num_rollouts=5,num_updates=100,policy_lr_end=0.0010,policy_lr_start=0.0025,q_lr_end=0.0010,q_lr_start=0.0200,saddle_point_optimization=False,seed=1,target_entropy_scale=0.5000,torch_deterministic=True,total_timesteps=1000,track=False,update_epochs=50,update_policy_epochs=50,use_kl_loss=True,use_linear_schedule=True,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,LunarLander-v2,1000,100,10000,50,50,5,1,0.99,0.0025,0.02,0.001,0.001,2,,4e-05,True,0.5,True,False,True,0
50badfb0,-393.8193459229602,1712048490,,True,100,2024-04-02_11-01-30,1.7368431091308594,215.62219142913818,41740,Nicolass-Air.technicolor.net,127.0.0.1,215.62219142913818,100,"12_trial_index=0,alpha=4,autotune=True,beta=0.0000,buffer_size=10000,capture_video=False,cuda=True,env_id=LunarLander-v2,eta=None,exp_name=QREPS,gamma=0.9900,num_envs=1,num_rollouts=5,num_updates=100,policy_lr_end=0.0000,policy_lr_start=0.0200,q_lr_end=0.0000,q_lr_start=0.1000,saddle_point_optimization=True,seed=1,target_entropy_scale=0.3500,torch_deterministic=True,total_timesteps=1000,track=False,update_epochs=50,update_policy_epochs=300,use_kl_loss=False,use_linear_schedule=False,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,LunarLander-v2,1000,100,10000,50,300,5,1,0.99,0.02,0.1,1e-05,1e-05,4,,4e-05,True,0.35,False,True,False,0
806ce0ea,-103.52248429205338,1712048510,,True,100,2024-04-02_11-01-50,1.5198159217834473,230.58563780784607,41909,Nicolass-Air.technicolor.net,127.0.0.1,230.58563780784607,100,"13_trial_index=0,alpha=4,autotune=True,beta=0.0000,buffer_size=10000,capture_video=False,cuda=True,env_id=LunarLander-v2,eta=None,exp_name=QREPS,gamma=0.9900,num_envs=1,num_rollouts=5,num_updates=100,policy_lr_end=0.0000,policy_lr_start=0.0025,q_lr_end=0.0000,q_lr_start=0.1000,saddle_point_optimization=False,seed=1,target_entropy_scale=0.5000,torch_deterministic=True,total_timesteps=1000,track=False,update_epochs=50,update_policy_epochs=300,use_kl_loss=True,use_linear_schedule=True,wandb_entity=TFG,wandb_project_name=QREPS_CartPole-v1",QREPS,1,True,True,False,QREPS_CartPole-v1,TFG,False,LunarLander-v2,1000,100,10000,50,300,5,1,0.99,0.0025,0.1,1e-05,1e-05,4,,4e-05,True,0.5,True,False,True,0
