reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
56.0,1711455058,,False,1,03b6a1c5,2024-03-26_13-10-58,3.7480010986328125,3.7480010986328125,96439,Nicolass-Air.technicolor.net,127.0.0.1,3.7480010986328125,1
72.0,1711455063,,False,2,03b6a1c5,2024-03-26_13-11-03,5.227294921875,8.975296020507812,96439,Nicolass-Air.technicolor.net,127.0.0.1,8.975296020507812,2
52.0,1711455067,,False,3,03b6a1c5,2024-03-26_13-11-07,3.9042131900787354,12.879509210586548,96439,Nicolass-Air.technicolor.net,127.0.0.1,12.879509210586548,3
53.0,1711455071,,False,4,03b6a1c5,2024-03-26_13-11-11,3.755957841873169,16.635467052459717,96439,Nicolass-Air.technicolor.net,127.0.0.1,16.635467052459717,4
55.0,1711455075,,False,5,03b6a1c5,2024-03-26_13-11-15,4.0084779262542725,20.64394497871399,96439,Nicolass-Air.technicolor.net,127.0.0.1,20.64394497871399,5
43.0,1711455078,,False,6,03b6a1c5,2024-03-26_13-11-18,3.51865291595459,24.16259789466858,96439,Nicolass-Air.technicolor.net,127.0.0.1,24.16259789466858,6
41.0,1711455082,,False,7,03b6a1c5,2024-03-26_13-11-22,3.183065176010132,27.34566307067871,96439,Nicolass-Air.technicolor.net,127.0.0.1,27.34566307067871,7
42.0,1711455085,,False,8,03b6a1c5,2024-03-26_13-11-25,3.195430040359497,30.541093111038208,96439,Nicolass-Air.technicolor.net,127.0.0.1,30.541093111038208,8
36.0,1711455088,,False,9,03b6a1c5,2024-03-26_13-11-28,2.7839767932891846,33.32506990432739,96439,Nicolass-Air.technicolor.net,127.0.0.1,33.32506990432739,9
36.0,1711455090,,False,10,03b6a1c5,2024-03-26_13-11-30,2.7440309524536133,36.069100856781006,96439,Nicolass-Air.technicolor.net,127.0.0.1,36.069100856781006,10
37.0,1711455093,,False,11,03b6a1c5,2024-03-26_13-11-33,2.8946540355682373,38.96375489234924,96439,Nicolass-Air.technicolor.net,127.0.0.1,38.96375489234924,11
38.0,1711455096,,False,12,03b6a1c5,2024-03-26_13-11-36,2.902268171310425,41.86602306365967,96439,Nicolass-Air.technicolor.net,127.0.0.1,41.86602306365967,12
38.0,1711455099,,False,13,03b6a1c5,2024-03-26_13-11-39,2.870274782180786,44.736297845840454,96439,Nicolass-Air.technicolor.net,127.0.0.1,44.736297845840454,13
37.0,1711455102,,False,14,03b6a1c5,2024-03-26_13-11-42,2.8992390632629395,47.635536909103394,96439,Nicolass-Air.technicolor.net,127.0.0.1,47.635536909103394,14
41.0,1711455105,,False,15,03b6a1c5,2024-03-26_13-11-45,3.049002170562744,50.68453907966614,96439,Nicolass-Air.technicolor.net,127.0.0.1,50.68453907966614,15
38.0,1711455108,,False,16,03b6a1c5,2024-03-26_13-11-48,3.0734331607818604,53.757972240448,96439,Nicolass-Air.technicolor.net,127.0.0.1,53.757972240448,16
40.0,1711455111,,False,17,03b6a1c5,2024-03-26_13-11-51,3.177832841873169,56.93580508232117,96439,Nicolass-Air.technicolor.net,127.0.0.1,56.93580508232117,17
37.0,1711455114,,False,18,03b6a1c5,2024-03-26_13-11-54,2.8715877532958984,59.807392835617065,96439,Nicolass-Air.technicolor.net,127.0.0.1,59.807392835617065,18
37.0,1711455117,,False,19,03b6a1c5,2024-03-26_13-11-57,2.962125062942505,62.76951789855957,96439,Nicolass-Air.technicolor.net,127.0.0.1,62.76951789855957,19
36.0,1711455120,,False,20,03b6a1c5,2024-03-26_13-12-00,2.9655628204345703,65.73508071899414,96439,Nicolass-Air.technicolor.net,127.0.0.1,65.73508071899414,20
40.0,1711455123,,False,21,03b6a1c5,2024-03-26_13-12-03,3.2884011268615723,69.02348184585571,96439,Nicolass-Air.technicolor.net,127.0.0.1,69.02348184585571,21
38.0,1711455126,,False,22,03b6a1c5,2024-03-26_13-12-06,3.127635955810547,72.15111780166626,96439,Nicolass-Air.technicolor.net,127.0.0.1,72.15111780166626,22
36.0,1711455129,,False,23,03b6a1c5,2024-03-26_13-12-09,3.0558061599731445,75.2069239616394,96439,Nicolass-Air.technicolor.net,127.0.0.1,75.2069239616394,23
39.0,1711455133,,False,24,03b6a1c5,2024-03-26_13-12-13,3.039794921875,78.2467188835144,96439,Nicolass-Air.technicolor.net,127.0.0.1,78.2467188835144,24
49.0,1711455136,,False,25,03b6a1c5,2024-03-26_13-12-16,3.5984981060028076,81.84521698951721,96439,Nicolass-Air.technicolor.net,127.0.0.1,81.84521698951721,25
