reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
49.5,1711454855,,False,1,0bba9823,2024-03-26_13-07-35,5.952955722808838,5.952955722808838,96388,Nicolass-Air.technicolor.net,127.0.0.1,5.952955722808838,1
40.0,1711454860,,False,2,0bba9823,2024-03-26_13-07-40,4.628060817718506,10.581016540527344,96388,Nicolass-Air.technicolor.net,127.0.0.1,10.581016540527344,2
41.0,1711454864,,False,3,0bba9823,2024-03-26_13-07-44,4.740917682647705,15.321934223175049,96388,Nicolass-Air.technicolor.net,127.0.0.1,15.321934223175049,3
37.0,1711454869,,False,4,0bba9823,2024-03-26_13-07-49,4.598351240158081,19.92028546333313,96388,Nicolass-Air.technicolor.net,127.0.0.1,19.92028546333313,4
37.5,1711454874,,False,5,0bba9823,2024-03-26_13-07-54,4.495913982391357,24.416199445724487,96388,Nicolass-Air.technicolor.net,127.0.0.1,24.416199445724487,5
38.5,1711454878,,False,6,0bba9823,2024-03-26_13-07-58,4.7472569942474365,29.163456439971924,96388,Nicolass-Air.technicolor.net,127.0.0.1,29.163456439971924,6
37.5,1711454883,,False,7,0bba9823,2024-03-26_13-08-03,4.24714994430542,33.410606384277344,96388,Nicolass-Air.technicolor.net,127.0.0.1,33.410606384277344,7
38.0,1711454887,,False,8,0bba9823,2024-03-26_13-08-07,4.588543891906738,37.99915027618408,96388,Nicolass-Air.technicolor.net,127.0.0.1,37.99915027618408,8
36.5,1711454892,,False,9,0bba9823,2024-03-26_13-08-12,4.337877035140991,42.33702731132507,96388,Nicolass-Air.technicolor.net,127.0.0.1,42.33702731132507,9
37.0,1711454896,,False,10,0bba9823,2024-03-26_13-08-16,4.392400026321411,46.729427337646484,96388,Nicolass-Air.technicolor.net,127.0.0.1,46.729427337646484,10
38.0,1711454900,,False,11,0bba9823,2024-03-26_13-08-20,4.306286096572876,51.03571343421936,96388,Nicolass-Air.technicolor.net,127.0.0.1,51.03571343421936,11
37.0,1711454905,,False,12,0bba9823,2024-03-26_13-08-25,4.458681106567383,55.49439454078674,96388,Nicolass-Air.technicolor.net,127.0.0.1,55.49439454078674,12
38.0,1711454909,,False,13,0bba9823,2024-03-26_13-08-29,4.541932821273804,60.03632736206055,96388,Nicolass-Air.technicolor.net,127.0.0.1,60.03632736206055,13
37.5,1711454914,,False,14,0bba9823,2024-03-26_13-08-34,4.5222039222717285,64.55853128433228,96388,Nicolass-Air.technicolor.net,127.0.0.1,64.55853128433228,14
38.0,1711454918,,False,15,0bba9823,2024-03-26_13-08-38,4.487524032592773,69.04605531692505,96388,Nicolass-Air.technicolor.net,127.0.0.1,69.04605531692505,15
37.0,1711454923,,False,16,0bba9823,2024-03-26_13-08-43,4.410086154937744,73.4561414718628,96388,Nicolass-Air.technicolor.net,127.0.0.1,73.4561414718628,16
37.5,1711454927,,False,17,0bba9823,2024-03-26_13-08-47,4.46125602722168,77.91739749908447,96388,Nicolass-Air.technicolor.net,127.0.0.1,77.91739749908447,17
38.5,1711454932,,False,18,0bba9823,2024-03-26_13-08-52,4.731522083282471,82.64891958236694,96388,Nicolass-Air.technicolor.net,127.0.0.1,82.64891958236694,18
38.5,1711454937,,False,19,0bba9823,2024-03-26_13-08-57,4.7425549030303955,87.39147448539734,96388,Nicolass-Air.technicolor.net,127.0.0.1,87.39147448539734,19
