reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
28.5,1711455741,,False,1,0bd35def,2024-03-26_13-22-21,3.008727788925171,3.008727788925171,96439,Nicolass-Air.technicolor.net,127.0.0.1,3.008727788925171,1
15.5,1711455743,,False,2,0bd35def,2024-03-26_13-22-23,2.116764783859253,5.125492572784424,96439,Nicolass-Air.technicolor.net,127.0.0.1,5.125492572784424,2
19.75,1711455746,,False,3,0bd35def,2024-03-26_13-22-26,2.308833599090576,7.434326171875,96439,Nicolass-Air.technicolor.net,127.0.0.1,7.434326171875,3
23.5,1711455748,,False,4,0bd35def,2024-03-26_13-22-28,2.588834047317505,10.023160219192505,96439,Nicolass-Air.technicolor.net,127.0.0.1,10.023160219192505,4
24.25,1711455751,,False,5,0bd35def,2024-03-26_13-22-31,2.6563570499420166,12.679517269134521,96439,Nicolass-Air.technicolor.net,127.0.0.1,12.679517269134521,5
11.0,1711455753,,False,6,0bd35def,2024-03-26_13-22-33,2.018704891204834,14.698222160339355,96439,Nicolass-Air.technicolor.net,127.0.0.1,14.698222160339355,6
12.5,1711455755,,False,7,0bd35def,2024-03-26_13-22-35,2.12774920463562,16.825971364974976,96439,Nicolass-Air.technicolor.net,127.0.0.1,16.825971364974976,7
12.25,1711455757,,False,8,0bd35def,2024-03-26_13-22-37,2.0604329109191895,18.886404275894165,96439,Nicolass-Air.technicolor.net,127.0.0.1,18.886404275894165,8
15.25,1711455759,,False,9,0bd35def,2024-03-26_13-22-39,2.1685283184051514,21.054932594299316,96439,Nicolass-Air.technicolor.net,127.0.0.1,21.054932594299316,9
31.25,1711455762,,False,10,0bd35def,2024-03-26_13-22-42,2.912536859512329,23.967469453811646,96439,Nicolass-Air.technicolor.net,127.0.0.1,23.967469453811646,10
28.0,1711455765,,False,11,0bd35def,2024-03-26_13-22-45,2.824404001235962,26.791873455047607,96439,Nicolass-Air.technicolor.net,127.0.0.1,26.791873455047607,11
24.25,1711455768,,False,12,0bd35def,2024-03-26_13-22-48,2.64760684967041,29.439480304718018,96439,Nicolass-Air.technicolor.net,127.0.0.1,29.439480304718018,12
11.0,1711455770,,False,13,0bd35def,2024-03-26_13-22-50,2.069164991378784,31.5086452960968,96439,Nicolass-Air.technicolor.net,127.0.0.1,31.5086452960968,13
9.75,1711455772,,False,14,0bd35def,2024-03-26_13-22-52,1.9365959167480469,33.44524121284485,96439,Nicolass-Air.technicolor.net,127.0.0.1,33.44524121284485,14
9.75,1711455773,,False,15,0bd35def,2024-03-26_13-22-53,1.866670846939087,35.311912059783936,96439,Nicolass-Air.technicolor.net,127.0.0.1,35.311912059783936,15
9.5,1711455775,,False,16,0bd35def,2024-03-26_13-22-55,1.951220989227295,37.26313304901123,96439,Nicolass-Air.technicolor.net,127.0.0.1,37.26313304901123,16
16.0,1711455778,,False,17,0bd35def,2024-03-26_13-22-58,2.269237995147705,39.532371044158936,96439,Nicolass-Air.technicolor.net,127.0.0.1,39.532371044158936,17
16.25,1711455780,,False,18,0bd35def,2024-03-26_13-23-00,2.419260025024414,41.95163106918335,96439,Nicolass-Air.technicolor.net,127.0.0.1,41.95163106918335,18
21.75,1711455783,,False,19,0bd35def,2024-03-26_13-23-03,2.5884311199188232,44.54006218910217,96439,Nicolass-Air.technicolor.net,127.0.0.1,44.54006218910217,19
21.75,1711455785,,False,20,0bd35def,2024-03-26_13-23-05,2.498703956604004,47.03876614570618,96439,Nicolass-Air.technicolor.net,127.0.0.1,47.03876614570618,20
18.75,1711455788,,False,21,0bd35def,2024-03-26_13-23-08,2.6146628856658936,49.65342903137207,96439,Nicolass-Air.technicolor.net,127.0.0.1,49.65342903137207,21
17.75,1711455790,,False,22,0bd35def,2024-03-26_13-23-10,2.4071240425109863,52.06055307388306,96439,Nicolass-Air.technicolor.net,127.0.0.1,52.06055307388306,22
10.25,1711455792,,False,23,0bd35def,2024-03-26_13-23-12,2.0901479721069336,54.15070104598999,96439,Nicolass-Air.technicolor.net,127.0.0.1,54.15070104598999,23
18.5,1711455795,,False,24,0bd35def,2024-03-26_13-23-15,2.484529972076416,56.635231018066406,96439,Nicolass-Air.technicolor.net,127.0.0.1,56.635231018066406,24
0.0,1711455796,,False,25,0bd35def,2024-03-26_13-23-16,1.374521255493164,58.00975227355957,96439,Nicolass-Air.technicolor.net,127.0.0.1,58.00975227355957,25
