reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
28.5,1711454099,,False,1,25edfd6c,2024-03-26_12-54-59,2.723238229751587,2.723238229751587,96439,Nicolass-Air.technicolor.net,127.0.0.1,2.723238229751587,1
12.75,1711454101,,False,2,25edfd6c,2024-03-26_12-55-01,1.893394947052002,4.616633176803589,96439,Nicolass-Air.technicolor.net,127.0.0.1,4.616633176803589,2
13.25,1711454103,,False,3,25edfd6c,2024-03-26_12-55-03,1.90000581741333,6.516638994216919,96439,Nicolass-Air.technicolor.net,127.0.0.1,6.516638994216919,3
8.0,1711454105,,False,4,25edfd6c,2024-03-26_12-55-05,1.6911258697509766,8.207764863967896,96439,Nicolass-Air.technicolor.net,127.0.0.1,8.207764863967896,4
8.0,1711454106,,False,5,25edfd6c,2024-03-26_12-55-06,1.582841157913208,9.790606021881104,96439,Nicolass-Air.technicolor.net,127.0.0.1,9.790606021881104,5
8.0,1711454108,,False,6,25edfd6c,2024-03-26_12-55-08,1.7516350746154785,11.542241096496582,96439,Nicolass-Air.technicolor.net,127.0.0.1,11.542241096496582,6
8.0,1711454110,,False,7,25edfd6c,2024-03-26_12-55-10,1.6376550197601318,13.179896116256714,96439,Nicolass-Air.technicolor.net,127.0.0.1,13.179896116256714,7
8.0,1711454111,,False,8,25edfd6c,2024-03-26_12-55-11,1.6092610359191895,14.789157152175903,96439,Nicolass-Air.technicolor.net,127.0.0.1,14.789157152175903,8
8.0,1711454113,,False,9,25edfd6c,2024-03-26_12-55-13,1.6127440929412842,16.401901245117188,96439,Nicolass-Air.technicolor.net,127.0.0.1,16.401901245117188,9
8.0,1711454114,,False,10,25edfd6c,2024-03-26_12-55-14,1.6222829818725586,18.024184226989746,96439,Nicolass-Air.technicolor.net,127.0.0.1,18.024184226989746,10
8.0,1711454116,,False,11,25edfd6c,2024-03-26_12-55-16,1.6190438270568848,19.64322805404663,96439,Nicolass-Air.technicolor.net,127.0.0.1,19.64322805404663,11
