reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
26.5,1711453140,,False,1,29dc1a91,2024-03-26_12-39-00,2.6695380210876465,2.6695380210876465,96380,Nicolass-Air.technicolor.net,127.0.0.1,2.6695380210876465,1
12.0,1711453293,,False,2,29dc1a91,2024-03-26_12-41-33,152.8240749835968,155.49361300468445,96380,Nicolass-Air.technicolor.net,127.0.0.1,155.49361300468445,2
13.0,1711453295,,False,3,29dc1a91,2024-03-26_12-41-35,2.2792351245880127,157.77284812927246,96380,Nicolass-Air.technicolor.net,127.0.0.1,157.77284812927246,3
9.0,1711453297,,False,4,29dc1a91,2024-03-26_12-41-37,1.7313151359558105,159.50416326522827,96380,Nicolass-Air.technicolor.net,127.0.0.1,159.50416326522827,4
10.0,1711453298,,False,5,29dc1a91,2024-03-26_12-41-38,1.7218990325927734,161.22606229782104,96380,Nicolass-Air.technicolor.net,127.0.0.1,161.22606229782104,5
10.0,1711453300,,False,6,29dc1a91,2024-03-26_12-41-40,1.8080780506134033,163.03414034843445,96380,Nicolass-Air.technicolor.net,127.0.0.1,163.03414034843445,6
9.5,1711453302,,False,7,29dc1a91,2024-03-26_12-41-42,1.6365821361541748,164.67072248458862,96380,Nicolass-Air.technicolor.net,127.0.0.1,164.67072248458862,7
9.0,1711453304,,False,8,29dc1a91,2024-03-26_12-41-44,1.9439408779144287,166.61466336250305,96380,Nicolass-Air.technicolor.net,127.0.0.1,166.61466336250305,8
9.0,1711453305,,False,9,29dc1a91,2024-03-26_12-41-45,1.6919379234313965,168.30660128593445,96380,Nicolass-Air.technicolor.net,127.0.0.1,168.30660128593445,9
9.0,1711453307,,False,10,29dc1a91,2024-03-26_12-41-47,1.722642183303833,170.02924346923828,96380,Nicolass-Air.technicolor.net,127.0.0.1,170.02924346923828,10
9.0,1711453309,,False,11,29dc1a91,2024-03-26_12-41-49,1.781385898590088,171.81062936782837,96380,Nicolass-Air.technicolor.net,127.0.0.1,171.81062936782837,11
9.0,1711453311,,False,12,29dc1a91,2024-03-26_12-41-51,1.7973151206970215,173.6079444885254,96380,Nicolass-Air.technicolor.net,127.0.0.1,173.6079444885254,12
9.0,1711453313,,False,13,29dc1a91,2024-03-26_12-41-53,1.9503452777862549,175.55828976631165,96380,Nicolass-Air.technicolor.net,127.0.0.1,175.55828976631165,13
9.0,1711453315,,False,14,29dc1a91,2024-03-26_12-41-55,2.0681591033935547,177.6264488697052,96380,Nicolass-Air.technicolor.net,127.0.0.1,177.6264488697052,14
9.0,1711453317,,False,15,29dc1a91,2024-03-26_12-41-57,2.168272018432617,179.79472088813782,96380,Nicolass-Air.technicolor.net,127.0.0.1,179.79472088813782,15
9.0,1711453319,,False,16,29dc1a91,2024-03-26_12-41-59,2.3071680068969727,182.1018888950348,96380,Nicolass-Air.technicolor.net,127.0.0.1,182.1018888950348,16
9.0,1711453322,,False,17,29dc1a91,2024-03-26_12-42-02,2.3325350284576416,184.43442392349243,96380,Nicolass-Air.technicolor.net,127.0.0.1,184.43442392349243,17
9.0,1711453324,,False,18,29dc1a91,2024-03-26_12-42-04,2.754384994506836,187.18880891799927,96380,Nicolass-Air.technicolor.net,127.0.0.1,187.18880891799927,18
9.0,1711453327,,False,19,29dc1a91,2024-03-26_12-42-07,2.4560627937316895,189.64487171173096,96380,Nicolass-Air.technicolor.net,127.0.0.1,189.64487171173096,19
9.0,1711453329,,False,20,29dc1a91,2024-03-26_12-42-09,2.323697328567505,191.96856904029846,96380,Nicolass-Air.technicolor.net,127.0.0.1,191.96856904029846,20
9.0,1711453331,,False,21,29dc1a91,2024-03-26_12-42-11,2.1622440814971924,194.13081312179565,96380,Nicolass-Air.technicolor.net,127.0.0.1,194.13081312179565,21
9.0,1711453333,,False,22,29dc1a91,2024-03-26_12-42-13,2.034334897994995,196.16514801979065,96380,Nicolass-Air.technicolor.net,127.0.0.1,196.16514801979065,22
