reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
28.5,1711451399,,False,1,3babf31b,2024-03-26_12-09-59,2.810019016265869,2.810019016265869,96372,Nicolass-Air.technicolor.net,127.0.0.1,2.810019016265869,1
11.75,1711451401,,False,2,3babf31b,2024-03-26_12-10-01,1.5477638244628906,4.35778284072876,96372,Nicolass-Air.technicolor.net,127.0.0.1,4.35778284072876,2
11.25,1711451402,,False,3,3babf31b,2024-03-26_12-10-02,1.5550179481506348,5.9128007888793945,96372,Nicolass-Air.technicolor.net,127.0.0.1,5.9128007888793945,3
11.0,1711451404,,False,4,3babf31b,2024-03-26_12-10-04,1.9163131713867188,7.829113960266113,96372,Nicolass-Air.technicolor.net,127.0.0.1,7.829113960266113,4
11.0,1711451406,,False,5,3babf31b,2024-03-26_12-10-06,2.1556317806243896,9.984745740890503,96372,Nicolass-Air.technicolor.net,127.0.0.1,9.984745740890503,5
11.0,1711451408,,False,6,3babf31b,2024-03-26_12-10-08,1.8906948566436768,11.87544059753418,96372,Nicolass-Air.technicolor.net,127.0.0.1,11.87544059753418,6
11.0,1711451410,,False,7,3babf31b,2024-03-26_12-10-10,1.9703831672668457,13.845823764801025,96372,Nicolass-Air.technicolor.net,127.0.0.1,13.845823764801025,7
11.0,1711451412,,False,8,3babf31b,2024-03-26_12-10-12,2.169229030609131,16.015052795410156,96372,Nicolass-Air.technicolor.net,127.0.0.1,16.015052795410156,8
11.0,1711451415,,False,9,3babf31b,2024-03-26_12-10-15,2.312284231185913,18.32733702659607,96372,Nicolass-Air.technicolor.net,127.0.0.1,18.32733702659607,9
11.0,1711451417,,False,10,3babf31b,2024-03-26_12-10-17,2.3866827487945557,20.714019775390625,96372,Nicolass-Air.technicolor.net,127.0.0.1,20.714019775390625,10
11.0,1711451419,,False,11,3babf31b,2024-03-26_12-10-19,2.019070863723755,22.73309063911438,96372,Nicolass-Air.technicolor.net,127.0.0.1,22.73309063911438,11
11.0,1711451421,,False,12,3babf31b,2024-03-26_12-10-21,2.1792819499969482,24.912372589111328,96372,Nicolass-Air.technicolor.net,127.0.0.1,24.912372589111328,12
11.0,1711451424,,False,13,3babf31b,2024-03-26_12-10-24,2.470054864883423,27.38242745399475,96372,Nicolass-Air.technicolor.net,127.0.0.1,27.38242745399475,13
11.0,1711451426,,False,14,3babf31b,2024-03-26_12-10-26,2.4082181453704834,29.790645599365234,96372,Nicolass-Air.technicolor.net,127.0.0.1,29.790645599365234,14
11.0,1711451428,,False,15,3babf31b,2024-03-26_12-10-28,2.140040159225464,31.9306857585907,96372,Nicolass-Air.technicolor.net,127.0.0.1,31.9306857585907,15
11.0,1711451431,,False,16,3babf31b,2024-03-26_12-10-31,2.74150013923645,34.67218589782715,96372,Nicolass-Air.technicolor.net,127.0.0.1,34.67218589782715,16
11.0,1711451433,,False,17,3babf31b,2024-03-26_12-10-33,2.1550800800323486,36.8272659778595,96372,Nicolass-Air.technicolor.net,127.0.0.1,36.8272659778595,17
11.0,1711451436,,False,18,3babf31b,2024-03-26_12-10-36,2.6024320125579834,39.42969799041748,96372,Nicolass-Air.technicolor.net,127.0.0.1,39.42969799041748,18
11.0,1711451438,,False,19,3babf31b,2024-03-26_12-10-38,2.3436880111694336,41.773386001586914,96372,Nicolass-Air.technicolor.net,127.0.0.1,41.773386001586914,19
11.0,1711451440,,False,20,3babf31b,2024-03-26_12-10-40,2.143928050994873,43.91731405258179,96372,Nicolass-Air.technicolor.net,127.0.0.1,43.91731405258179,20
11.0,1711451443,,False,21,3babf31b,2024-03-26_12-10-43,2.2242281436920166,46.141542196273804,96372,Nicolass-Air.technicolor.net,127.0.0.1,46.141542196273804,21
11.0,1711451445,,False,22,3babf31b,2024-03-26_12-10-45,2.326449155807495,48.4679913520813,96372,Nicolass-Air.technicolor.net,127.0.0.1,48.4679913520813,22
11.0,1711451447,,False,23,3babf31b,2024-03-26_12-10-47,2.202894926071167,50.670886278152466,96372,Nicolass-Air.technicolor.net,127.0.0.1,50.670886278152466,23
11.0,1711451449,,False,24,3babf31b,2024-03-26_12-10-49,2.262434244155884,52.93332052230835,96372,Nicolass-Air.technicolor.net,127.0.0.1,52.93332052230835,24
11.0,1711451452,,False,25,3babf31b,2024-03-26_12-10-52,2.332120180130005,55.265440702438354,96372,Nicolass-Air.technicolor.net,127.0.0.1,55.265440702438354,25
11.0,1711451454,,False,26,3babf31b,2024-03-26_12-10-54,2.2435598373413086,57.50900053977966,96372,Nicolass-Air.technicolor.net,127.0.0.1,57.50900053977966,26
11.0,1711451456,,False,27,3babf31b,2024-03-26_12-10-56,2.2084949016571045,59.71749544143677,96372,Nicolass-Air.technicolor.net,127.0.0.1,59.71749544143677,27
11.0,1711451458,,False,28,3babf31b,2024-03-26_12-10-58,2.1666769981384277,61.884172439575195,96372,Nicolass-Air.technicolor.net,127.0.0.1,61.884172439575195,28
11.0,1711451461,,False,29,3babf31b,2024-03-26_12-11-01,2.23345685005188,64.11762928962708,96372,Nicolass-Air.technicolor.net,127.0.0.1,64.11762928962708,29
11.0,1711451463,,False,30,3babf31b,2024-03-26_12-11-03,2.2008860111236572,66.31851530075073,96372,Nicolass-Air.technicolor.net,127.0.0.1,66.31851530075073,30
11.0,1711451465,,False,31,3babf31b,2024-03-26_12-11-05,2.22473406791687,68.5432493686676,96372,Nicolass-Air.technicolor.net,127.0.0.1,68.5432493686676,31
11.0,1711451467,,False,32,3babf31b,2024-03-26_12-11-07,2.0928502082824707,70.63609957695007,96372,Nicolass-Air.technicolor.net,127.0.0.1,70.63609957695007,32
11.0,1711451469,,False,33,3babf31b,2024-03-26_12-11-09,2.0728800296783447,72.70897960662842,96372,Nicolass-Air.technicolor.net,127.0.0.1,72.70897960662842,33
11.0,1711451471,,False,34,3babf31b,2024-03-26_12-11-11,2.1759748458862305,74.88495445251465,96372,Nicolass-Air.technicolor.net,127.0.0.1,74.88495445251465,34
11.0,1711451474,,False,35,3babf31b,2024-03-26_12-11-14,2.1915173530578613,77.07647180557251,96372,Nicolass-Air.technicolor.net,127.0.0.1,77.07647180557251,35
11.0,1711451476,,False,36,3babf31b,2024-03-26_12-11-16,2.314378023147583,79.39084982872009,96372,Nicolass-Air.technicolor.net,127.0.0.1,79.39084982872009,36
11.0,1711451478,,False,37,3babf31b,2024-03-26_12-11-18,2.010633945465088,81.40148377418518,96372,Nicolass-Air.technicolor.net,127.0.0.1,81.40148377418518,37
11.0,1711451480,,False,38,3babf31b,2024-03-26_12-11-20,2.3418920040130615,83.74337577819824,96372,Nicolass-Air.technicolor.net,127.0.0.1,83.74337577819824,38
11.0,1711451483,,False,39,3babf31b,2024-03-26_12-11-23,2.3473448753356934,86.09072065353394,96372,Nicolass-Air.technicolor.net,127.0.0.1,86.09072065353394,39
