reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
18.75,1711454650,,False,1,4852fe18,2024-03-26_13-04-10,2.2811646461486816,2.2811646461486816,96439,Nicolass-Air.technicolor.net,127.0.0.1,2.2811646461486816,1
11.75,1711454652,,False,2,4852fe18,2024-03-26_13-04-12,2.0595810413360596,4.340745687484741,96439,Nicolass-Air.technicolor.net,127.0.0.1,4.340745687484741,2
15.25,1711454654,,False,3,4852fe18,2024-03-26_13-04-14,2.067095994949341,6.407841682434082,96439,Nicolass-Air.technicolor.net,127.0.0.1,6.407841682434082,3
19.0,1711454656,,False,4,4852fe18,2024-03-26_13-04-16,2.282257080078125,8.690098762512207,96439,Nicolass-Air.technicolor.net,127.0.0.1,8.690098762512207,4
25.5,1711454658,,False,5,4852fe18,2024-03-26_13-04-18,2.513669967651367,11.203768730163574,96439,Nicolass-Air.technicolor.net,127.0.0.1,11.203768730163574,5
26.25,1711454661,,False,6,4852fe18,2024-03-26_13-04-21,2.681164026260376,13.88493275642395,96439,Nicolass-Air.technicolor.net,127.0.0.1,13.88493275642395,6
26.25,1711454664,,False,7,4852fe18,2024-03-26_13-04-24,2.6387829780578613,16.52371573448181,96439,Nicolass-Air.technicolor.net,127.0.0.1,16.52371573448181,7
26.25,1711454666,,False,8,4852fe18,2024-03-26_13-04-26,2.4745819568634033,18.998297691345215,96439,Nicolass-Air.technicolor.net,127.0.0.1,18.998297691345215,8
28.0,1711454669,,False,9,4852fe18,2024-03-26_13-04-29,2.7437188625335693,21.742016553878784,96439,Nicolass-Air.technicolor.net,127.0.0.1,21.742016553878784,9
27.5,1711454672,,False,10,4852fe18,2024-03-26_13-04-32,2.6780850887298584,24.420101642608643,96439,Nicolass-Air.technicolor.net,127.0.0.1,24.420101642608643,10
28.5,1711454674,,False,11,4852fe18,2024-03-26_13-04-34,2.7255139350891113,27.145615577697754,96439,Nicolass-Air.technicolor.net,127.0.0.1,27.145615577697754,11
29.5,1711454677,,False,12,4852fe18,2024-03-26_13-04-37,2.7554819583892822,29.901097536087036,96439,Nicolass-Air.technicolor.net,127.0.0.1,29.901097536087036,12
0.0,1711454678,,False,13,4852fe18,2024-03-26_13-04-38,1.1515860557556152,31.05268359184265,96439,Nicolass-Air.technicolor.net,127.0.0.1,31.05268359184265,13
