reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
45.0,1711454779,,False,1,5d6228f3,2024-03-26_13-06-19,3.1628479957580566,3.1628479957580566,96372,Nicolass-Air.technicolor.net,127.0.0.1,3.1628479957580566,1
49.5,1711454784,,False,2,5d6228f3,2024-03-26_13-06-24,4.34725022315979,7.510098218917847,96372,Nicolass-Air.technicolor.net,127.0.0.1,7.510098218917847,2
56.5,1711454789,,False,3,5d6228f3,2024-03-26_13-06-29,4.830789089202881,12.340887308120728,96372,Nicolass-Air.technicolor.net,127.0.0.1,12.340887308120728,3
95.0,1711454796,,False,4,5d6228f3,2024-03-26_13-06-36,7.722975015640259,20.063862323760986,96372,Nicolass-Air.technicolor.net,127.0.0.1,20.063862323760986,4
75.5,1711454803,,False,5,5d6228f3,2024-03-26_13-06-43,6.098013162612915,26.1618754863739,96372,Nicolass-Air.technicolor.net,127.0.0.1,26.1618754863739,5
63.0,1711454808,,False,6,5d6228f3,2024-03-26_13-06-48,5.069567918777466,31.231443405151367,96372,Nicolass-Air.technicolor.net,127.0.0.1,31.231443405151367,6
56.5,1711454812,,False,7,5d6228f3,2024-03-26_13-06-52,4.852906942367554,36.08435034751892,96372,Nicolass-Air.technicolor.net,127.0.0.1,36.08435034751892,7
56.5,1711454817,,False,8,5d6228f3,2024-03-26_13-06-57,4.738752841949463,40.823103189468384,96372,Nicolass-Air.technicolor.net,127.0.0.1,40.823103189468384,8
79.5,1711454823,,False,9,5d6228f3,2024-03-26_13-07-03,5.975163698196411,46.798266887664795,96372,Nicolass-Air.technicolor.net,127.0.0.1,46.798266887664795,9
73.0,1711454829,,False,10,5d6228f3,2024-03-26_13-07-09,5.675151824951172,52.47341871261597,96372,Nicolass-Air.technicolor.net,127.0.0.1,52.47341871261597,10
84.5,1711454835,,False,11,5d6228f3,2024-03-26_13-07-15,6.427879810333252,58.90129852294922,96372,Nicolass-Air.technicolor.net,127.0.0.1,58.90129852294922,11
76.0,1711454841,,False,12,5d6228f3,2024-03-26_13-07-21,6.040508985519409,64.94180750846863,96372,Nicolass-Air.technicolor.net,127.0.0.1,64.94180750846863,12
74.0,1711454847,,False,13,5d6228f3,2024-03-26_13-07-27,5.635870933532715,70.57767844200134,96372,Nicolass-Air.technicolor.net,127.0.0.1,70.57767844200134,13
70.5,1711454853,,False,14,5d6228f3,2024-03-26_13-07-33,5.64452600479126,76.2222044467926,96372,Nicolass-Air.technicolor.net,127.0.0.1,76.2222044467926,14
76.5,1711454858,,False,15,5d6228f3,2024-03-26_13-07-38,5.841303825378418,82.06350827217102,96372,Nicolass-Air.technicolor.net,127.0.0.1,82.06350827217102,15
58.5,1711454863,,False,16,5d6228f3,2024-03-26_13-07-43,4.519359827041626,86.58286809921265,96372,Nicolass-Air.technicolor.net,127.0.0.1,86.58286809921265,16
59.5,1711454868,,False,17,5d6228f3,2024-03-26_13-07-48,4.530962944030762,91.11383104324341,96372,Nicolass-Air.technicolor.net,127.0.0.1,91.11383104324341,17
66.0,1711454873,,False,18,5d6228f3,2024-03-26_13-07-53,5.019759893417358,96.13359093666077,96372,Nicolass-Air.technicolor.net,127.0.0.1,96.13359093666077,18
62.5,1711454878,,False,19,5d6228f3,2024-03-26_13-07-58,4.953958034515381,101.08754897117615,96372,Nicolass-Air.technicolor.net,127.0.0.1,101.08754897117615,19
58.5,1711454882,,False,20,5d6228f3,2024-03-26_13-08-02,4.506054878234863,105.59360384941101,96372,Nicolass-Air.technicolor.net,127.0.0.1,105.59360384941101,20
53.0,1711454886,,False,21,5d6228f3,2024-03-26_13-08-06,4.2822349071502686,109.87583875656128,96372,Nicolass-Air.technicolor.net,127.0.0.1,109.87583875656128,21
75.5,1711454892,,False,22,5d6228f3,2024-03-26_13-08-12,5.895037889480591,115.77087664604187,96372,Nicolass-Air.technicolor.net,127.0.0.1,115.77087664604187,22
73.0,1711454898,,False,23,5d6228f3,2024-03-26_13-08-18,5.608491897583008,121.37936854362488,96372,Nicolass-Air.technicolor.net,127.0.0.1,121.37936854362488,23
77.0,1711454903,,False,24,5d6228f3,2024-03-26_13-08-23,5.593374967575073,126.97274351119995,96372,Nicolass-Air.technicolor.net,127.0.0.1,126.97274351119995,24
86.5,1711454910,,False,25,5d6228f3,2024-03-26_13-08-30,6.293267250061035,133.266010761261,96372,Nicolass-Air.technicolor.net,127.0.0.1,133.266010761261,25
101.0,1711454917,,False,26,5d6228f3,2024-03-26_13-08-37,7.406710863113403,140.6727216243744,96372,Nicolass-Air.technicolor.net,127.0.0.1,140.6727216243744,26
86.5,1711454923,,False,27,5d6228f3,2024-03-26_13-08-43,6.322729110717773,146.99545073509216,96372,Nicolass-Air.technicolor.net,127.0.0.1,146.99545073509216,27
108.0,1711454931,,False,28,5d6228f3,2024-03-26_13-08-51,7.716434717178345,154.7118854522705,96372,Nicolass-Air.technicolor.net,127.0.0.1,154.7118854522705,28
