reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
40.0,1711454681,,False,1,818d9cf4,2024-03-26_13-04-41,2.3093953132629395,2.3093953132629395,96439,Nicolass-Air.technicolor.net,127.0.0.1,2.3093953132629395,1
30.0,1711454683,,False,2,818d9cf4,2024-03-26_13-04-43,2.0649001598358154,4.374295473098755,96439,Nicolass-Air.technicolor.net,127.0.0.1,4.374295473098755,2
22.0,1711454685,,False,3,818d9cf4,2024-03-26_13-04-45,1.9318630695343018,6.306158542633057,96439,Nicolass-Air.technicolor.net,127.0.0.1,6.306158542633057,3
18.0,1711454687,,False,4,818d9cf4,2024-03-26_13-04-47,1.905383825302124,8.21154236793518,96439,Nicolass-Air.technicolor.net,127.0.0.1,8.21154236793518,4
18.0,1711454689,,False,5,818d9cf4,2024-03-26_13-04-49,2.1239259243011475,10.335468292236328,96439,Nicolass-Air.technicolor.net,127.0.0.1,10.335468292236328,5
18.0,1711454692,,False,6,818d9cf4,2024-03-26_13-04-52,3.6691598892211914,14.00462818145752,96439,Nicolass-Air.technicolor.net,127.0.0.1,14.00462818145752,6
18.0,1711454694,,False,7,818d9cf4,2024-03-26_13-04-54,1.9474387168884277,15.952066898345947,96439,Nicolass-Air.technicolor.net,127.0.0.1,15.952066898345947,7
18.0,1711454696,,False,8,818d9cf4,2024-03-26_13-04-56,1.9219911098480225,17.87405800819397,96439,Nicolass-Air.technicolor.net,127.0.0.1,17.87405800819397,8
18.0,1711454698,,False,9,818d9cf4,2024-03-26_13-04-58,2.004969835281372,19.879027843475342,96439,Nicolass-Air.technicolor.net,127.0.0.1,19.879027843475342,9
18.0,1711454700,,False,10,818d9cf4,2024-03-26_13-05-00,1.8336191177368164,21.712646961212158,96439,Nicolass-Air.technicolor.net,127.0.0.1,21.712646961212158,10
18.0,1711454702,,False,11,818d9cf4,2024-03-26_13-05-02,1.7731940746307373,23.485841035842896,96439,Nicolass-Air.technicolor.net,127.0.0.1,23.485841035842896,11
18.0,1711454704,,False,12,818d9cf4,2024-03-26_13-05-04,1.8969511985778809,25.382792234420776,96439,Nicolass-Air.technicolor.net,127.0.0.1,25.382792234420776,12
18.0,1711454706,,False,13,818d9cf4,2024-03-26_13-05-06,1.9766583442687988,27.359450578689575,96439,Nicolass-Air.technicolor.net,127.0.0.1,27.359450578689575,13
18.0,1711454708,,False,14,818d9cf4,2024-03-26_13-05-08,1.8193299770355225,29.178780555725098,96439,Nicolass-Air.technicolor.net,127.0.0.1,29.178780555725098,14
0.0,1711454709,,False,15,818d9cf4,2024-03-26_13-05-09,1.0667917728424072,30.245572328567505,96439,Nicolass-Air.technicolor.net,127.0.0.1,30.245572328567505,15
