reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
46.0,1711451648,,False,1,a3a650a6,2024-03-26_12-14-08,8.192277908325195,8.192277908325195,96439,Nicolass-Air.technicolor.net,127.0.0.1,8.192277908325195,1
41.0,1711451655,,False,2,a3a650a6,2024-03-26_12-14-15,7.621036052703857,15.813313961029053,96439,Nicolass-Air.technicolor.net,127.0.0.1,15.813313961029053,2
47.0,1711451664,,False,3,a3a650a6,2024-03-26_12-14-24,8.66456389427185,24.477877855300903,96439,Nicolass-Air.technicolor.net,127.0.0.1,24.477877855300903,3
32.0,1711451670,,False,4,a3a650a6,2024-03-26_12-14-30,6.0561699867248535,30.534047842025757,96439,Nicolass-Air.technicolor.net,127.0.0.1,30.534047842025757,4
32.0,1711451676,,False,5,a3a650a6,2024-03-26_12-14-36,6.037146806716919,36.571194648742676,96439,Nicolass-Air.technicolor.net,127.0.0.1,36.571194648742676,5
32.0,1711451682,,False,6,a3a650a6,2024-03-26_12-14-42,6.391451120376587,42.96264576911926,96439,Nicolass-Air.technicolor.net,127.0.0.1,42.96264576911926,6
32.0,1711451688,,False,7,a3a650a6,2024-03-26_12-14-48,5.987364053726196,48.95000982284546,96439,Nicolass-Air.technicolor.net,127.0.0.1,48.95000982284546,7
32.0,1711451694,,False,8,a3a650a6,2024-03-26_12-14-54,5.90883207321167,54.85884189605713,96439,Nicolass-Air.technicolor.net,127.0.0.1,54.85884189605713,8
32.0,1711451700,,False,9,a3a650a6,2024-03-26_12-15-00,6.157904863357544,61.01674675941467,96439,Nicolass-Air.technicolor.net,127.0.0.1,61.01674675941467,9
32.0,1711451707,,False,10,a3a650a6,2024-03-26_12-15-07,6.260862112045288,67.27760887145996,96439,Nicolass-Air.technicolor.net,127.0.0.1,67.27760887145996,10
32.0,1711451713,,False,11,a3a650a6,2024-03-26_12-15-13,6.543429136276245,73.8210380077362,96439,Nicolass-Air.technicolor.net,127.0.0.1,73.8210380077362,11
32.0,1711451720,,False,12,a3a650a6,2024-03-26_12-15-20,6.177160978317261,79.99819898605347,96439,Nicolass-Air.technicolor.net,127.0.0.1,79.99819898605347,12
32.0,1711451726,,False,13,a3a650a6,2024-03-26_12-15-26,6.110788822174072,86.10898780822754,96439,Nicolass-Air.technicolor.net,127.0.0.1,86.10898780822754,13
32.0,1711451732,,False,14,a3a650a6,2024-03-26_12-15-32,6.332139015197754,92.4411268234253,96439,Nicolass-Air.technicolor.net,127.0.0.1,92.4411268234253,14
32.0,1711451739,,False,15,a3a650a6,2024-03-26_12-15-39,6.805092811584473,99.24621963500977,96439,Nicolass-Air.technicolor.net,127.0.0.1,99.24621963500977,15
32.0,1711451746,,False,16,a3a650a6,2024-03-26_12-15-46,6.832836151123047,106.07905578613281,96439,Nicolass-Air.technicolor.net,127.0.0.1,106.07905578613281,16
32.0,1711451752,,False,17,a3a650a6,2024-03-26_12-15-52,6.593310117721558,112.67236590385437,96439,Nicolass-Air.technicolor.net,127.0.0.1,112.67236590385437,17
32.0,1711451759,,False,18,a3a650a6,2024-03-26_12-15-59,6.8649468421936035,119.53731274604797,96439,Nicolass-Air.technicolor.net,127.0.0.1,119.53731274604797,18
32.0,1711451765,,False,19,a3a650a6,2024-03-26_12-16-05,6.08191990852356,125.61923265457153,96439,Nicolass-Air.technicolor.net,127.0.0.1,125.61923265457153,19
32.0,1711451771,,False,20,a3a650a6,2024-03-26_12-16-11,5.988093137741089,131.60732579231262,96439,Nicolass-Air.technicolor.net,127.0.0.1,131.60732579231262,20
32.0,1711451778,,False,21,a3a650a6,2024-03-26_12-16-18,7.121510744094849,138.72883653640747,96439,Nicolass-Air.technicolor.net,127.0.0.1,138.72883653640747,21
32.0,1711451785,,False,22,a3a650a6,2024-03-26_12-16-25,6.637234926223755,145.36607146263123,96439,Nicolass-Air.technicolor.net,127.0.0.1,145.36607146263123,22
32.0,1711451791,,False,23,a3a650a6,2024-03-26_12-16-31,6.325121879577637,151.69119334220886,96439,Nicolass-Air.technicolor.net,127.0.0.1,151.69119334220886,23
32.0,1711451798,,False,24,a3a650a6,2024-03-26_12-16-38,6.241883993148804,157.93307733535767,96439,Nicolass-Air.technicolor.net,127.0.0.1,157.93307733535767,24
32.0,1711451804,,False,25,a3a650a6,2024-03-26_12-16-44,6.382298946380615,164.31537628173828,96439,Nicolass-Air.technicolor.net,127.0.0.1,164.31537628173828,25
32.0,1711451811,,False,26,a3a650a6,2024-03-26_12-16-51,7.34387993812561,171.6592562198639,96439,Nicolass-Air.technicolor.net,127.0.0.1,171.6592562198639,26
32.0,1711451819,,False,27,a3a650a6,2024-03-26_12-16-59,7.378230094909668,179.03748631477356,96439,Nicolass-Air.technicolor.net,127.0.0.1,179.03748631477356,27
32.0,1711451825,,False,28,a3a650a6,2024-03-26_12-17-05,6.337554931640625,185.37504124641418,96439,Nicolass-Air.technicolor.net,127.0.0.1,185.37504124641418,28
32.0,1711451831,,False,29,a3a650a6,2024-03-26_12-17-11,5.938291072845459,191.31333231925964,96439,Nicolass-Air.technicolor.net,127.0.0.1,191.31333231925964,29
32.0,1711451837,,False,30,a3a650a6,2024-03-26_12-17-17,6.386530160903931,197.69986248016357,96439,Nicolass-Air.technicolor.net,127.0.0.1,197.69986248016357,30
32.0,1711451844,,False,31,a3a650a6,2024-03-26_12-17-24,6.753329038619995,204.45319151878357,96439,Nicolass-Air.technicolor.net,127.0.0.1,204.45319151878357,31
32.0,1711451852,,False,32,a3a650a6,2024-03-26_12-17-32,7.446713924407959,211.89990544319153,96439,Nicolass-Air.technicolor.net,127.0.0.1,211.89990544319153,32
32.0,1711451859,,False,33,a3a650a6,2024-03-26_12-17-39,7.487261056900024,219.38716650009155,96439,Nicolass-Air.technicolor.net,127.0.0.1,219.38716650009155,33
