reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
46.0,1711455440,,False,1,acebf508,2024-03-26_13-17-20,3.8032639026641846,3.8032639026641846,96388,Nicolass-Air.technicolor.net,127.0.0.1,3.8032639026641846,1
36.0,1711455444,,False,2,acebf508,2024-03-26_13-17-24,3.363190174102783,7.166454076766968,96388,Nicolass-Air.technicolor.net,127.0.0.1,7.166454076766968,2
36.0,1711455447,,False,3,acebf508,2024-03-26_13-17-27,2.9597699642181396,10.126224040985107,96388,Nicolass-Air.technicolor.net,127.0.0.1,10.126224040985107,3
36.0,1711455450,,False,4,acebf508,2024-03-26_13-17-30,2.9241750240325928,13.0503990650177,96388,Nicolass-Air.technicolor.net,127.0.0.1,13.0503990650177,4
36.0,1711455453,,False,5,acebf508,2024-03-26_13-17-33,2.7711527347564697,15.82155179977417,96388,Nicolass-Air.technicolor.net,127.0.0.1,15.82155179977417,5
36.0,1711455455,,False,6,acebf508,2024-03-26_13-17-35,2.7944040298461914,18.61595582962036,96388,Nicolass-Air.technicolor.net,127.0.0.1,18.61595582962036,6
36.0,1711455458,,False,7,acebf508,2024-03-26_13-17-38,2.9167158603668213,21.532671689987183,96388,Nicolass-Air.technicolor.net,127.0.0.1,21.532671689987183,7
36.0,1711455461,,False,8,acebf508,2024-03-26_13-17-41,2.889702796936035,24.422374486923218,96388,Nicolass-Air.technicolor.net,127.0.0.1,24.422374486923218,8
36.0,1711455464,,False,9,acebf508,2024-03-26_13-17-44,2.746790885925293,27.16916537284851,96388,Nicolass-Air.technicolor.net,127.0.0.1,27.16916537284851,9
36.0,1711455467,,False,10,acebf508,2024-03-26_13-17-47,2.954401969909668,30.12356734275818,96388,Nicolass-Air.technicolor.net,127.0.0.1,30.12356734275818,10
37.0,1711455470,,False,11,acebf508,2024-03-26_13-17-50,3.0731589794158936,33.19672632217407,96388,Nicolass-Air.technicolor.net,127.0.0.1,33.19672632217407,11
36.0,1711455473,,False,12,acebf508,2024-03-26_13-17-53,2.9380948543548584,36.13482117652893,96388,Nicolass-Air.technicolor.net,127.0.0.1,36.13482117652893,12
37.0,1711455476,,False,13,acebf508,2024-03-26_13-17-56,3.0347540378570557,39.169575214385986,96388,Nicolass-Air.technicolor.net,127.0.0.1,39.169575214385986,13
36.0,1711455479,,False,14,acebf508,2024-03-26_13-17-59,2.991387128829956,42.16096234321594,96388,Nicolass-Air.technicolor.net,127.0.0.1,42.16096234321594,14
36.0,1711455482,,False,15,acebf508,2024-03-26_13-18-02,2.914523124694824,45.07548546791077,96388,Nicolass-Air.technicolor.net,127.0.0.1,45.07548546791077,15
36.0,1711455485,,False,16,acebf508,2024-03-26_13-18-05,2.981358051300049,48.056843519210815,96388,Nicolass-Air.technicolor.net,127.0.0.1,48.056843519210815,16
36.0,1711455488,,False,17,acebf508,2024-03-26_13-18-08,3.0141890048980713,51.07103252410889,96388,Nicolass-Air.technicolor.net,127.0.0.1,51.07103252410889,17
36.0,1711455491,,False,18,acebf508,2024-03-26_13-18-11,3.0374200344085693,54.108452558517456,96388,Nicolass-Air.technicolor.net,127.0.0.1,54.108452558517456,18
36.0,1711455494,,False,19,acebf508,2024-03-26_13-18-14,2.9051339626312256,57.01358652114868,96388,Nicolass-Air.technicolor.net,127.0.0.1,57.01358652114868,19
36.0,1711455497,,False,20,acebf508,2024-03-26_13-18-17,2.9026026725769043,59.916189193725586,96388,Nicolass-Air.technicolor.net,127.0.0.1,59.916189193725586,20
36.0,1711455500,,False,21,acebf508,2024-03-26_13-18-20,2.9102847576141357,62.82647395133972,96388,Nicolass-Air.technicolor.net,127.0.0.1,62.82647395133972,21
36.0,1711455503,,False,22,acebf508,2024-03-26_13-18-23,3.0865681171417236,65.91304206848145,96388,Nicolass-Air.technicolor.net,127.0.0.1,65.91304206848145,22
36.0,1711455506,,False,23,acebf508,2024-03-26_13-18-26,3.0507149696350098,68.96375703811646,96388,Nicolass-Air.technicolor.net,127.0.0.1,68.96375703811646,23
36.0,1711455509,,False,24,acebf508,2024-03-26_13-18-29,3.0870769023895264,72.05083394050598,96388,Nicolass-Air.technicolor.net,127.0.0.1,72.05083394050598,24
36.0,1711455512,,False,25,acebf508,2024-03-26_13-18-32,3.0979630947113037,75.14879703521729,96388,Nicolass-Air.technicolor.net,127.0.0.1,75.14879703521729,25
36.0,1711455515,,False,26,acebf508,2024-03-26_13-18-35,2.9464187622070312,78.09521579742432,96388,Nicolass-Air.technicolor.net,127.0.0.1,78.09521579742432,26
36.0,1711455518,,False,27,acebf508,2024-03-26_13-18-38,2.916289806365967,81.01150560379028,96388,Nicolass-Air.technicolor.net,127.0.0.1,81.01150560379028,27
