reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
44.0,1711455078,,False,1,b3d70f86,2024-03-26_13-11-18,7.913435935974121,7.913435935974121,96330,Nicolass-Air.technicolor.net,127.0.0.1,7.913435935974121,1
50.5,1711455088,,False,2,b3d70f86,2024-03-26_13-11-28,9.2205171585083,17.133953094482422,96330,Nicolass-Air.technicolor.net,127.0.0.1,17.133953094482422,2
52.0,1711455098,,False,3,b3d70f86,2024-03-26_13-11-38,9.826847076416016,26.960800170898438,96330,Nicolass-Air.technicolor.net,127.0.0.1,26.960800170898438,3
54.0,1711455108,,False,4,b3d70f86,2024-03-26_13-11-48,10.197489976882935,37.15829014778137,96330,Nicolass-Air.technicolor.net,127.0.0.1,37.15829014778137,4
60.5,1711455119,,False,5,b3d70f86,2024-03-26_13-11-59,11.144260883331299,48.30255103111267,96330,Nicolass-Air.technicolor.net,127.0.0.1,48.30255103111267,5
77.0,1711455132,,False,6,b3d70f86,2024-03-26_13-12-12,13.202886819839478,61.50543785095215,96330,Nicolass-Air.technicolor.net,127.0.0.1,61.50543785095215,6
71.5,1711455145,,False,7,b3d70f86,2024-03-26_13-12-25,12.879128217697144,74.38456606864929,96330,Nicolass-Air.technicolor.net,127.0.0.1,74.38456606864929,7
66.0,1711455157,,False,8,b3d70f86,2024-03-26_13-12-37,11.652103900909424,86.03666996955872,96330,Nicolass-Air.technicolor.net,127.0.0.1,86.03666996955872,8
63.5,1711455168,,False,9,b3d70f86,2024-03-26_13-12-48,11.488942861557007,97.52561283111572,96330,Nicolass-Air.technicolor.net,127.0.0.1,97.52561283111572,9
72.5,1711455181,,False,10,b3d70f86,2024-03-26_13-13-01,12.660244941711426,110.18585777282715,96330,Nicolass-Air.technicolor.net,127.0.0.1,110.18585777282715,10
71.5,1711455193,,False,11,b3d70f86,2024-03-26_13-13-13,12.433296918869019,122.61915469169617,96330,Nicolass-Air.technicolor.net,127.0.0.1,122.61915469169617,11
69.0,1711455205,,False,12,b3d70f86,2024-03-26_13-13-25,11.930104970932007,134.54925966262817,96330,Nicolass-Air.technicolor.net,127.0.0.1,134.54925966262817,12
78.5,1711455219,,False,13,b3d70f86,2024-03-26_13-13-39,13.674547910690308,148.22380757331848,96330,Nicolass-Air.technicolor.net,127.0.0.1,148.22380757331848,13
87.5,1711455235,,False,14,b3d70f86,2024-03-26_13-13-55,15.748066186904907,163.9718737602234,96330,Nicolass-Air.technicolor.net,127.0.0.1,163.9718737602234,14
77.5,1711455249,,False,15,b3d70f86,2024-03-26_13-14-09,14.250268936157227,178.22214269638062,96330,Nicolass-Air.technicolor.net,127.0.0.1,178.22214269638062,15
74.0,1711455262,,False,16,b3d70f86,2024-03-26_13-14-22,13.203643083572388,191.425785779953,96330,Nicolass-Air.technicolor.net,127.0.0.1,191.425785779953,16
85.5,1711455278,,False,17,b3d70f86,2024-03-26_13-14-38,15.498059034347534,206.92384481430054,96330,Nicolass-Air.technicolor.net,127.0.0.1,206.92384481430054,17
77.0,1711455293,,False,18,b3d70f86,2024-03-26_13-14-53,15.494107246398926,222.41795206069946,96330,Nicolass-Air.technicolor.net,127.0.0.1,222.41795206069946,18
91.0,1711455309,,False,19,b3d70f86,2024-03-26_13-15-09,16.205123901367188,238.62307596206665,96330,Nicolass-Air.technicolor.net,127.0.0.1,238.62307596206665,19
102.0,1711455327,,False,20,b3d70f86,2024-03-26_13-15-27,17.85434603691101,256.47742199897766,96330,Nicolass-Air.technicolor.net,127.0.0.1,256.47742199897766,20
112.0,1711455347,,False,21,b3d70f86,2024-03-26_13-15-47,19.32477068901062,275.8021926879883,96330,Nicolass-Air.technicolor.net,127.0.0.1,275.8021926879883,21
