reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
37.0,1711452032,,False,1,d07a86b2,2024-03-26_12-20-32,8.357805728912354,8.357805728912354,96342,Nicolass-Air.technicolor.net,127.0.0.1,8.357805728912354,1
45.75,1711452041,,False,2,d07a86b2,2024-03-26_12-20-41,9.5936439037323,17.951449632644653,96342,Nicolass-Air.technicolor.net,127.0.0.1,17.951449632644653,2
22.0,1711452047,,False,3,d07a86b2,2024-03-26_12-20-47,6.033698081970215,23.985147714614868,96342,Nicolass-Air.technicolor.net,127.0.0.1,23.985147714614868,3
19.5,1711452053,,False,4,d07a86b2,2024-03-26_12-20-53,5.572468996047974,29.557616710662842,96342,Nicolass-Air.technicolor.net,127.0.0.1,29.557616710662842,4
19.75,1711452059,,False,5,d07a86b2,2024-03-26_12-20-59,5.796728134155273,35.354344844818115,96342,Nicolass-Air.technicolor.net,127.0.0.1,35.354344844818115,5
22.25,1711452065,,False,6,d07a86b2,2024-03-26_12-21-05,5.782742023468018,41.13708686828613,96342,Nicolass-Air.technicolor.net,127.0.0.1,41.13708686828613,6
18.0,1711452070,,False,7,d07a86b2,2024-03-26_12-21-10,5.275058031082153,46.412144899368286,96342,Nicolass-Air.technicolor.net,127.0.0.1,46.412144899368286,7
18.0,1711452075,,False,8,d07a86b2,2024-03-26_12-21-15,5.339195966720581,51.75134086608887,96342,Nicolass-Air.technicolor.net,127.0.0.1,51.75134086608887,8
18.0,1711452081,,False,9,d07a86b2,2024-03-26_12-21-21,5.221174716949463,56.97251558303833,96342,Nicolass-Air.technicolor.net,127.0.0.1,56.97251558303833,9
18.0,1711452086,,False,10,d07a86b2,2024-03-26_12-21-26,5.206377983093262,62.17889356613159,96342,Nicolass-Air.technicolor.net,127.0.0.1,62.17889356613159,10
18.0,1711452091,,False,11,d07a86b2,2024-03-26_12-21-31,5.29297399520874,67.47186756134033,96342,Nicolass-Air.technicolor.net,127.0.0.1,67.47186756134033,11
18.0,1711452096,,False,12,d07a86b2,2024-03-26_12-21-36,5.2594921588897705,72.7313597202301,96342,Nicolass-Air.technicolor.net,127.0.0.1,72.7313597202301,12
29.0,1711453098,,False,13,d07a86b2,2024-03-26_12-38-18,1001.7877128124237,1074.5190725326538,96342,Nicolass-Air.technicolor.net,127.0.0.1,1074.5190725326538,13
