reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
29.75,1711451601,,False,1,e8626d59,2024-03-26_12-13-21,11.038676023483276,11.038676023483276,96388,Nicolass-Air.technicolor.net,127.0.0.1,11.038676023483276,1
20.0,1711451609,,False,2,e8626d59,2024-03-26_12-13-29,8.35446286201477,19.393138885498047,96388,Nicolass-Air.technicolor.net,127.0.0.1,19.393138885498047,2
19.25,1711451617,,False,3,e8626d59,2024-03-26_12-13-37,8.308451652526855,27.701590538024902,96388,Nicolass-Air.technicolor.net,127.0.0.1,27.701590538024902,3
19.25,1711451625,,False,4,e8626d59,2024-03-26_12-13-45,7.3805859088897705,35.08217644691467,96388,Nicolass-Air.technicolor.net,127.0.0.1,35.08217644691467,4
18.25,1711451631,,False,5,e8626d59,2024-03-26_12-13-51,6.711435079574585,41.79361152648926,96388,Nicolass-Air.technicolor.net,127.0.0.1,41.79361152648926,5
18.25,1711451639,,False,6,e8626d59,2024-03-26_12-13-59,7.158524751663208,48.952136278152466,96388,Nicolass-Air.technicolor.net,127.0.0.1,48.952136278152466,6
18.75,1711451646,,False,7,e8626d59,2024-03-26_12-14-06,7.416736841201782,56.36887311935425,96388,Nicolass-Air.technicolor.net,127.0.0.1,56.36887311935425,7
19.25,1711451653,,False,8,e8626d59,2024-03-26_12-14-13,7.202121019363403,63.57099413871765,96388,Nicolass-Air.technicolor.net,127.0.0.1,63.57099413871765,8
18.5,1711451661,,False,9,e8626d59,2024-03-26_12-14-21,7.624248027801514,71.19524216651917,96388,Nicolass-Air.technicolor.net,127.0.0.1,71.19524216651917,9
18.25,1711451668,,False,10,e8626d59,2024-03-26_12-14-28,6.82992696762085,78.02516913414001,96388,Nicolass-Air.technicolor.net,127.0.0.1,78.02516913414001,10
18.75,1711451674,,False,11,e8626d59,2024-03-26_12-14-34,6.8061439990997314,84.83131313323975,96388,Nicolass-Air.technicolor.net,127.0.0.1,84.83131313323975,11
18.25,1711451681,,False,12,e8626d59,2024-03-26_12-14-41,6.620378017425537,91.45169115066528,96388,Nicolass-Air.technicolor.net,127.0.0.1,91.45169115066528,12
18.25,1711451688,,False,13,e8626d59,2024-03-26_12-14-48,6.682730197906494,98.13442134857178,96388,Nicolass-Air.technicolor.net,127.0.0.1,98.13442134857178,13
18.0,1711451694,,False,14,e8626d59,2024-03-26_12-14-54,6.5139710903167725,104.64839243888855,96388,Nicolass-Air.technicolor.net,127.0.0.1,104.64839243888855,14
18.0,1711451701,,False,15,e8626d59,2024-03-26_12-15-01,6.889385938644409,111.53777837753296,96388,Nicolass-Air.technicolor.net,127.0.0.1,111.53777837753296,15
18.0,1711451708,,False,16,e8626d59,2024-03-26_12-15-08,6.881958961486816,118.41973733901978,96388,Nicolass-Air.technicolor.net,127.0.0.1,118.41973733901978,16
18.0,1711451715,,False,17,e8626d59,2024-03-26_12-15-15,6.942408800125122,125.3621461391449,96388,Nicolass-Air.technicolor.net,127.0.0.1,125.3621461391449,17
18.0,1711451722,,False,18,e8626d59,2024-03-26_12-15-22,6.861637830734253,132.22378396987915,96388,Nicolass-Air.technicolor.net,127.0.0.1,132.22378396987915,18
18.0,1711451729,,False,19,e8626d59,2024-03-26_12-15-29,6.786492824554443,139.0102767944336,96388,Nicolass-Air.technicolor.net,127.0.0.1,139.0102767944336,19
