reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
29.5,1711467641,,False,1,0ad1ec7e,2024-03-26_16-40-41,0.8472518920898438,0.8472518920898438,436,Nicolass-Air.technicolor.net,127.0.0.1,0.8472518920898438,1
30.0,1711467642,,False,2,0ad1ec7e,2024-03-26_16-40-42,1.0546879768371582,1.901939868927002,436,Nicolass-Air.technicolor.net,127.0.0.1,1.901939868927002,2
30.0,1711467644,,False,3,0ad1ec7e,2024-03-26_16-40-44,1.2600808143615723,3.162020683288574,436,Nicolass-Air.technicolor.net,127.0.0.1,3.162020683288574,3
37.0,1711467645,,False,4,0ad1ec7e,2024-03-26_16-40-45,1.2419021129608154,4.40392279624939,436,Nicolass-Air.technicolor.net,127.0.0.1,4.40392279624939,4
37.0,1711467646,,False,5,0ad1ec7e,2024-03-26_16-40-46,1.2380752563476562,5.641998052597046,436,Nicolass-Air.technicolor.net,127.0.0.1,5.641998052597046,5
37.0,1711467648,,False,6,0ad1ec7e,2024-03-26_16-40-48,1.3059062957763672,6.947904348373413,436,Nicolass-Air.technicolor.net,127.0.0.1,6.947904348373413,6
40.0,1711467649,,False,7,0ad1ec7e,2024-03-26_16-40-49,1.4525818824768066,8.40048623085022,436,Nicolass-Air.technicolor.net,127.0.0.1,8.40048623085022,7
40.0,1711467650,,False,8,0ad1ec7e,2024-03-26_16-40-50,1.2543449401855469,9.654831171035767,436,Nicolass-Air.technicolor.net,127.0.0.1,9.654831171035767,8
40.0,1711467652,,False,9,0ad1ec7e,2024-03-26_16-40-52,1.3372271060943604,10.992058277130127,436,Nicolass-Air.technicolor.net,127.0.0.1,10.992058277130127,9
40.0,1711467653,,False,10,0ad1ec7e,2024-03-26_16-40-53,1.273603916168213,12.26566219329834,436,Nicolass-Air.technicolor.net,127.0.0.1,12.26566219329834,10
40.0,1711467654,,False,11,0ad1ec7e,2024-03-26_16-40-54,1.362710952758789,13.628373146057129,436,Nicolass-Air.technicolor.net,127.0.0.1,13.628373146057129,11
40.0,1711467655,,False,12,0ad1ec7e,2024-03-26_16-40-55,1.2449522018432617,14.87332534790039,436,Nicolass-Air.technicolor.net,127.0.0.1,14.87332534790039,12
40.0,1711467657,,False,13,0ad1ec7e,2024-03-26_16-40-57,1.3206532001495361,16.193978548049927,436,Nicolass-Air.technicolor.net,127.0.0.1,16.193978548049927,13
40.0,1711467658,,False,14,0ad1ec7e,2024-03-26_16-40-58,1.2023279666900635,17.39630651473999,436,Nicolass-Air.technicolor.net,127.0.0.1,17.39630651473999,14
40.0,1711467661,,False,15,0ad1ec7e,2024-03-26_16-41-01,1.1662790775299072,18.562585592269897,436,Nicolass-Air.technicolor.net,127.0.0.1,18.562585592269897,15
40.0,1711467662,,False,16,0ad1ec7e,2024-03-26_16-41-02,1.4628479480743408,20.02543354034424,436,Nicolass-Air.technicolor.net,127.0.0.1,20.02543354034424,16
40.0,1711467664,,False,17,0ad1ec7e,2024-03-26_16-41-04,1.292837142944336,21.318270683288574,436,Nicolass-Air.technicolor.net,127.0.0.1,21.318270683288574,17
40.0,1711467665,,False,18,0ad1ec7e,2024-03-26_16-41-05,1.3062288761138916,22.624499559402466,436,Nicolass-Air.technicolor.net,127.0.0.1,22.624499559402466,18
40.0,1711467666,,False,19,0ad1ec7e,2024-03-26_16-41-06,1.3093130588531494,23.933812618255615,436,Nicolass-Air.technicolor.net,127.0.0.1,23.933812618255615,19
40.0,1711467668,,False,20,0ad1ec7e,2024-03-26_16-41-08,1.3425629138946533,25.27637553215027,436,Nicolass-Air.technicolor.net,127.0.0.1,25.27637553215027,20
40.0,1711467669,,False,21,0ad1ec7e,2024-03-26_16-41-09,1.3854329586029053,26.661808490753174,436,Nicolass-Air.technicolor.net,127.0.0.1,26.661808490753174,21
40.0,1711467670,,False,22,0ad1ec7e,2024-03-26_16-41-10,1.3164119720458984,27.978220462799072,436,Nicolass-Air.technicolor.net,127.0.0.1,27.978220462799072,22
40.0,1711467672,,False,23,0ad1ec7e,2024-03-26_16-41-12,1.305845022201538,29.28406548500061,436,Nicolass-Air.technicolor.net,127.0.0.1,29.28406548500061,23
40.0,1711467673,,False,24,0ad1ec7e,2024-03-26_16-41-13,1.3506298065185547,30.634695291519165,436,Nicolass-Air.technicolor.net,127.0.0.1,30.634695291519165,24
40.0,1711467674,,False,25,0ad1ec7e,2024-03-26_16-41-14,1.4334750175476074,32.06817030906677,436,Nicolass-Air.technicolor.net,127.0.0.1,32.06817030906677,25
40.0,1711467676,,False,26,0ad1ec7e,2024-03-26_16-41-16,1.3436369895935059,33.41180729866028,436,Nicolass-Air.technicolor.net,127.0.0.1,33.41180729866028,26
40.0,1711467677,,False,27,0ad1ec7e,2024-03-26_16-41-17,1.2833051681518555,34.695112466812134,436,Nicolass-Air.technicolor.net,127.0.0.1,34.695112466812134,27
40.0,1711467678,,False,28,0ad1ec7e,2024-03-26_16-41-18,1.354923963546753,36.05003643035889,436,Nicolass-Air.technicolor.net,127.0.0.1,36.05003643035889,28
40.0,1711467680,,False,29,0ad1ec7e,2024-03-26_16-41-20,1.3915050029754639,37.44154143333435,436,Nicolass-Air.technicolor.net,127.0.0.1,37.44154143333435,29
40.0,1711467681,,False,30,0ad1ec7e,2024-03-26_16-41-21,1.2920897006988525,38.7336311340332,436,Nicolass-Air.technicolor.net,127.0.0.1,38.7336311340332,30
40.0,1711467682,,False,31,0ad1ec7e,2024-03-26_16-41-22,1.3086950778961182,40.04232621192932,436,Nicolass-Air.technicolor.net,127.0.0.1,40.04232621192932,31
40.0,1711467684,,False,32,0ad1ec7e,2024-03-26_16-41-24,1.306534767150879,41.3488609790802,436,Nicolass-Air.technicolor.net,127.0.0.1,41.3488609790802,32
40.0,1711467685,,False,33,0ad1ec7e,2024-03-26_16-41-25,1.3557279109954834,42.704588890075684,436,Nicolass-Air.technicolor.net,127.0.0.1,42.704588890075684,33
40.0,1711467686,,False,34,0ad1ec7e,2024-03-26_16-41-26,1.3402950763702393,44.04488396644592,436,Nicolass-Air.technicolor.net,127.0.0.1,44.04488396644592,34
40.0,1711467688,,False,35,0ad1ec7e,2024-03-26_16-41-28,1.3116140365600586,45.35649800300598,436,Nicolass-Air.technicolor.net,127.0.0.1,45.35649800300598,35
40.0,1711467689,,False,36,0ad1ec7e,2024-03-26_16-41-29,1.3061420917510986,46.66264009475708,436,Nicolass-Air.technicolor.net,127.0.0.1,46.66264009475708,36
40.0,1711467690,,False,37,0ad1ec7e,2024-03-26_16-41-30,1.3494679927825928,48.01210808753967,436,Nicolass-Air.technicolor.net,127.0.0.1,48.01210808753967,37
40.0,1711467692,,False,38,0ad1ec7e,2024-03-26_16-41-32,1.3384289741516113,49.350537061691284,436,Nicolass-Air.technicolor.net,127.0.0.1,49.350537061691284,38
40.0,1711467693,,False,39,0ad1ec7e,2024-03-26_16-41-33,1.290492057800293,50.64102911949158,436,Nicolass-Air.technicolor.net,127.0.0.1,50.64102911949158,39
40.0,1711467694,,False,40,0ad1ec7e,2024-03-26_16-41-34,1.3996832370758057,52.04071235656738,436,Nicolass-Air.technicolor.net,127.0.0.1,52.04071235656738,40
