reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
35.0,1711468914,,False,1,0bf95a66,2024-03-26_17-01-54,1.8488860130310059,1.8488860130310059,457,Nicolass-Air.technicolor.net,127.0.0.1,1.8488860130310059,1
35.0,1711468915,,False,2,0bf95a66,2024-03-26_17-01-55,1.7458300590515137,3.5947160720825195,457,Nicolass-Air.technicolor.net,127.0.0.1,3.5947160720825195,2
46.0,1711468917,,False,3,0bf95a66,2024-03-26_17-01-57,1.9725341796875,5.5672502517700195,457,Nicolass-Air.technicolor.net,127.0.0.1,5.5672502517700195,3
46.0,1711468920,,False,4,0bf95a66,2024-03-26_17-02-00,2.173607110977173,7.740857362747192,457,Nicolass-Air.technicolor.net,127.0.0.1,7.740857362747192,4
46.0,1711468922,,False,5,0bf95a66,2024-03-26_17-02-02,2.0304651260375977,9.77132248878479,457,Nicolass-Air.technicolor.net,127.0.0.1,9.77132248878479,5
46.0,1711468924,,False,6,0bf95a66,2024-03-26_17-02-04,2.3000171184539795,12.07133960723877,457,Nicolass-Air.technicolor.net,127.0.0.1,12.07133960723877,6
46.0,1711468926,,False,7,0bf95a66,2024-03-26_17-02-06,2.0420010089874268,14.113340616226196,457,Nicolass-Air.technicolor.net,127.0.0.1,14.113340616226196,7
46.0,1711468928,,False,8,0bf95a66,2024-03-26_17-02-08,2.0298731327056885,16.143213748931885,457,Nicolass-Air.technicolor.net,127.0.0.1,16.143213748931885,8
46.0,1711468930,,False,9,0bf95a66,2024-03-26_17-02-10,2.0093002319335938,18.15251398086548,457,Nicolass-Air.technicolor.net,127.0.0.1,18.15251398086548,9
46.0,1711468932,,False,10,0bf95a66,2024-03-26_17-02-12,2.0186960697174072,20.171210050582886,457,Nicolass-Air.technicolor.net,127.0.0.1,20.171210050582886,10
46.0,1711468934,,False,11,0bf95a66,2024-03-26_17-02-14,2.192376136779785,22.36358618736267,457,Nicolass-Air.technicolor.net,127.0.0.1,22.36358618736267,11
46.0,1711468936,,False,12,0bf95a66,2024-03-26_17-02-16,1.9272630214691162,24.290849208831787,457,Nicolass-Air.technicolor.net,127.0.0.1,24.290849208831787,12
46.0,1711468938,,False,13,0bf95a66,2024-03-26_17-02-18,1.9528887271881104,26.243737936019897,457,Nicolass-Air.technicolor.net,127.0.0.1,26.243737936019897,13
46.0,1711468940,,False,14,0bf95a66,2024-03-26_17-02-20,1.9981248378753662,28.241862773895264,457,Nicolass-Air.technicolor.net,127.0.0.1,28.241862773895264,14
46.0,1711468942,,False,15,0bf95a66,2024-03-26_17-02-22,1.8670158386230469,30.10887861251831,457,Nicolass-Air.technicolor.net,127.0.0.1,30.10887861251831,15
46.0,1711468944,,False,16,0bf95a66,2024-03-26_17-02-24,1.9917230606079102,32.10060167312622,457,Nicolass-Air.technicolor.net,127.0.0.1,32.10060167312622,16
46.0,1711468946,,False,17,0bf95a66,2024-03-26_17-02-26,2.0213990211486816,34.1220006942749,457,Nicolass-Air.technicolor.net,127.0.0.1,34.1220006942749,17
46.0,1711468948,,False,18,0bf95a66,2024-03-26_17-02-28,1.8704848289489746,35.99248552322388,457,Nicolass-Air.technicolor.net,127.0.0.1,35.99248552322388,18
46.0,1711468950,,False,19,0bf95a66,2024-03-26_17-02-30,1.9862163066864014,37.97870182991028,457,Nicolass-Air.technicolor.net,127.0.0.1,37.97870182991028,19
46.0,1711468952,,False,20,0bf95a66,2024-03-26_17-02-32,2.0035650730133057,39.982266902923584,457,Nicolass-Air.technicolor.net,127.0.0.1,39.982266902923584,20
46.0,1711468954,,False,21,0bf95a66,2024-03-26_17-02-34,2.0694642066955566,42.05173110961914,457,Nicolass-Air.technicolor.net,127.0.0.1,42.05173110961914,21
46.0,1711468956,,False,22,0bf95a66,2024-03-26_17-02-36,1.8330869674682617,43.8848180770874,457,Nicolass-Air.technicolor.net,127.0.0.1,43.8848180770874,22
46.0,1711468958,,False,23,0bf95a66,2024-03-26_17-02-38,1.9064431190490723,45.791261196136475,457,Nicolass-Air.technicolor.net,127.0.0.1,45.791261196136475,23
46.0,1711468960,,False,24,0bf95a66,2024-03-26_17-02-40,1.9200499057769775,47.71131110191345,457,Nicolass-Air.technicolor.net,127.0.0.1,47.71131110191345,24
46.0,1711468962,,False,25,0bf95a66,2024-03-26_17-02-42,1.9159038066864014,49.62721490859985,457,Nicolass-Air.technicolor.net,127.0.0.1,49.62721490859985,25
46.0,1711468964,,False,26,0bf95a66,2024-03-26_17-02-44,2.158797025680542,51.786011934280396,457,Nicolass-Air.technicolor.net,127.0.0.1,51.786011934280396,26
46.0,1711468966,,False,27,0bf95a66,2024-03-26_17-02-46,1.9065163135528564,53.69252824783325,457,Nicolass-Air.technicolor.net,127.0.0.1,53.69252824783325,27
46.0,1711468968,,False,28,0bf95a66,2024-03-26_17-02-48,1.996009111404419,55.68853735923767,457,Nicolass-Air.technicolor.net,127.0.0.1,55.68853735923767,28
46.0,1711468970,,False,29,0bf95a66,2024-03-26_17-02-50,1.9638099670410156,57.65234732627869,457,Nicolass-Air.technicolor.net,127.0.0.1,57.65234732627869,29
46.0,1711468972,,False,30,0bf95a66,2024-03-26_17-02-52,1.9032559394836426,59.55560326576233,457,Nicolass-Air.technicolor.net,127.0.0.1,59.55560326576233,30
46.0,1711468974,,False,31,0bf95a66,2024-03-26_17-02-54,2.0939860343933105,61.64958930015564,457,Nicolass-Air.technicolor.net,127.0.0.1,61.64958930015564,31
46.0,1711468976,,False,32,0bf95a66,2024-03-26_17-02-56,1.9870662689208984,63.63665556907654,457,Nicolass-Air.technicolor.net,127.0.0.1,63.63665556907654,32
46.0,1711468977,,False,33,0bf95a66,2024-03-26_17-02-57,1.8631958961486816,65.49985146522522,457,Nicolass-Air.technicolor.net,127.0.0.1,65.49985146522522,33
46.0,1711468979,,False,34,0bf95a66,2024-03-26_17-02-59,1.9256091117858887,67.42546057701111,457,Nicolass-Air.technicolor.net,127.0.0.1,67.42546057701111,34
46.0,1711468982,,False,35,0bf95a66,2024-03-26_17-03-02,2.131500005722046,69.55696058273315,457,Nicolass-Air.technicolor.net,127.0.0.1,69.55696058273315,35
46.0,1711468984,,False,36,0bf95a66,2024-03-26_17-03-04,2.4345951080322266,71.99155569076538,457,Nicolass-Air.technicolor.net,127.0.0.1,71.99155569076538,36
46.0,1711468986,,False,37,0bf95a66,2024-03-26_17-03-06,2.276495933532715,74.2680516242981,457,Nicolass-Air.technicolor.net,127.0.0.1,74.2680516242981,37
46.0,1711468989,,False,38,0bf95a66,2024-03-26_17-03-09,2.2641489505767822,76.53220057487488,457,Nicolass-Air.technicolor.net,127.0.0.1,76.53220057487488,38
46.0,1711468991,,False,39,0bf95a66,2024-03-26_17-03-11,1.9681811332702637,78.50038170814514,457,Nicolass-Air.technicolor.net,127.0.0.1,78.50038170814514,39
46.0,1711468992,,False,40,0bf95a66,2024-03-26_17-03-12,1.961129903793335,80.46151161193848,457,Nicolass-Air.technicolor.net,127.0.0.1,80.46151161193848,40
