reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
39.0,1711468645,,False,1,0d5d88cd,2024-03-26_16-57-25,2.319244146347046,2.319244146347046,269,Nicolass-Air.technicolor.net,127.0.0.1,2.319244146347046,1
36.0,1711468647,,False,2,0d5d88cd,2024-03-26_16-57-27,2.3086049556732178,4.627849102020264,269,Nicolass-Air.technicolor.net,127.0.0.1,4.627849102020264,2
36.0,1711468650,,False,3,0d5d88cd,2024-03-26_16-57-30,2.3195860385894775,6.947435140609741,269,Nicolass-Air.technicolor.net,127.0.0.1,6.947435140609741,3
38.0,1711468652,,False,4,0d5d88cd,2024-03-26_16-57-32,2.4603238105773926,9.407758951187134,269,Nicolass-Air.technicolor.net,127.0.0.1,9.407758951187134,4
35.0,1711468655,,False,5,0d5d88cd,2024-03-26_16-57-35,2.32639217376709,11.734151124954224,269,Nicolass-Air.technicolor.net,127.0.0.1,11.734151124954224,5
35.0,1711468657,,False,6,0d5d88cd,2024-03-26_16-57-37,2.3524420261383057,14.08659315109253,269,Nicolass-Air.technicolor.net,127.0.0.1,14.08659315109253,6
37.0,1711468659,,False,7,0d5d88cd,2024-03-26_16-57-39,2.592255115509033,16.678848266601562,269,Nicolass-Air.technicolor.net,127.0.0.1,16.678848266601562,7
37.0,1711468662,,False,8,0d5d88cd,2024-03-26_16-57-42,2.5323808193206787,19.21122908592224,269,Nicolass-Air.technicolor.net,127.0.0.1,19.21122908592224,8
37.0,1711468665,,False,9,0d5d88cd,2024-03-26_16-57-45,2.566243886947632,21.777472972869873,269,Nicolass-Air.technicolor.net,127.0.0.1,21.777472972869873,9
37.0,1711468667,,False,10,0d5d88cd,2024-03-26_16-57-47,2.4201531410217285,24.1976261138916,269,Nicolass-Air.technicolor.net,127.0.0.1,24.1976261138916,10
37.0,1711468670,,False,11,0d5d88cd,2024-03-26_16-57-50,2.508949041366577,26.70657515525818,269,Nicolass-Air.technicolor.net,127.0.0.1,26.70657515525818,11
37.0,1711468672,,False,12,0d5d88cd,2024-03-26_16-57-52,2.3554561138153076,29.062031269073486,269,Nicolass-Air.technicolor.net,127.0.0.1,29.062031269073486,12
37.0,1711468674,,False,13,0d5d88cd,2024-03-26_16-57-54,2.487320899963379,31.549352169036865,269,Nicolass-Air.technicolor.net,127.0.0.1,31.549352169036865,13
37.0,1711468677,,False,14,0d5d88cd,2024-03-26_16-57-57,2.460632085800171,34.009984254837036,269,Nicolass-Air.technicolor.net,127.0.0.1,34.009984254837036,14
