reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
14.0,1711468080,,False,1,0e9fcc2f,2024-03-26_16-48-00,0.5697462558746338,0.5697462558746338,269,Nicolass-Air.technicolor.net,127.0.0.1,0.5697462558746338,1
15.0,1711468080,,False,2,0e9fcc2f,2024-03-26_16-48-00,0.6323373317718506,1.2020835876464844,269,Nicolass-Air.technicolor.net,127.0.0.1,1.2020835876464844,2
15.0,1711468081,,False,3,0e9fcc2f,2024-03-26_16-48-01,0.6479072570800781,1.8499908447265625,269,Nicolass-Air.technicolor.net,127.0.0.1,1.8499908447265625,3
15.0,1711468081,,False,4,0e9fcc2f,2024-03-26_16-48-01,0.6353120803833008,2.4853029251098633,269,Nicolass-Air.technicolor.net,127.0.0.1,2.4853029251098633,4
15.0,1711468082,,False,5,0e9fcc2f,2024-03-26_16-48-02,0.6696710586547852,3.1549739837646484,269,Nicolass-Air.technicolor.net,127.0.0.1,3.1549739837646484,5
15.0,1711468083,,False,6,0e9fcc2f,2024-03-26_16-48-03,0.5723161697387695,3.727290153503418,269,Nicolass-Air.technicolor.net,127.0.0.1,3.727290153503418,6
15.0,1711468084,,False,7,0e9fcc2f,2024-03-26_16-48-04,0.7710180282592773,4.498308181762695,269,Nicolass-Air.technicolor.net,127.0.0.1,4.498308181762695,7
15.0,1711468084,,False,8,0e9fcc2f,2024-03-26_16-48-04,0.5564332008361816,5.054741382598877,269,Nicolass-Air.technicolor.net,127.0.0.1,5.054741382598877,8
15.0,1711468085,,False,9,0e9fcc2f,2024-03-26_16-48-05,0.6083998680114746,5.663141250610352,269,Nicolass-Air.technicolor.net,127.0.0.1,5.663141250610352,9
15.0,1711468085,,False,10,0e9fcc2f,2024-03-26_16-48-05,0.6920702457427979,6.355211496353149,269,Nicolass-Air.technicolor.net,127.0.0.1,6.355211496353149,10
15.0,1711468086,,False,11,0e9fcc2f,2024-03-26_16-48-06,0.5858900547027588,6.941101551055908,269,Nicolass-Air.technicolor.net,127.0.0.1,6.941101551055908,11
