reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
13.0,1711468509,,False,1,0f394d08,2024-03-26_16-55-09,1.3918468952178955,1.3918468952178955,284,Nicolass-Air.technicolor.net,127.0.0.1,1.3918468952178955,1
13.0,1711468510,,False,2,0f394d08,2024-03-26_16-55-10,1.41109299659729,2.8029398918151855,284,Nicolass-Air.technicolor.net,127.0.0.1,2.8029398918151855,2
13.0,1711468512,,False,3,0f394d08,2024-03-26_16-55-12,1.4667630195617676,4.269702911376953,284,Nicolass-Air.technicolor.net,127.0.0.1,4.269702911376953,3
13.0,1711468513,,False,4,0f394d08,2024-03-26_16-55-13,1.4462740421295166,5.71597695350647,284,Nicolass-Air.technicolor.net,127.0.0.1,5.71597695350647,4
13.0,1711468514,,False,5,0f394d08,2024-03-26_16-55-14,1.3702521324157715,7.086229085922241,284,Nicolass-Air.technicolor.net,127.0.0.1,7.086229085922241,5
13.0,1711468516,,False,6,0f394d08,2024-03-26_16-55-16,1.3341400623321533,8.420369148254395,284,Nicolass-Air.technicolor.net,127.0.0.1,8.420369148254395,6
13.0,1711468517,,False,7,0f394d08,2024-03-26_16-55-17,1.4555659294128418,9.875935077667236,284,Nicolass-Air.technicolor.net,127.0.0.1,9.875935077667236,7
13.0,1711468519,,False,8,0f394d08,2024-03-26_16-55-19,1.5136339664459229,11.38956904411316,284,Nicolass-Air.technicolor.net,127.0.0.1,11.38956904411316,8
13.0,1711468520,,False,9,0f394d08,2024-03-26_16-55-20,1.5104949474334717,12.90006399154663,284,Nicolass-Air.technicolor.net,127.0.0.1,12.90006399154663,9
13.0,1711468522,,False,10,0f394d08,2024-03-26_16-55-22,1.5142598152160645,14.414323806762695,284,Nicolass-Air.technicolor.net,127.0.0.1,14.414323806762695,10
13.0,1711468523,,False,11,0f394d08,2024-03-26_16-55-23,1.5514531135559082,15.965776920318604,284,Nicolass-Air.technicolor.net,127.0.0.1,15.965776920318604,11
13.0,1711468525,,False,12,0f394d08,2024-03-26_16-55-25,1.4198682308197021,17.385645151138306,284,Nicolass-Air.technicolor.net,127.0.0.1,17.385645151138306,12
13.0,1711468526,,False,13,0f394d08,2024-03-26_16-55-26,1.3913350105285645,18.77698016166687,284,Nicolass-Air.technicolor.net,127.0.0.1,18.77698016166687,13
13.0,1711468527,,False,14,0f394d08,2024-03-26_16-55-27,1.3711869716644287,20.1481671333313,284,Nicolass-Air.technicolor.net,127.0.0.1,20.1481671333313,14
13.0,1711468529,,False,15,0f394d08,2024-03-26_16-55-29,1.4505259990692139,21.598693132400513,284,Nicolass-Air.technicolor.net,127.0.0.1,21.598693132400513,15
13.0,1711468530,,False,16,0f394d08,2024-03-26_16-55-30,1.4493238925933838,23.048017024993896,284,Nicolass-Air.technicolor.net,127.0.0.1,23.048017024993896,16
13.0,1711468532,,False,17,0f394d08,2024-03-26_16-55-32,1.4273700714111328,24.47538709640503,284,Nicolass-Air.technicolor.net,127.0.0.1,24.47538709640503,17
13.0,1711468533,,False,18,0f394d08,2024-03-26_16-55-33,1.46311616897583,25.93850326538086,284,Nicolass-Air.technicolor.net,127.0.0.1,25.93850326538086,18
13.0,1711468535,,False,19,0f394d08,2024-03-26_16-55-35,1.605407953262329,27.54391121864319,284,Nicolass-Air.technicolor.net,127.0.0.1,27.54391121864319,19
13.0,1711468536,,False,20,0f394d08,2024-03-26_16-55-36,1.4071800708770752,28.951091289520264,284,Nicolass-Air.technicolor.net,127.0.0.1,28.951091289520264,20
13.0,1711468538,,False,21,0f394d08,2024-03-26_16-55-38,1.427044153213501,30.378135442733765,284,Nicolass-Air.technicolor.net,127.0.0.1,30.378135442733765,21
13.0,1711468539,,False,22,0f394d08,2024-03-26_16-55-39,1.5124092102050781,31.890544652938843,284,Nicolass-Air.technicolor.net,127.0.0.1,31.890544652938843,22
13.0,1711468541,,False,23,0f394d08,2024-03-26_16-55-41,1.4975581169128418,33.388102769851685,284,Nicolass-Air.technicolor.net,127.0.0.1,33.388102769851685,23
13.0,1711468542,,False,24,0f394d08,2024-03-26_16-55-42,1.4366788864135742,34.82478165626526,284,Nicolass-Air.technicolor.net,127.0.0.1,34.82478165626526,24
13.0,1711468544,,False,25,0f394d08,2024-03-26_16-55-44,1.4119281768798828,36.23670983314514,284,Nicolass-Air.technicolor.net,127.0.0.1,36.23670983314514,25
13.0,1711468545,,False,26,0f394d08,2024-03-26_16-55-45,1.3811120986938477,37.61782193183899,284,Nicolass-Air.technicolor.net,127.0.0.1,37.61782193183899,26
