reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
39.0,1711467942,,False,1,155e4ffa,2024-03-26_16-45-42,2.2369580268859863,2.2369580268859863,324,Nicolass-Air.technicolor.net,127.0.0.1,2.2369580268859863,1
48.0,1711467945,,False,2,155e4ffa,2024-03-26_16-45-45,2.6528267860412598,4.889784812927246,324,Nicolass-Air.technicolor.net,127.0.0.1,4.889784812927246,2
200.0,1711467953,,False,3,155e4ffa,2024-03-26_16-45-53,8.809132099151611,13.698916912078857,324,Nicolass-Air.technicolor.net,127.0.0.1,13.698916912078857,3
200.0,1711467962,,False,4,155e4ffa,2024-03-26_16-46-02,8.769469976425171,22.46838688850403,324,Nicolass-Air.technicolor.net,127.0.0.1,22.46838688850403,4
200.0,1711467970,,False,5,155e4ffa,2024-03-26_16-46-10,8.326551914215088,30.794938802719116,324,Nicolass-Air.technicolor.net,127.0.0.1,30.794938802719116,5
200.0,1711467979,,False,6,155e4ffa,2024-03-26_16-46-19,8.555662155151367,39.35060095787048,324,Nicolass-Air.technicolor.net,127.0.0.1,39.35060095787048,6
200.0,1711467987,,False,7,155e4ffa,2024-03-26_16-46-27,8.29862666130066,47.64922761917114,324,Nicolass-Air.technicolor.net,127.0.0.1,47.64922761917114,7
200.0,1711467995,,False,8,155e4ffa,2024-03-26_16-46-35,8.102529048919678,55.75175666809082,324,Nicolass-Air.technicolor.net,127.0.0.1,55.75175666809082,8
200.0,1711468004,,False,9,155e4ffa,2024-03-26_16-46-44,8.447825908660889,64.19958257675171,324,Nicolass-Air.technicolor.net,127.0.0.1,64.19958257675171,9
200.0,1711468013,,False,10,155e4ffa,2024-03-26_16-46-53,8.595808982849121,72.79539155960083,324,Nicolass-Air.technicolor.net,127.0.0.1,72.79539155960083,10
200.0,1711468020,,False,11,155e4ffa,2024-03-26_16-47-00,7.524957180023193,80.32034873962402,324,Nicolass-Air.technicolor.net,127.0.0.1,80.32034873962402,11
200.0,1711468028,,False,12,155e4ffa,2024-03-26_16-47-08,7.770214080810547,88.09056282043457,324,Nicolass-Air.technicolor.net,127.0.0.1,88.09056282043457,12
200.0,1711468037,,False,13,155e4ffa,2024-03-26_16-47-17,8.14206600189209,96.23262882232666,324,Nicolass-Air.technicolor.net,127.0.0.1,96.23262882232666,13
200.0,1711468045,,False,14,155e4ffa,2024-03-26_16-47-25,8.190180778503418,104.42280960083008,324,Nicolass-Air.technicolor.net,127.0.0.1,104.42280960083008,14
200.0,1711468053,,False,15,155e4ffa,2024-03-26_16-47-33,8.074337005615234,112.49714660644531,324,Nicolass-Air.technicolor.net,127.0.0.1,112.49714660644531,15
200.0,1711468061,,False,16,155e4ffa,2024-03-26_16-47-41,8.342807054519653,120.83995366096497,324,Nicolass-Air.technicolor.net,127.0.0.1,120.83995366096497,16
200.0,1711468070,,False,17,155e4ffa,2024-03-26_16-47-50,8.247300863265991,129.08725452423096,324,Nicolass-Air.technicolor.net,127.0.0.1,129.08725452423096,17
200.0,1711468078,,False,18,155e4ffa,2024-03-26_16-47-58,8.079159021377563,137.16641354560852,324,Nicolass-Air.technicolor.net,127.0.0.1,137.16641354560852,18
200.0,1711468086,,False,19,155e4ffa,2024-03-26_16-48-06,8.449819087982178,145.6162326335907,324,Nicolass-Air.technicolor.net,127.0.0.1,145.6162326335907,19
200.0,1711468094,,False,20,155e4ffa,2024-03-26_16-48-14,8.210849046707153,153.82708168029785,324,Nicolass-Air.technicolor.net,127.0.0.1,153.82708168029785,20
200.0,1711468103,,False,21,155e4ffa,2024-03-26_16-48-23,8.397984981536865,162.22506666183472,324,Nicolass-Air.technicolor.net,127.0.0.1,162.22506666183472,21
200.0,1711468111,,False,22,155e4ffa,2024-03-26_16-48-31,8.535324335098267,170.76039099693298,324,Nicolass-Air.technicolor.net,127.0.0.1,170.76039099693298,22
200.0,1711468120,,False,23,155e4ffa,2024-03-26_16-48-40,8.585262775421143,179.34565377235413,324,Nicolass-Air.technicolor.net,127.0.0.1,179.34565377235413,23
200.0,1711468128,,False,24,155e4ffa,2024-03-26_16-48-48,8.446036100387573,187.7916898727417,324,Nicolass-Air.technicolor.net,127.0.0.1,187.7916898727417,24
200.0,1711468137,,False,25,155e4ffa,2024-03-26_16-48-57,8.345625162124634,196.13731503486633,324,Nicolass-Air.technicolor.net,127.0.0.1,196.13731503486633,25
200.0,1711468145,,False,26,155e4ffa,2024-03-26_16-49-05,8.719135999679565,204.8564510345459,324,Nicolass-Air.technicolor.net,127.0.0.1,204.8564510345459,26
200.0,1711468154,,False,27,155e4ffa,2024-03-26_16-49-14,8.483624935150146,213.34007596969604,324,Nicolass-Air.technicolor.net,127.0.0.1,213.34007596969604,27
200.0,1711468163,,False,28,155e4ffa,2024-03-26_16-49-23,8.715582132339478,222.05565810203552,324,Nicolass-Air.technicolor.net,127.0.0.1,222.05565810203552,28
200.0,1711468172,,False,29,155e4ffa,2024-03-26_16-49-32,9.63413405418396,231.68979215621948,324,Nicolass-Air.technicolor.net,127.0.0.1,231.68979215621948,29
200.0,1711468182,,False,30,155e4ffa,2024-03-26_16-49-42,10.032896995544434,241.72268915176392,324,Nicolass-Air.technicolor.net,127.0.0.1,241.72268915176392,30
200.0,1711468192,,False,31,155e4ffa,2024-03-26_16-49-52,8.337181329727173,250.0598704814911,324,Nicolass-Air.technicolor.net,127.0.0.1,250.0598704814911,31
200.0,1711468201,,False,32,155e4ffa,2024-03-26_16-50-01,9.318245887756348,259.37811636924744,324,Nicolass-Air.technicolor.net,127.0.0.1,259.37811636924744,32
200.0,1711468211,,False,33,155e4ffa,2024-03-26_16-50-11,9.90473484992981,269.28285121917725,324,Nicolass-Air.technicolor.net,127.0.0.1,269.28285121917725,33
200.0,1711468220,,False,34,155e4ffa,2024-03-26_16-50-20,9.401055097579956,278.6839063167572,324,Nicolass-Air.technicolor.net,127.0.0.1,278.6839063167572,34
200.0,1711468231,,False,35,155e4ffa,2024-03-26_16-50-31,10.227751016616821,288.911657333374,324,Nicolass-Air.technicolor.net,127.0.0.1,288.911657333374,35
200.0,1711468239,,False,36,155e4ffa,2024-03-26_16-50-39,8.2343590259552,297.1460163593292,324,Nicolass-Air.technicolor.net,127.0.0.1,297.1460163593292,36
200.0,1711468247,,False,37,155e4ffa,2024-03-26_16-50-47,7.8774027824401855,305.0234191417694,324,Nicolass-Air.technicolor.net,127.0.0.1,305.0234191417694,37
200.0,1711468255,,False,38,155e4ffa,2024-03-26_16-50-55,7.992311954498291,313.0157310962677,324,Nicolass-Air.technicolor.net,127.0.0.1,313.0157310962677,38
200.0,1711468263,,False,39,155e4ffa,2024-03-26_16-51-03,7.96331000328064,320.97904109954834,324,Nicolass-Air.technicolor.net,127.0.0.1,320.97904109954834,39
200.0,1711468271,,False,40,155e4ffa,2024-03-26_16-51-11,7.689190149307251,328.6682312488556,324,Nicolass-Air.technicolor.net,127.0.0.1,328.6682312488556,40
