reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
13.0,1711469281,,False,1,174e2ad9,2024-03-26_17-08-01,3.066027879714966,3.066027879714966,324,Nicolass-Air.technicolor.net,127.0.0.1,3.066027879714966,1
10.0,1711469284,,False,2,174e2ad9,2024-03-26_17-08-04,2.9038772583007812,5.969905138015747,324,Nicolass-Air.technicolor.net,127.0.0.1,5.969905138015747,2
11.5,1711469289,,False,3,174e2ad9,2024-03-26_17-08-09,2.75604510307312,8.725950241088867,324,Nicolass-Air.technicolor.net,127.0.0.1,8.725950241088867,3
9.5,1711469292,,False,4,174e2ad9,2024-03-26_17-08-12,2.5213918685913086,11.247342109680176,324,Nicolass-Air.technicolor.net,127.0.0.1,11.247342109680176,4
10.5,1711469295,,False,5,174e2ad9,2024-03-26_17-08-15,2.5788960456848145,13.82623815536499,324,Nicolass-Air.technicolor.net,127.0.0.1,13.82623815536499,5
10.5,1711469297,,False,6,174e2ad9,2024-03-26_17-08-17,2.879856824874878,16.706094980239868,324,Nicolass-Air.technicolor.net,127.0.0.1,16.706094980239868,6
9.0,1711469300,,False,7,174e2ad9,2024-03-26_17-08-20,2.4680590629577637,19.174154043197632,324,Nicolass-Air.technicolor.net,127.0.0.1,19.174154043197632,7
9.0,1711469303,,False,8,174e2ad9,2024-03-26_17-08-23,2.9642670154571533,22.138421058654785,324,Nicolass-Air.technicolor.net,127.0.0.1,22.138421058654785,8
9.5,1711469305,,False,9,174e2ad9,2024-03-26_17-08-25,2.554622173309326,24.69304323196411,324,Nicolass-Air.technicolor.net,127.0.0.1,24.69304323196411,9
8.5,1711469308,,False,10,174e2ad9,2024-03-26_17-08-28,2.610450267791748,27.30349349975586,324,Nicolass-Air.technicolor.net,127.0.0.1,27.30349349975586,10
10.0,1711469311,,False,11,174e2ad9,2024-03-26_17-08-31,2.6814186573028564,29.984912157058716,324,Nicolass-Air.technicolor.net,127.0.0.1,29.984912157058716,11
8.0,1711469313,,False,12,174e2ad9,2024-03-26_17-08-33,2.467942953109741,32.45285511016846,324,Nicolass-Air.technicolor.net,127.0.0.1,32.45285511016846,12
8.0,1711469316,,False,13,174e2ad9,2024-03-26_17-08-36,2.339772939682007,34.792628049850464,324,Nicolass-Air.technicolor.net,127.0.0.1,34.792628049850464,13
8.0,1711469318,,False,14,174e2ad9,2024-03-26_17-08-38,2.4494588375091553,37.24208688735962,324,Nicolass-Air.technicolor.net,127.0.0.1,37.24208688735962,14
8.0,1711469321,,False,15,174e2ad9,2024-03-26_17-08-41,2.5558419227600098,39.79792881011963,324,Nicolass-Air.technicolor.net,127.0.0.1,39.79792881011963,15
8.0,1711469323,,False,16,174e2ad9,2024-03-26_17-08-43,2.484761953353882,42.28269076347351,324,Nicolass-Air.technicolor.net,127.0.0.1,42.28269076347351,16
8.0,1711469325,,False,17,174e2ad9,2024-03-26_17-08-45,2.3959121704101562,44.67860293388367,324,Nicolass-Air.technicolor.net,127.0.0.1,44.67860293388367,17
8.0,1711469328,,False,18,174e2ad9,2024-03-26_17-08-48,2.429260015487671,47.10786294937134,324,Nicolass-Air.technicolor.net,127.0.0.1,47.10786294937134,18
8.0,1711469330,,False,19,174e2ad9,2024-03-26_17-08-50,2.5450031757354736,49.65286612510681,324,Nicolass-Air.technicolor.net,127.0.0.1,49.65286612510681,19
0.0,1711469332,,False,20,174e2ad9,2024-03-26_17-08-52,1.1313519477844238,50.784218072891235,324,Nicolass-Air.technicolor.net,127.0.0.1,50.784218072891235,20
