reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
11.4,1711466084,,False,1,18bf2b5b,2024-03-26_16-14-44,1.744704008102417,1.744704008102417,269,Nicolass-Air.technicolor.net,127.0.0.1,1.744704008102417,1
10.4,1711466086,,False,2,18bf2b5b,2024-03-26_16-14-46,1.654308795928955,3.399012804031372,269,Nicolass-Air.technicolor.net,127.0.0.1,3.399012804031372,2
9.8,1711466087,,False,3,18bf2b5b,2024-03-26_16-14-47,1.372481107711792,4.771493911743164,269,Nicolass-Air.technicolor.net,127.0.0.1,4.771493911743164,3
12.2,1711466088,,False,4,18bf2b5b,2024-03-26_16-14-48,1.4940948486328125,6.265588760375977,269,Nicolass-Air.technicolor.net,127.0.0.1,6.265588760375977,4
14.2,1711466090,,False,5,18bf2b5b,2024-03-26_16-14-50,2.0661211013793945,8.331709861755371,269,Nicolass-Air.technicolor.net,127.0.0.1,8.331709861755371,5
16.6,1711466093,,False,6,18bf2b5b,2024-03-26_16-14-53,2.151766061782837,10.483475923538208,269,Nicolass-Air.technicolor.net,127.0.0.1,10.483475923538208,6
18.6,1711466095,,False,7,18bf2b5b,2024-03-26_16-14-55,2.5839850902557373,13.067461013793945,269,Nicolass-Air.technicolor.net,127.0.0.1,13.067461013793945,7
15.2,1711466098,,False,8,18bf2b5b,2024-03-26_16-14-58,2.7876129150390625,15.855073928833008,269,Nicolass-Air.technicolor.net,127.0.0.1,15.855073928833008,8
17.8,1711466101,,False,9,18bf2b5b,2024-03-26_16-15-01,2.904106855392456,18.759180784225464,269,Nicolass-Air.technicolor.net,127.0.0.1,18.759180784225464,9
18.4,1711466104,,False,10,18bf2b5b,2024-03-26_16-15-04,2.983616590499878,21.742797374725342,269,Nicolass-Air.technicolor.net,127.0.0.1,21.742797374725342,10
14.6,1711466106,,False,11,18bf2b5b,2024-03-26_16-15-06,2.248570203781128,23.99136757850647,269,Nicolass-Air.technicolor.net,127.0.0.1,23.99136757850647,11
15.8,1711466108,,False,12,18bf2b5b,2024-03-26_16-15-08,2.1640748977661133,26.155442476272583,269,Nicolass-Air.technicolor.net,127.0.0.1,26.155442476272583,12
14.8,1711466110,,False,13,18bf2b5b,2024-03-26_16-15-10,2.0980911254882812,28.253533601760864,269,Nicolass-Air.technicolor.net,127.0.0.1,28.253533601760864,13
13.8,1711466113,,False,14,18bf2b5b,2024-03-26_16-15-13,2.177144765853882,30.430678367614746,269,Nicolass-Air.technicolor.net,127.0.0.1,30.430678367614746,14
11.4,1711466115,,False,15,18bf2b5b,2024-03-26_16-15-15,2.1212899684906006,32.55196833610535,269,Nicolass-Air.technicolor.net,127.0.0.1,32.55196833610535,15
9.0,1711466116,,False,16,18bf2b5b,2024-03-26_16-15-16,1.6392560005187988,34.191224336624146,269,Nicolass-Air.technicolor.net,127.0.0.1,34.191224336624146,16
9.0,1711466118,,False,17,18bf2b5b,2024-03-26_16-15-18,1.526318073272705,35.71754240989685,269,Nicolass-Air.technicolor.net,127.0.0.1,35.71754240989685,17
9.0,1711466119,,False,18,18bf2b5b,2024-03-26_16-15-19,1.5535669326782227,37.27110934257507,269,Nicolass-Air.technicolor.net,127.0.0.1,37.27110934257507,18
9.0,1711466122,,False,19,18bf2b5b,2024-03-26_16-15-22,2.0546491146087646,39.32575845718384,269,Nicolass-Air.technicolor.net,127.0.0.1,39.32575845718384,19
9.0,1711466123,,False,20,18bf2b5b,2024-03-26_16-15-23,1.7829232215881348,41.10868167877197,269,Nicolass-Air.technicolor.net,127.0.0.1,41.10868167877197,20
9.0,1711466125,,False,21,18bf2b5b,2024-03-26_16-15-25,1.9078662395477295,43.0165479183197,269,Nicolass-Air.technicolor.net,127.0.0.1,43.0165479183197,21
9.0,1711466127,,False,22,18bf2b5b,2024-03-26_16-15-27,2.0337748527526855,45.05032277107239,269,Nicolass-Air.technicolor.net,127.0.0.1,45.05032277107239,22
9.0,1711466130,,False,23,18bf2b5b,2024-03-26_16-15-30,2.2369468212127686,47.287269592285156,269,Nicolass-Air.technicolor.net,127.0.0.1,47.287269592285156,23
9.0,1711466132,,False,24,18bf2b5b,2024-03-26_16-15-32,2.2121100425720215,49.49937963485718,269,Nicolass-Air.technicolor.net,127.0.0.1,49.49937963485718,24
9.0,1711466134,,False,25,18bf2b5b,2024-03-26_16-15-34,2.0059099197387695,51.50528955459595,269,Nicolass-Air.technicolor.net,127.0.0.1,51.50528955459595,25
9.0,1711466136,,False,26,18bf2b5b,2024-03-26_16-15-36,1.9180328845977783,53.423322439193726,269,Nicolass-Air.technicolor.net,127.0.0.1,53.423322439193726,26
9.0,1711466138,,False,27,18bf2b5b,2024-03-26_16-15-38,2.2026889324188232,55.62601137161255,269,Nicolass-Air.technicolor.net,127.0.0.1,55.62601137161255,27
9.0,1711466140,,False,28,18bf2b5b,2024-03-26_16-15-40,1.9098308086395264,57.535842180252075,269,Nicolass-Air.technicolor.net,127.0.0.1,57.535842180252075,28
9.0,1711466142,,False,29,18bf2b5b,2024-03-26_16-15-42,1.9153668880462646,59.45120906829834,269,Nicolass-Air.technicolor.net,127.0.0.1,59.45120906829834,29
9.0,1711466144,,False,30,18bf2b5b,2024-03-26_16-15-44,1.9436852931976318,61.39489436149597,269,Nicolass-Air.technicolor.net,127.0.0.1,61.39489436149597,30
9.0,1711466146,,False,31,18bf2b5b,2024-03-26_16-15-46,2.0815720558166504,63.47646641731262,269,Nicolass-Air.technicolor.net,127.0.0.1,63.47646641731262,31
9.0,1711466148,,False,32,18bf2b5b,2024-03-26_16-15-48,1.9432871341705322,65.41975355148315,269,Nicolass-Air.technicolor.net,127.0.0.1,65.41975355148315,32
9.0,1711466150,,False,33,18bf2b5b,2024-03-26_16-15-50,2.00656795501709,67.42632150650024,269,Nicolass-Air.technicolor.net,127.0.0.1,67.42632150650024,33
9.0,1711466152,,False,34,18bf2b5b,2024-03-26_16-15-52,1.9264960289001465,69.35281753540039,269,Nicolass-Air.technicolor.net,127.0.0.1,69.35281753540039,34
9.0,1711466154,,False,35,18bf2b5b,2024-03-26_16-15-54,2.010334014892578,71.36315155029297,269,Nicolass-Air.technicolor.net,127.0.0.1,71.36315155029297,35
9.0,1711466156,,False,36,18bf2b5b,2024-03-26_16-15-56,2.034158945083618,73.39731049537659,269,Nicolass-Air.technicolor.net,127.0.0.1,73.39731049537659,36
9.0,1711466158,,False,37,18bf2b5b,2024-03-26_16-15-58,1.9827570915222168,75.3800675868988,269,Nicolass-Air.technicolor.net,127.0.0.1,75.3800675868988,37
9.0,1711466160,,False,38,18bf2b5b,2024-03-26_16-16-00,2.309192180633545,77.68925976753235,269,Nicolass-Air.technicolor.net,127.0.0.1,77.68925976753235,38
9.0,1711466162,,False,39,18bf2b5b,2024-03-26_16-16-02,2.098659038543701,79.78791880607605,269,Nicolass-Air.technicolor.net,127.0.0.1,79.78791880607605,39
9.0,1711466164,,False,40,18bf2b5b,2024-03-26_16-16-04,2.024135112762451,81.8120539188385,269,Nicolass-Air.technicolor.net,127.0.0.1,81.8120539188385,40
