reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
14.0,1711469126,,False,1,1975070c,2024-03-26_17-05-26,0.2532188892364502,0.2532188892364502,436,Nicolass-Air.technicolor.net,127.0.0.1,0.2532188892364502,1
10.875,1711469126,,False,2,1975070c,2024-03-26_17-05-26,0.20780324935913086,0.46102213859558105,436,Nicolass-Air.technicolor.net,127.0.0.1,0.46102213859558105,2
10.625,1711469126,,False,3,1975070c,2024-03-26_17-05-26,0.2088627815246582,0.6698849201202393,436,Nicolass-Air.technicolor.net,127.0.0.1,0.6698849201202393,3
12.625,1711469128,,False,4,1975070c,2024-03-26_17-05-28,0.22932696342468262,0.8992118835449219,436,Nicolass-Air.technicolor.net,127.0.0.1,0.8992118835449219,4
13.0,1711469128,,False,5,1975070c,2024-03-26_17-05-28,0.2093489170074463,1.1085608005523682,436,Nicolass-Air.technicolor.net,127.0.0.1,1.1085608005523682,5
13.375,1711469129,,False,6,1975070c,2024-03-26_17-05-29,0.3193049430847168,1.427865743637085,436,Nicolass-Air.technicolor.net,127.0.0.1,1.427865743637085,6
15.375,1711469129,,False,7,1975070c,2024-03-26_17-05-29,0.42127323150634766,1.8491389751434326,436,Nicolass-Air.technicolor.net,127.0.0.1,1.8491389751434326,7
12.5,1711469130,,False,8,1975070c,2024-03-26_17-05-30,0.46547698974609375,2.3146159648895264,436,Nicolass-Air.technicolor.net,127.0.0.1,2.3146159648895264,8
13.125,1711469130,,False,9,1975070c,2024-03-26_17-05-30,0.30991101264953613,2.6245269775390625,436,Nicolass-Air.technicolor.net,127.0.0.1,2.6245269775390625,9
14.75,1711469130,,False,10,1975070c,2024-03-26_17-05-30,0.3131980895996094,2.937725067138672,436,Nicolass-Air.technicolor.net,127.0.0.1,2.937725067138672,10
13.25,1711469131,,False,11,1975070c,2024-03-26_17-05-31,0.2624490261077881,3.20017409324646,436,Nicolass-Air.technicolor.net,127.0.0.1,3.20017409324646,11
11.875,1711469131,,False,12,1975070c,2024-03-26_17-05-31,0.22951912879943848,3.4296932220458984,436,Nicolass-Air.technicolor.net,127.0.0.1,3.4296932220458984,12
13.0,1711469131,,False,13,1975070c,2024-03-26_17-05-31,0.2480149269104004,3.677708148956299,436,Nicolass-Air.technicolor.net,127.0.0.1,3.677708148956299,13
11.875,1711469131,,False,14,1975070c,2024-03-26_17-05-31,0.2445049285888672,3.922213077545166,436,Nicolass-Air.technicolor.net,127.0.0.1,3.922213077545166,14
11.125,1711469132,,False,15,1975070c,2024-03-26_17-05-32,0.24059796333312988,4.162811040878296,436,Nicolass-Air.technicolor.net,127.0.0.1,4.162811040878296,15
13.25,1711469132,,False,16,1975070c,2024-03-26_17-05-32,0.26213812828063965,4.4249491691589355,436,Nicolass-Air.technicolor.net,127.0.0.1,4.4249491691589355,16
11.875,1711469132,,False,17,1975070c,2024-03-26_17-05-32,0.23073315620422363,4.655682325363159,436,Nicolass-Air.technicolor.net,127.0.0.1,4.655682325363159,17
10.5,1711469132,,False,18,1975070c,2024-03-26_17-05-32,0.21258997917175293,4.868272304534912,436,Nicolass-Air.technicolor.net,127.0.0.1,4.868272304534912,18
10.25,1711469133,,False,19,1975070c,2024-03-26_17-05-33,0.2145850658416748,5.082857370376587,436,Nicolass-Air.technicolor.net,127.0.0.1,5.082857370376587,19
11.25,1711469133,,False,20,1975070c,2024-03-26_17-05-33,0.2555551528930664,5.338412523269653,436,Nicolass-Air.technicolor.net,127.0.0.1,5.338412523269653,20
10.75,1711469133,,False,21,1975070c,2024-03-26_17-05-33,0.23764300346374512,5.576055526733398,436,Nicolass-Air.technicolor.net,127.0.0.1,5.576055526733398,21
10.875,1711469133,,False,22,1975070c,2024-03-26_17-05-33,0.21297502517700195,5.7890305519104,436,Nicolass-Air.technicolor.net,127.0.0.1,5.7890305519104,22
10.375,1711469133,,False,23,1975070c,2024-03-26_17-05-33,0.22013592720031738,6.009166479110718,436,Nicolass-Air.technicolor.net,127.0.0.1,6.009166479110718,23
10.875,1711469134,,False,24,1975070c,2024-03-26_17-05-34,0.24559497833251953,6.254761457443237,436,Nicolass-Air.technicolor.net,127.0.0.1,6.254761457443237,24
12.0,1711469134,,False,25,1975070c,2024-03-26_17-05-34,0.26172590255737305,6.51648736000061,436,Nicolass-Air.technicolor.net,127.0.0.1,6.51648736000061,25
12.75,1711469134,,False,26,1975070c,2024-03-26_17-05-34,0.26903796195983887,6.785525321960449,436,Nicolass-Air.technicolor.net,127.0.0.1,6.785525321960449,26
14.5,1711469135,,False,27,1975070c,2024-03-26_17-05-35,0.3894660472869873,7.1749913692474365,436,Nicolass-Air.technicolor.net,127.0.0.1,7.1749913692474365,27
14.375,1711469135,,False,28,1975070c,2024-03-26_17-05-35,0.491077184677124,7.6660685539245605,436,Nicolass-Air.technicolor.net,127.0.0.1,7.6660685539245605,28
15.625,1711469136,,False,29,1975070c,2024-03-26_17-05-36,0.36911988258361816,8.035188436508179,436,Nicolass-Air.technicolor.net,127.0.0.1,8.035188436508179,29
15.125,1711469136,,False,30,1975070c,2024-03-26_17-05-36,0.31753110885620117,8.35271954536438,436,Nicolass-Air.technicolor.net,127.0.0.1,8.35271954536438,30
19.125,1711469136,,False,31,1975070c,2024-03-26_17-05-36,0.4099760055541992,8.762695550918579,436,Nicolass-Air.technicolor.net,127.0.0.1,8.762695550918579,31
19.25,1711469137,,False,32,1975070c,2024-03-26_17-05-37,0.38361096382141113,9.14630651473999,436,Nicolass-Air.technicolor.net,127.0.0.1,9.14630651473999,32
15.25,1711469137,,False,33,1975070c,2024-03-26_17-05-37,0.30428218841552734,9.450588703155518,436,Nicolass-Air.technicolor.net,127.0.0.1,9.450588703155518,33
14.0,1711469137,,False,34,1975070c,2024-03-26_17-05-37,0.303210973739624,9.753799676895142,436,Nicolass-Air.technicolor.net,127.0.0.1,9.753799676895142,34
14.875,1711469138,,False,35,1975070c,2024-03-26_17-05-38,0.2870020866394043,10.040801763534546,436,Nicolass-Air.technicolor.net,127.0.0.1,10.040801763534546,35
14.25,1711469138,,False,36,1975070c,2024-03-26_17-05-38,0.299511194229126,10.340312957763672,436,Nicolass-Air.technicolor.net,127.0.0.1,10.340312957763672,36
14.625,1711469138,,False,37,1975070c,2024-03-26_17-05-38,0.31238293647766113,10.652695894241333,436,Nicolass-Air.technicolor.net,127.0.0.1,10.652695894241333,37
15.25,1711469138,,False,38,1975070c,2024-03-26_17-05-38,0.3097391128540039,10.962435007095337,436,Nicolass-Air.technicolor.net,127.0.0.1,10.962435007095337,38
17.375,1711469139,,False,39,1975070c,2024-03-26_17-05-39,0.33377718925476074,11.296212196350098,436,Nicolass-Air.technicolor.net,127.0.0.1,11.296212196350098,39
14.625,1711469139,,False,40,1975070c,2024-03-26_17-05-39,0.3245668411254883,11.620779037475586,436,Nicolass-Air.technicolor.net,127.0.0.1,11.620779037475586,40
