reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
20.0,1711468613,,False,1,1b5a7ecf,2024-03-26_16-56-53,0.6011271476745605,0.6011271476745605,324,Nicolass-Air.technicolor.net,127.0.0.1,0.6011271476745605,1
51.0,1711468614,,False,2,1b5a7ecf,2024-03-26_16-56-54,1.0001041889190674,1.601231336593628,324,Nicolass-Air.technicolor.net,127.0.0.1,1.601231336593628,2
51.0,1711468615,,False,3,1b5a7ecf,2024-03-26_16-56-55,1.0607218742370605,2.6619532108306885,324,Nicolass-Air.technicolor.net,127.0.0.1,2.6619532108306885,3
51.0,1711468616,,False,4,1b5a7ecf,2024-03-26_16-56-56,0.8955292701721191,3.5574824810028076,324,Nicolass-Air.technicolor.net,127.0.0.1,3.5574824810028076,4
51.0,1711468617,,False,5,1b5a7ecf,2024-03-26_16-56-57,0.9246189594268799,4.4821014404296875,324,Nicolass-Air.technicolor.net,127.0.0.1,4.4821014404296875,5
51.0,1711468618,,False,6,1b5a7ecf,2024-03-26_16-56-58,0.9506320953369141,5.432733535766602,324,Nicolass-Air.technicolor.net,127.0.0.1,5.432733535766602,6
63.0,1711468619,,False,7,1b5a7ecf,2024-03-26_16-56-59,1.081308126449585,6.5140416622161865,324,Nicolass-Air.technicolor.net,127.0.0.1,6.5140416622161865,7
62.0,1711468620,,False,8,1b5a7ecf,2024-03-26_16-57-00,1.1111969947814941,7.625238656997681,324,Nicolass-Air.technicolor.net,127.0.0.1,7.625238656997681,8
71.0,1711468622,,False,9,1b5a7ecf,2024-03-26_16-57-02,1.1614601612091064,8.786698818206787,324,Nicolass-Air.technicolor.net,127.0.0.1,8.786698818206787,9
71.0,1711468623,,False,10,1b5a7ecf,2024-03-26_16-57-03,1.316295862197876,10.102994680404663,324,Nicolass-Air.technicolor.net,127.0.0.1,10.102994680404663,10
71.0,1711468624,,False,11,1b5a7ecf,2024-03-26_16-57-04,1.1126489639282227,11.215643644332886,324,Nicolass-Air.technicolor.net,127.0.0.1,11.215643644332886,11
71.0,1711468625,,False,12,1b5a7ecf,2024-03-26_16-57-05,1.144956111907959,12.360599756240845,324,Nicolass-Air.technicolor.net,127.0.0.1,12.360599756240845,12
71.0,1711468626,,False,13,1b5a7ecf,2024-03-26_16-57-06,1.1544270515441895,13.515026807785034,324,Nicolass-Air.technicolor.net,127.0.0.1,13.515026807785034,13
71.0,1711468627,,False,14,1b5a7ecf,2024-03-26_16-57-07,1.1220018863677979,14.637028694152832,324,Nicolass-Air.technicolor.net,127.0.0.1,14.637028694152832,14
71.0,1711468629,,False,15,1b5a7ecf,2024-03-26_16-57-09,1.072638988494873,15.709667682647705,324,Nicolass-Air.technicolor.net,127.0.0.1,15.709667682647705,15
71.0,1711468630,,False,16,1b5a7ecf,2024-03-26_16-57-10,1.075287103652954,16.78495478630066,324,Nicolass-Air.technicolor.net,127.0.0.1,16.78495478630066,16
71.0,1711468631,,False,17,1b5a7ecf,2024-03-26_16-57-11,1.1527698040008545,17.937724590301514,324,Nicolass-Air.technicolor.net,127.0.0.1,17.937724590301514,17
71.0,1711468632,,False,18,1b5a7ecf,2024-03-26_16-57-12,1.0860531330108643,19.023777723312378,324,Nicolass-Air.technicolor.net,127.0.0.1,19.023777723312378,18
71.0,1711468633,,False,19,1b5a7ecf,2024-03-26_16-57-13,1.0971829891204834,20.12096071243286,324,Nicolass-Air.technicolor.net,127.0.0.1,20.12096071243286,19
71.0,1711468634,,False,20,1b5a7ecf,2024-03-26_16-57-14,1.1029448509216309,21.223905563354492,324,Nicolass-Air.technicolor.net,127.0.0.1,21.223905563354492,20
71.0,1711468635,,False,21,1b5a7ecf,2024-03-26_16-57-15,1.1219608783721924,22.345866441726685,324,Nicolass-Air.technicolor.net,127.0.0.1,22.345866441726685,21
71.0,1711468636,,False,22,1b5a7ecf,2024-03-26_16-57-16,1.107609748840332,23.453476190567017,324,Nicolass-Air.technicolor.net,127.0.0.1,23.453476190567017,22
71.0,1711468637,,False,23,1b5a7ecf,2024-03-26_16-57-17,1.0791187286376953,24.532594919204712,324,Nicolass-Air.technicolor.net,127.0.0.1,24.532594919204712,23
80.0,1711468639,,False,24,1b5a7ecf,2024-03-26_16-57-19,1.298490047454834,25.831084966659546,324,Nicolass-Air.technicolor.net,127.0.0.1,25.831084966659546,24
87.0,1711468640,,False,25,1b5a7ecf,2024-03-26_16-57-20,1.3709051609039307,27.201990127563477,324,Nicolass-Air.technicolor.net,127.0.0.1,27.201990127563477,25
85.0,1711468641,,False,26,1b5a7ecf,2024-03-26_16-57-21,1.2407450675964355,28.442735195159912,324,Nicolass-Air.technicolor.net,127.0.0.1,28.442735195159912,26
85.0,1711468643,,False,27,1b5a7ecf,2024-03-26_16-57-23,1.2667601108551025,29.709495306015015,324,Nicolass-Air.technicolor.net,127.0.0.1,29.709495306015015,27
84.0,1711468644,,False,28,1b5a7ecf,2024-03-26_16-57-24,1.460777997970581,31.170273303985596,324,Nicolass-Air.technicolor.net,127.0.0.1,31.170273303985596,28
85.0,1711468645,,False,29,1b5a7ecf,2024-03-26_16-57-25,1.3888671398162842,32.55914044380188,324,Nicolass-Air.technicolor.net,127.0.0.1,32.55914044380188,29
85.0,1711468647,,False,30,1b5a7ecf,2024-03-26_16-57-27,1.2737197875976562,33.832860231399536,324,Nicolass-Air.technicolor.net,127.0.0.1,33.832860231399536,30
85.0,1711468648,,False,31,1b5a7ecf,2024-03-26_16-57-28,1.2559752464294434,35.08883547782898,324,Nicolass-Air.technicolor.net,127.0.0.1,35.08883547782898,31
85.0,1711468649,,False,32,1b5a7ecf,2024-03-26_16-57-29,1.2610809803009033,36.34991645812988,324,Nicolass-Air.technicolor.net,127.0.0.1,36.34991645812988,32
44.0,1711468650,,False,33,1b5a7ecf,2024-03-26_16-57-30,0.8693010807037354,37.21921753883362,324,Nicolass-Air.technicolor.net,127.0.0.1,37.21921753883362,33
44.0,1711468651,,False,34,1b5a7ecf,2024-03-26_16-57-31,0.9101698398590088,38.12938737869263,324,Nicolass-Air.technicolor.net,127.0.0.1,38.12938737869263,34
44.0,1711468652,,False,35,1b5a7ecf,2024-03-26_16-57-32,0.8487040996551514,38.97809147834778,324,Nicolass-Air.technicolor.net,127.0.0.1,38.97809147834778,35
44.0,1711468653,,False,36,1b5a7ecf,2024-03-26_16-57-33,0.8275210857391357,39.805612564086914,324,Nicolass-Air.technicolor.net,127.0.0.1,39.805612564086914,36
44.0,1711468654,,False,37,1b5a7ecf,2024-03-26_16-57-34,0.8451361656188965,40.65074872970581,324,Nicolass-Air.technicolor.net,127.0.0.1,40.65074872970581,37
44.0,1711468654,,False,38,1b5a7ecf,2024-03-26_16-57-34,0.8750462532043457,41.525794982910156,324,Nicolass-Air.technicolor.net,127.0.0.1,41.525794982910156,38
44.0,1711468655,,False,39,1b5a7ecf,2024-03-26_16-57-35,0.8636999130249023,42.38949489593506,324,Nicolass-Air.technicolor.net,127.0.0.1,42.38949489593506,39
44.0,1711468656,,False,40,1b5a7ecf,2024-03-26_16-57-36,0.7437083721160889,43.13320326805115,324,Nicolass-Air.technicolor.net,127.0.0.1,43.13320326805115,40
