reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
39.0,1711467301,,False,1,1c49b03d,2024-03-26_16-35-01,0.9490160942077637,0.9490160942077637,436,Nicolass-Air.technicolor.net,127.0.0.1,0.9490160942077637,1
45.0,1711467304,,False,2,1c49b03d,2024-03-26_16-35-04,1.0945549011230469,2.0435709953308105,436,Nicolass-Air.technicolor.net,127.0.0.1,2.0435709953308105,2
45.0,1711467305,,False,3,1c49b03d,2024-03-26_16-35-05,1.3046128749847412,3.3481838703155518,436,Nicolass-Air.technicolor.net,127.0.0.1,3.3481838703155518,3
45.0,1711467306,,False,4,1c49b03d,2024-03-26_16-35-06,1.198174238204956,4.546358108520508,436,Nicolass-Air.technicolor.net,127.0.0.1,4.546358108520508,4
45.0,1711467308,,False,5,1c49b03d,2024-03-26_16-35-08,1.147212028503418,5.693570137023926,436,Nicolass-Air.technicolor.net,127.0.0.1,5.693570137023926,5
45.0,1711467309,,False,6,1c49b03d,2024-03-26_16-35-09,1.2245888710021973,6.918159008026123,436,Nicolass-Air.technicolor.net,127.0.0.1,6.918159008026123,6
45.0,1711467310,,False,7,1c49b03d,2024-03-26_16-35-10,1.1597387790679932,8.077897787094116,436,Nicolass-Air.technicolor.net,127.0.0.1,8.077897787094116,7
45.0,1711467311,,False,8,1c49b03d,2024-03-26_16-35-11,1.2101130485534668,9.288010835647583,436,Nicolass-Air.technicolor.net,127.0.0.1,9.288010835647583,8
45.0,1711467312,,False,9,1c49b03d,2024-03-26_16-35-12,1.1610376834869385,10.449048519134521,436,Nicolass-Air.technicolor.net,127.0.0.1,10.449048519134521,9
45.0,1711467313,,False,10,1c49b03d,2024-03-26_16-35-13,1.1822009086608887,11.63124942779541,436,Nicolass-Air.technicolor.net,127.0.0.1,11.63124942779541,10
45.0,1711467315,,False,11,1c49b03d,2024-03-26_16-35-15,1.1641018390655518,12.795351266860962,436,Nicolass-Air.technicolor.net,127.0.0.1,12.795351266860962,11
45.0,1711467316,,False,12,1c49b03d,2024-03-26_16-35-16,1.1855781078338623,13.980929374694824,436,Nicolass-Air.technicolor.net,127.0.0.1,13.980929374694824,12
45.0,1711467317,,False,13,1c49b03d,2024-03-26_16-35-17,1.158266305923462,15.139195680618286,436,Nicolass-Air.technicolor.net,127.0.0.1,15.139195680618286,13
45.0,1711467318,,False,14,1c49b03d,2024-03-26_16-35-18,1.1406669616699219,16.279862642288208,436,Nicolass-Air.technicolor.net,127.0.0.1,16.279862642288208,14
45.0,1711467319,,False,15,1c49b03d,2024-03-26_16-35-19,1.1597621440887451,17.439624786376953,436,Nicolass-Air.technicolor.net,127.0.0.1,17.439624786376953,15
45.0,1711467320,,False,16,1c49b03d,2024-03-26_16-35-20,1.1554510593414307,18.595075845718384,436,Nicolass-Air.technicolor.net,127.0.0.1,18.595075845718384,16
45.0,1711467322,,False,17,1c49b03d,2024-03-26_16-35-22,1.1410329341888428,19.736108779907227,436,Nicolass-Air.technicolor.net,127.0.0.1,19.736108779907227,17
