reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
20.0,1711467779,,False,1,218c4f76,2024-03-26_16-42-59,0.6008939743041992,0.6008939743041992,524,Nicolass-Air.technicolor.net,127.0.0.1,0.6008939743041992,1
60.0,1711467780,,False,2,218c4f76,2024-03-26_16-43-00,0.9934892654418945,1.5943832397460938,524,Nicolass-Air.technicolor.net,127.0.0.1,1.5943832397460938,2
34.0,1711467781,,False,3,218c4f76,2024-03-26_16-43-01,0.8439817428588867,2.4383649826049805,524,Nicolass-Air.technicolor.net,127.0.0.1,2.4383649826049805,3
35.0,1711467782,,False,4,218c4f76,2024-03-26_16-43-02,0.9058637619018555,3.344228744506836,524,Nicolass-Air.technicolor.net,127.0.0.1,3.344228744506836,4
35.0,1711467783,,False,5,218c4f76,2024-03-26_16-43-03,0.9283521175384521,4.272580862045288,524,Nicolass-Air.technicolor.net,127.0.0.1,4.272580862045288,5
35.0,1711467784,,False,6,218c4f76,2024-03-26_16-43-04,0.9184842109680176,5.191065073013306,524,Nicolass-Air.technicolor.net,127.0.0.1,5.191065073013306,6
35.0,1711467785,,False,7,218c4f76,2024-03-26_16-43-05,1.0004022121429443,6.19146728515625,524,Nicolass-Air.technicolor.net,127.0.0.1,6.19146728515625,7
35.0,1711467786,,False,8,218c4f76,2024-03-26_16-43-06,0.8722867965698242,7.063754081726074,524,Nicolass-Air.technicolor.net,127.0.0.1,7.063754081726074,8
35.0,1711467787,,False,9,218c4f76,2024-03-26_16-43-07,0.870427131652832,7.934181213378906,524,Nicolass-Air.technicolor.net,127.0.0.1,7.934181213378906,9
35.0,1711467787,,False,10,218c4f76,2024-03-26_16-43-07,0.8508260250091553,8.785007238388062,524,Nicolass-Air.technicolor.net,127.0.0.1,8.785007238388062,10
35.0,1711467788,,False,11,218c4f76,2024-03-26_16-43-08,0.8776741027832031,9.662681341171265,524,Nicolass-Air.technicolor.net,127.0.0.1,9.662681341171265,11
35.0,1711467789,,False,12,218c4f76,2024-03-26_16-43-09,0.8736331462860107,10.536314487457275,524,Nicolass-Air.technicolor.net,127.0.0.1,10.536314487457275,12
35.0,1711467790,,False,13,218c4f76,2024-03-26_16-43-10,0.8725519180297852,11.40886640548706,524,Nicolass-Air.technicolor.net,127.0.0.1,11.40886640548706,13
