reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
14.0,1711468541,,False,1,267b4b6b,2024-03-26_16-55-41,0.9896681308746338,0.9896681308746338,269,Nicolass-Air.technicolor.net,127.0.0.1,0.9896681308746338,1
14.0,1711468542,,False,2,267b4b6b,2024-03-26_16-55-42,1.1564722061157227,2.1461403369903564,269,Nicolass-Air.technicolor.net,127.0.0.1,2.1461403369903564,2
14.0,1711468543,,False,3,267b4b6b,2024-03-26_16-55-43,1.1330962181091309,3.2792365550994873,269,Nicolass-Air.technicolor.net,127.0.0.1,3.2792365550994873,3
14.0,1711468544,,False,4,267b4b6b,2024-03-26_16-55-44,1.2136828899383545,4.492919445037842,269,Nicolass-Air.technicolor.net,127.0.0.1,4.492919445037842,4
14.0,1711468546,,False,5,267b4b6b,2024-03-26_16-55-46,1.16111421585083,5.654033660888672,269,Nicolass-Air.technicolor.net,127.0.0.1,5.654033660888672,5
14.0,1711468547,,False,6,267b4b6b,2024-03-26_16-55-47,1.1287281513214111,6.782761812210083,269,Nicolass-Air.technicolor.net,127.0.0.1,6.782761812210083,6
14.0,1711468548,,False,7,267b4b6b,2024-03-26_16-55-48,1.133924961090088,7.916686773300171,269,Nicolass-Air.technicolor.net,127.0.0.1,7.916686773300171,7
14.0,1711468549,,False,8,267b4b6b,2024-03-26_16-55-49,1.1381070613861084,9.05479383468628,269,Nicolass-Air.technicolor.net,127.0.0.1,9.05479383468628,8
14.0,1711468550,,False,9,267b4b6b,2024-03-26_16-55-50,1.3152520656585693,10.370045900344849,269,Nicolass-Air.technicolor.net,127.0.0.1,10.370045900344849,9
14.0,1711468552,,False,10,267b4b6b,2024-03-26_16-55-52,1.1873860359191895,11.557431936264038,269,Nicolass-Air.technicolor.net,127.0.0.1,11.557431936264038,10
14.0,1711468553,,False,11,267b4b6b,2024-03-26_16-55-53,1.1141059398651123,12.67153787612915,269,Nicolass-Air.technicolor.net,127.0.0.1,12.67153787612915,11
14.0,1711468554,,False,12,267b4b6b,2024-03-26_16-55-54,1.1449987888336182,13.816536664962769,269,Nicolass-Air.technicolor.net,127.0.0.1,13.816536664962769,12
14.0,1711468555,,False,13,267b4b6b,2024-03-26_16-55-55,1.1441259384155273,14.960662603378296,269,Nicolass-Air.technicolor.net,127.0.0.1,14.960662603378296,13
14.0,1711468556,,False,14,267b4b6b,2024-03-26_16-55-56,1.2744600772857666,16.235122680664062,269,Nicolass-Air.technicolor.net,127.0.0.1,16.235122680664062,14
14.0,1711468557,,False,15,267b4b6b,2024-03-26_16-55-57,1.2640159130096436,17.499138593673706,269,Nicolass-Air.technicolor.net,127.0.0.1,17.499138593673706,15
14.0,1711468559,,False,16,267b4b6b,2024-03-26_16-55-59,1.234178066253662,18.733316659927368,269,Nicolass-Air.technicolor.net,127.0.0.1,18.733316659927368,16
14.0,1711468560,,False,17,267b4b6b,2024-03-26_16-56-00,1.2774138450622559,20.010730504989624,269,Nicolass-Air.technicolor.net,127.0.0.1,20.010730504989624,17
14.0,1711468561,,False,18,267b4b6b,2024-03-26_16-56-01,1.1853318214416504,21.196062326431274,269,Nicolass-Air.technicolor.net,127.0.0.1,21.196062326431274,18
14.0,1711468562,,False,19,267b4b6b,2024-03-26_16-56-02,1.2306509017944336,22.426713228225708,269,Nicolass-Air.technicolor.net,127.0.0.1,22.426713228225708,19
14.0,1711468564,,False,20,267b4b6b,2024-03-26_16-56-04,1.2298150062561035,23.65652823448181,269,Nicolass-Air.technicolor.net,127.0.0.1,23.65652823448181,20
14.0,1711468565,,False,21,267b4b6b,2024-03-26_16-56-05,1.1244099140167236,24.780938148498535,269,Nicolass-Air.technicolor.net,127.0.0.1,24.780938148498535,21
14.0,1711468566,,False,22,267b4b6b,2024-03-26_16-56-06,1.1968390941619873,25.977777242660522,269,Nicolass-Air.technicolor.net,127.0.0.1,25.977777242660522,22
0.0,1711468567,,False,23,267b4b6b,2024-03-26_16-56-07,1.0548479557037354,27.032625198364258,269,Nicolass-Air.technicolor.net,127.0.0.1,27.032625198364258,23
