reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
20.0,1711467194,,False,1,27af276e,2024-03-26_16-33-14,0.9596340656280518,0.9596340656280518,436,Nicolass-Air.technicolor.net,127.0.0.1,0.9596340656280518,1
20.0,1711467195,,False,2,27af276e,2024-03-26_16-33-15,0.9418270587921143,1.901461124420166,436,Nicolass-Air.technicolor.net,127.0.0.1,1.901461124420166,2
20.0,1711467196,,False,3,27af276e,2024-03-26_16-33-16,1.035510778427124,2.93697190284729,436,Nicolass-Air.technicolor.net,127.0.0.1,2.93697190284729,3
20.0,1711467197,,False,4,27af276e,2024-03-26_16-33-17,1.1693129539489746,4.106284856796265,436,Nicolass-Air.technicolor.net,127.0.0.1,4.106284856796265,4
20.0,1711467198,,False,5,27af276e,2024-03-26_16-33-18,1.2111937999725342,5.317478656768799,436,Nicolass-Air.technicolor.net,127.0.0.1,5.317478656768799,5
20.0,1711467199,,False,6,27af276e,2024-03-26_16-33-19,1.0394487380981445,6.356927394866943,436,Nicolass-Air.technicolor.net,127.0.0.1,6.356927394866943,6
20.0,1711467200,,False,7,27af276e,2024-03-26_16-33-20,1.1062989234924316,7.463226318359375,436,Nicolass-Air.technicolor.net,127.0.0.1,7.463226318359375,7
20.0,1711467201,,False,8,27af276e,2024-03-26_16-33-21,1.2690720558166504,8.732298374176025,436,Nicolass-Air.technicolor.net,127.0.0.1,8.732298374176025,8
20.0,1711467203,,False,9,27af276e,2024-03-26_16-33-23,1.3217799663543701,10.054078340530396,436,Nicolass-Air.technicolor.net,127.0.0.1,10.054078340530396,9
20.0,1711467204,,False,10,27af276e,2024-03-26_16-33-24,1.1551828384399414,11.209261178970337,436,Nicolass-Air.technicolor.net,127.0.0.1,11.209261178970337,10
20.0,1711467205,,False,11,27af276e,2024-03-26_16-33-25,1.1826519966125488,12.391913175582886,436,Nicolass-Air.technicolor.net,127.0.0.1,12.391913175582886,11
20.0,1711467206,,False,12,27af276e,2024-03-26_16-33-26,1.2504870891571045,13.64240026473999,436,Nicolass-Air.technicolor.net,127.0.0.1,13.64240026473999,12
