reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
23.0,1711469115,,False,1,2fe0f8a8,2024-03-26_17-05-15,0.22456979751586914,0.22456979751586914,533,Nicolass-Air.technicolor.net,127.0.0.1,0.22456979751586914,1
20.0,1711469115,,False,2,2fe0f8a8,2024-03-26_17-05-15,0.24781394004821777,0.4723837375640869,533,Nicolass-Air.technicolor.net,127.0.0.1,0.4723837375640869,2
18.0,1711469115,,False,3,2fe0f8a8,2024-03-26_17-05-15,0.22789883613586426,0.7002825736999512,533,Nicolass-Air.technicolor.net,127.0.0.1,0.7002825736999512,3
18.0,1711469116,,False,4,2fe0f8a8,2024-03-26_17-05-16,0.25588011741638184,0.956162691116333,533,Nicolass-Air.technicolor.net,127.0.0.1,0.956162691116333,4
18.0,1711469116,,False,5,2fe0f8a8,2024-03-26_17-05-16,0.23533892631530762,1.1915016174316406,533,Nicolass-Air.technicolor.net,127.0.0.1,1.1915016174316406,5
18.0,1711469116,,False,6,2fe0f8a8,2024-03-26_17-05-16,0.2386159896850586,1.4301176071166992,533,Nicolass-Air.technicolor.net,127.0.0.1,1.4301176071166992,6
18.0,1711469116,,False,7,2fe0f8a8,2024-03-26_17-05-16,0.23172831535339355,1.6618459224700928,533,Nicolass-Air.technicolor.net,127.0.0.1,1.6618459224700928,7
18.0,1711469117,,False,8,2fe0f8a8,2024-03-26_17-05-17,0.2533700466156006,1.9152159690856934,533,Nicolass-Air.technicolor.net,127.0.0.1,1.9152159690856934,8
18.0,1711469117,,False,9,2fe0f8a8,2024-03-26_17-05-17,0.27159595489501953,2.186811923980713,533,Nicolass-Air.technicolor.net,127.0.0.1,2.186811923980713,9
18.0,1711469117,,False,10,2fe0f8a8,2024-03-26_17-05-17,0.2454380989074707,2.4322500228881836,533,Nicolass-Air.technicolor.net,127.0.0.1,2.4322500228881836,10
18.0,1711469117,,False,11,2fe0f8a8,2024-03-26_17-05-17,0.2572438716888428,2.6894938945770264,533,Nicolass-Air.technicolor.net,127.0.0.1,2.6894938945770264,11
18.0,1711469118,,False,12,2fe0f8a8,2024-03-26_17-05-18,0.23538994789123535,2.9248838424682617,533,Nicolass-Air.technicolor.net,127.0.0.1,2.9248838424682617,12
18.0,1711469118,,False,13,2fe0f8a8,2024-03-26_17-05-18,0.2483358383178711,3.173219680786133,533,Nicolass-Air.technicolor.net,127.0.0.1,3.173219680786133,13
18.0,1711469118,,False,14,2fe0f8a8,2024-03-26_17-05-18,0.25779199600219727,3.43101167678833,533,Nicolass-Air.technicolor.net,127.0.0.1,3.43101167678833,14
18.0,1711469118,,False,15,2fe0f8a8,2024-03-26_17-05-18,0.23262381553649902,3.663635492324829,533,Nicolass-Air.technicolor.net,127.0.0.1,3.663635492324829,15
18.0,1711469119,,False,16,2fe0f8a8,2024-03-26_17-05-19,0.302670955657959,3.966306447982788,533,Nicolass-Air.technicolor.net,127.0.0.1,3.966306447982788,16
18.0,1711469119,,False,17,2fe0f8a8,2024-03-26_17-05-19,0.2842860221862793,4.250592470169067,533,Nicolass-Air.technicolor.net,127.0.0.1,4.250592470169067,17
18.0,1711469119,,False,18,2fe0f8a8,2024-03-26_17-05-19,0.23884201049804688,4.489434480667114,533,Nicolass-Air.technicolor.net,127.0.0.1,4.489434480667114,18
18.0,1711469120,,False,19,2fe0f8a8,2024-03-26_17-05-20,0.24002408981323242,4.729458570480347,533,Nicolass-Air.technicolor.net,127.0.0.1,4.729458570480347,19
18.0,1711469120,,False,20,2fe0f8a8,2024-03-26_17-05-20,0.2539529800415039,4.983411550521851,533,Nicolass-Air.technicolor.net,127.0.0.1,4.983411550521851,20
18.0,1711469120,,False,21,2fe0f8a8,2024-03-26_17-05-20,0.24833893775939941,5.23175048828125,533,Nicolass-Air.technicolor.net,127.0.0.1,5.23175048828125,21
18.0,1711469120,,False,22,2fe0f8a8,2024-03-26_17-05-20,0.26178503036499023,5.49353551864624,533,Nicolass-Air.technicolor.net,127.0.0.1,5.49353551864624,22
18.0,1711469121,,False,23,2fe0f8a8,2024-03-26_17-05-21,0.254194974899292,5.747730493545532,533,Nicolass-Air.technicolor.net,127.0.0.1,5.747730493545532,23
18.0,1711469121,,False,24,2fe0f8a8,2024-03-26_17-05-21,0.2550969123840332,6.002827405929565,533,Nicolass-Air.technicolor.net,127.0.0.1,6.002827405929565,24
18.0,1711469121,,False,25,2fe0f8a8,2024-03-26_17-05-21,0.2515850067138672,6.254412412643433,533,Nicolass-Air.technicolor.net,127.0.0.1,6.254412412643433,25
18.0,1711469121,,False,26,2fe0f8a8,2024-03-26_17-05-21,0.22602200508117676,6.480434417724609,533,Nicolass-Air.technicolor.net,127.0.0.1,6.480434417724609,26
18.0,1711469122,,False,27,2fe0f8a8,2024-03-26_17-05-22,0.24511218070983887,6.725546598434448,533,Nicolass-Air.technicolor.net,127.0.0.1,6.725546598434448,27
18.0,1711469122,,False,28,2fe0f8a8,2024-03-26_17-05-22,0.21737289428710938,6.942919492721558,533,Nicolass-Air.technicolor.net,127.0.0.1,6.942919492721558,28
18.0,1711469122,,False,29,2fe0f8a8,2024-03-26_17-05-22,0.2612149715423584,7.204134464263916,533,Nicolass-Air.technicolor.net,127.0.0.1,7.204134464263916,29
18.0,1711469122,,False,30,2fe0f8a8,2024-03-26_17-05-22,0.2218921184539795,7.4260265827178955,533,Nicolass-Air.technicolor.net,127.0.0.1,7.4260265827178955,30
18.0,1711469123,,False,31,2fe0f8a8,2024-03-26_17-05-23,0.22718524932861328,7.653211832046509,533,Nicolass-Air.technicolor.net,127.0.0.1,7.653211832046509,31
18.0,1711469123,,False,32,2fe0f8a8,2024-03-26_17-05-23,0.24799799919128418,7.901209831237793,533,Nicolass-Air.technicolor.net,127.0.0.1,7.901209831237793,32
18.0,1711469123,,False,33,2fe0f8a8,2024-03-26_17-05-23,0.2688281536102295,8.170037984848022,533,Nicolass-Air.technicolor.net,127.0.0.1,8.170037984848022,33
18.0,1711469123,,False,34,2fe0f8a8,2024-03-26_17-05-23,0.2506537437438965,8.420691728591919,533,Nicolass-Air.technicolor.net,127.0.0.1,8.420691728591919,34
18.0,1711469124,,False,35,2fe0f8a8,2024-03-26_17-05-24,0.2506098747253418,8.67130160331726,533,Nicolass-Air.technicolor.net,127.0.0.1,8.67130160331726,35
18.0,1711469124,,False,36,2fe0f8a8,2024-03-26_17-05-24,0.2477719783782959,8.919073581695557,533,Nicolass-Air.technicolor.net,127.0.0.1,8.919073581695557,36
18.0,1711469124,,False,37,2fe0f8a8,2024-03-26_17-05-24,0.5191841125488281,9.438257694244385,533,Nicolass-Air.technicolor.net,127.0.0.1,9.438257694244385,37
18.0,1711469125,,False,38,2fe0f8a8,2024-03-26_17-05-25,0.27968811988830566,9.71794581413269,533,Nicolass-Air.technicolor.net,127.0.0.1,9.71794581413269,38
18.0,1711469125,,False,39,2fe0f8a8,2024-03-26_17-05-25,0.2685518264770508,9.986497640609741,533,Nicolass-Air.technicolor.net,127.0.0.1,9.986497640609741,39
18.0,1711469125,,False,40,2fe0f8a8,2024-03-26_17-05-25,0.2500340938568115,10.236531734466553,533,Nicolass-Air.technicolor.net,127.0.0.1,10.236531734466553,40
