reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
39.0,1711467780,,False,1,323ae264,2024-03-26_16-43-00,0.7316958904266357,0.7316958904266357,457,Nicolass-Air.technicolor.net,127.0.0.1,0.7316958904266357,1
52.0,1711467781,,False,2,323ae264,2024-03-26_16-43-01,0.9841461181640625,1.7158420085906982,457,Nicolass-Air.technicolor.net,127.0.0.1,1.7158420085906982,2
101.0,1711467783,,False,3,323ae264,2024-03-26_16-43-03,1.5954160690307617,3.31125807762146,457,Nicolass-Air.technicolor.net,127.0.0.1,3.31125807762146,3
57.0,1711467784,,False,4,323ae264,2024-03-26_16-43-04,1.15885591506958,4.47011399269104,457,Nicolass-Air.technicolor.net,127.0.0.1,4.47011399269104,4
57.0,1711467785,,False,5,323ae264,2024-03-26_16-43-05,1.2981667518615723,5.768280744552612,457,Nicolass-Air.technicolor.net,127.0.0.1,5.768280744552612,5
55.0,1711467786,,False,6,323ae264,2024-03-26_16-43-06,1.1255149841308594,6.893795728683472,457,Nicolass-Air.technicolor.net,127.0.0.1,6.893795728683472,6
54.0,1711467787,,False,7,323ae264,2024-03-26_16-43-07,1.1257882118225098,8.019583940505981,457,Nicolass-Air.technicolor.net,127.0.0.1,8.019583940505981,7
55.0,1711467789,,False,8,323ae264,2024-03-26_16-43-09,1.1468076705932617,9.166391611099243,457,Nicolass-Air.technicolor.net,127.0.0.1,9.166391611099243,8
55.0,1711467790,,False,9,323ae264,2024-03-26_16-43-10,1.1048507690429688,10.271242380142212,457,Nicolass-Air.technicolor.net,127.0.0.1,10.271242380142212,9
55.0,1711467791,,False,10,323ae264,2024-03-26_16-43-11,1.1112520694732666,11.382494449615479,457,Nicolass-Air.technicolor.net,127.0.0.1,11.382494449615479,10
57.0,1711467792,,False,11,323ae264,2024-03-26_16-43-12,1.1715848445892334,12.554079294204712,457,Nicolass-Air.technicolor.net,127.0.0.1,12.554079294204712,11
57.0,1711467793,,False,12,323ae264,2024-03-26_16-43-13,1.097032070159912,13.651111364364624,457,Nicolass-Air.technicolor.net,127.0.0.1,13.651111364364624,12
57.0,1711467794,,False,13,323ae264,2024-03-26_16-43-14,1.202829122543335,14.853940486907959,457,Nicolass-Air.technicolor.net,127.0.0.1,14.853940486907959,13
57.0,1711467796,,False,14,323ae264,2024-03-26_16-43-16,1.1589031219482422,16.0128436088562,457,Nicolass-Air.technicolor.net,127.0.0.1,16.0128436088562,14
57.0,1711467797,,False,15,323ae264,2024-03-26_16-43-17,1.0515899658203125,17.064433574676514,457,Nicolass-Air.technicolor.net,127.0.0.1,17.064433574676514,15
57.0,1711467798,,False,16,323ae264,2024-03-26_16-43-18,1.1237590312957764,18.18819260597229,457,Nicolass-Air.technicolor.net,127.0.0.1,18.18819260597229,16
57.0,1711467799,,False,17,323ae264,2024-03-26_16-43-19,1.1723988056182861,19.360591411590576,457,Nicolass-Air.technicolor.net,127.0.0.1,19.360591411590576,17
57.0,1711467800,,False,18,323ae264,2024-03-26_16-43-20,1.243006944656372,20.60359835624695,457,Nicolass-Air.technicolor.net,127.0.0.1,20.60359835624695,18
57.0,1711467801,,False,19,323ae264,2024-03-26_16-43-21,1.144057035446167,21.747655391693115,457,Nicolass-Air.technicolor.net,127.0.0.1,21.747655391693115,19
57.0,1711467802,,False,20,323ae264,2024-03-26_16-43-22,1.1226329803466797,22.870288372039795,457,Nicolass-Air.technicolor.net,127.0.0.1,22.870288372039795,20
57.0,1711467804,,False,21,323ae264,2024-03-26_16-43-24,1.1029469966888428,23.973235368728638,457,Nicolass-Air.technicolor.net,127.0.0.1,23.973235368728638,21
57.0,1711467805,,False,22,323ae264,2024-03-26_16-43-25,1.213515043258667,25.186750411987305,457,Nicolass-Air.technicolor.net,127.0.0.1,25.186750411987305,22
57.0,1711467806,,False,23,323ae264,2024-03-26_16-43-26,1.0860419273376465,26.27279233932495,457,Nicolass-Air.technicolor.net,127.0.0.1,26.27279233932495,23
57.0,1711467807,,False,24,323ae264,2024-03-26_16-43-27,1.1677868366241455,27.440579175949097,457,Nicolass-Air.technicolor.net,127.0.0.1,27.440579175949097,24
57.0,1711467808,,False,25,323ae264,2024-03-26_16-43-28,1.3179409503936768,28.758520126342773,457,Nicolass-Air.technicolor.net,127.0.0.1,28.758520126342773,25
57.0,1711467809,,False,26,323ae264,2024-03-26_16-43-29,1.1571178436279297,29.915637969970703,457,Nicolass-Air.technicolor.net,127.0.0.1,29.915637969970703,26
57.0,1711467811,,False,27,323ae264,2024-03-26_16-43-31,1.2152750492095947,31.130913019180298,457,Nicolass-Air.technicolor.net,127.0.0.1,31.130913019180298,27
57.0,1711467812,,False,28,323ae264,2024-03-26_16-43-32,1.0814330577850342,32.21234607696533,457,Nicolass-Air.technicolor.net,127.0.0.1,32.21234607696533,28
57.0,1711467813,,False,29,323ae264,2024-03-26_16-43-33,1.0901129245758057,33.30245900154114,457,Nicolass-Air.technicolor.net,127.0.0.1,33.30245900154114,29
57.0,1711467814,,False,30,323ae264,2024-03-26_16-43-34,1.091747760772705,34.39420676231384,457,Nicolass-Air.technicolor.net,127.0.0.1,34.39420676231384,30
57.0,1711467815,,False,31,323ae264,2024-03-26_16-43-35,1.169985055923462,35.564191818237305,457,Nicolass-Air.technicolor.net,127.0.0.1,35.564191818237305,31
57.0,1711467816,,False,32,323ae264,2024-03-26_16-43-36,1.1417489051818848,36.70594072341919,457,Nicolass-Air.technicolor.net,127.0.0.1,36.70594072341919,32
57.0,1711467819,,False,33,323ae264,2024-03-26_16-43-39,0.9301600456237793,37.63610076904297,457,Nicolass-Air.technicolor.net,127.0.0.1,37.63610076904297,33
57.0,1711467820,,False,34,323ae264,2024-03-26_16-43-40,1.044084072113037,38.680184841156006,457,Nicolass-Air.technicolor.net,127.0.0.1,38.680184841156006,34
57.0,1711467821,,False,35,323ae264,2024-03-26_16-43-41,1.1396238803863525,39.81980872154236,457,Nicolass-Air.technicolor.net,127.0.0.1,39.81980872154236,35
57.0,1711467823,,False,36,323ae264,2024-03-26_16-43-43,1.122920036315918,40.942728757858276,457,Nicolass-Air.technicolor.net,127.0.0.1,40.942728757858276,36
57.0,1711467824,,False,37,323ae264,2024-03-26_16-43-44,1.1198651790618896,42.062593936920166,457,Nicolass-Air.technicolor.net,127.0.0.1,42.062593936920166,37
