reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
20.0,1711468585,,False,1,36fff1b8,2024-03-26_16-56-25,1.6538190841674805,1.6538190841674805,457,Nicolass-Air.technicolor.net,127.0.0.1,1.6538190841674805,1
28.0,1711468587,,False,2,36fff1b8,2024-03-26_16-56-27,2.1123740673065186,3.766193151473999,457,Nicolass-Air.technicolor.net,127.0.0.1,3.766193151473999,2
21.0,1711468589,,False,3,36fff1b8,2024-03-26_16-56-29,1.9161620140075684,5.682355165481567,457,Nicolass-Air.technicolor.net,127.0.0.1,5.682355165481567,3
20.0,1711468591,,False,4,36fff1b8,2024-03-26_16-56-31,1.9848840236663818,7.667239189147949,457,Nicolass-Air.technicolor.net,127.0.0.1,7.667239189147949,4
19.0,1711468593,,False,5,36fff1b8,2024-03-26_16-56-33,1.86515212059021,9.53239130973816,457,Nicolass-Air.technicolor.net,127.0.0.1,9.53239130973816,5
19.0,1711468594,,False,6,36fff1b8,2024-03-26_16-56-34,1.796504020690918,11.328895330429077,457,Nicolass-Air.technicolor.net,127.0.0.1,11.328895330429077,6
19.0,1711468596,,False,7,36fff1b8,2024-03-26_16-56-36,1.9422218799591064,13.271117210388184,457,Nicolass-Air.technicolor.net,127.0.0.1,13.271117210388184,7
19.0,1711468598,,False,8,36fff1b8,2024-03-26_16-56-38,1.874194860458374,15.145312070846558,457,Nicolass-Air.technicolor.net,127.0.0.1,15.145312070846558,8
19.0,1711468600,,False,9,36fff1b8,2024-03-26_16-56-40,1.8989670276641846,17.044279098510742,457,Nicolass-Air.technicolor.net,127.0.0.1,17.044279098510742,9
19.0,1711468602,,False,10,36fff1b8,2024-03-26_16-56-42,1.8952739238739014,18.939553022384644,457,Nicolass-Air.technicolor.net,127.0.0.1,18.939553022384644,10
19.0,1711468604,,False,11,36fff1b8,2024-03-26_16-56-44,1.8014788627624512,20.741031885147095,457,Nicolass-Air.technicolor.net,127.0.0.1,20.741031885147095,11
19.0,1711468606,,False,12,36fff1b8,2024-03-26_16-56-46,1.8433759212493896,22.584407806396484,457,Nicolass-Air.technicolor.net,127.0.0.1,22.584407806396484,12
19.0,1711468608,,False,13,36fff1b8,2024-03-26_16-56-48,2.0078647136688232,24.592272520065308,457,Nicolass-Air.technicolor.net,127.0.0.1,24.592272520065308,13
19.0,1711468610,,False,14,36fff1b8,2024-03-26_16-56-50,2.1694629192352295,26.761735439300537,457,Nicolass-Air.technicolor.net,127.0.0.1,26.761735439300537,14
19.0,1711468612,,False,15,36fff1b8,2024-03-26_16-56-52,1.9133269786834717,28.67506241798401,457,Nicolass-Air.technicolor.net,127.0.0.1,28.67506241798401,15
19.0,1711468614,,False,16,36fff1b8,2024-03-26_16-56-54,1.862318754196167,30.537381172180176,457,Nicolass-Air.technicolor.net,127.0.0.1,30.537381172180176,16
19.0,1711468616,,False,17,36fff1b8,2024-03-26_16-56-56,1.8958678245544434,32.43324899673462,457,Nicolass-Air.technicolor.net,127.0.0.1,32.43324899673462,17
19.0,1711468617,,False,18,36fff1b8,2024-03-26_16-56-57,1.7064759731292725,34.13972496986389,457,Nicolass-Air.technicolor.net,127.0.0.1,34.13972496986389,18
19.0,1711468619,,False,19,36fff1b8,2024-03-26_16-56-59,1.8692948818206787,36.00901985168457,457,Nicolass-Air.technicolor.net,127.0.0.1,36.00901985168457,19
19.0,1711468621,,False,20,36fff1b8,2024-03-26_16-57-01,1.9390242099761963,37.94804406166077,457,Nicolass-Air.technicolor.net,127.0.0.1,37.94804406166077,20
19.0,1711468623,,False,21,36fff1b8,2024-03-26_16-57-03,1.962960958480835,39.9110050201416,457,Nicolass-Air.technicolor.net,127.0.0.1,39.9110050201416,21
19.0,1711468625,,False,22,36fff1b8,2024-03-26_16-57-05,1.7935287952423096,41.70453381538391,457,Nicolass-Air.technicolor.net,127.0.0.1,41.70453381538391,22
19.0,1711468627,,False,23,36fff1b8,2024-03-26_16-57-07,1.9186758995056152,43.623209714889526,457,Nicolass-Air.technicolor.net,127.0.0.1,43.623209714889526,23
19.0,1711468629,,False,24,36fff1b8,2024-03-26_16-57-09,1.8462769985198975,45.469486713409424,457,Nicolass-Air.technicolor.net,127.0.0.1,45.469486713409424,24
19.0,1711468631,,False,25,36fff1b8,2024-03-26_16-57-11,1.8749408721923828,47.34442758560181,457,Nicolass-Air.technicolor.net,127.0.0.1,47.34442758560181,25
19.0,1711468632,,False,26,36fff1b8,2024-03-26_16-57-12,1.8633558750152588,49.207783460617065,457,Nicolass-Air.technicolor.net,127.0.0.1,49.207783460617065,26
19.0,1711468634,,False,27,36fff1b8,2024-03-26_16-57-14,1.9032020568847656,51.11098551750183,457,Nicolass-Air.technicolor.net,127.0.0.1,51.11098551750183,27
19.0,1711468636,,False,28,36fff1b8,2024-03-26_16-57-16,1.8172590732574463,52.92824459075928,457,Nicolass-Air.technicolor.net,127.0.0.1,52.92824459075928,28
19.0,1711468638,,False,29,36fff1b8,2024-03-26_16-57-18,1.7812449932098389,54.709489583969116,457,Nicolass-Air.technicolor.net,127.0.0.1,54.709489583969116,29
19.0,1711468640,,False,30,36fff1b8,2024-03-26_16-57-20,2.0537548065185547,56.76324439048767,457,Nicolass-Air.technicolor.net,127.0.0.1,56.76324439048767,30
19.0,1711468642,,False,31,36fff1b8,2024-03-26_16-57-22,1.8680336475372314,58.6312780380249,457,Nicolass-Air.technicolor.net,127.0.0.1,58.6312780380249,31
19.0,1711468644,,False,32,36fff1b8,2024-03-26_16-57-24,2.101572275161743,60.732850313186646,457,Nicolass-Air.technicolor.net,127.0.0.1,60.732850313186646,32
19.0,1711468646,,False,33,36fff1b8,2024-03-26_16-57-26,2.118849754333496,62.85170006752014,457,Nicolass-Air.technicolor.net,127.0.0.1,62.85170006752014,33
