reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
14.0,1711467854,,False,1,3a6a0844,2024-03-26_16-44-14,1.6367061138153076,1.6367061138153076,436,Nicolass-Air.technicolor.net,127.0.0.1,1.6367061138153076,1
14.0,1711467855,,False,2,3a6a0844,2024-03-26_16-44-15,1.6613872051239014,3.298093318939209,436,Nicolass-Air.technicolor.net,127.0.0.1,3.298093318939209,2
14.0,1711467857,,False,3,3a6a0844,2024-03-26_16-44-17,1.6111478805541992,4.909241199493408,436,Nicolass-Air.technicolor.net,127.0.0.1,4.909241199493408,3
14.0,1711467859,,False,4,3a6a0844,2024-03-26_16-44-19,1.7151579856872559,6.624399185180664,436,Nicolass-Air.technicolor.net,127.0.0.1,6.624399185180664,4
14.0,1711467860,,False,5,3a6a0844,2024-03-26_16-44-20,1.672767162322998,8.297166347503662,436,Nicolass-Air.technicolor.net,127.0.0.1,8.297166347503662,5
14.0,1711467862,,False,6,3a6a0844,2024-03-26_16-44-22,1.6880311965942383,9.9851975440979,436,Nicolass-Air.technicolor.net,127.0.0.1,9.9851975440979,6
14.0,1711467864,,False,7,3a6a0844,2024-03-26_16-44-24,2.0404908657073975,12.025688409805298,436,Nicolass-Air.technicolor.net,127.0.0.1,12.025688409805298,7
14.0,1711467866,,False,8,3a6a0844,2024-03-26_16-44-26,1.6475961208343506,13.673284530639648,436,Nicolass-Air.technicolor.net,127.0.0.1,13.673284530639648,8
14.0,1711467867,,False,9,3a6a0844,2024-03-26_16-44-27,1.6699988842010498,15.343283414840698,436,Nicolass-Air.technicolor.net,127.0.0.1,15.343283414840698,9
14.0,1711467869,,False,10,3a6a0844,2024-03-26_16-44-29,1.7745559215545654,17.117839336395264,436,Nicolass-Air.technicolor.net,127.0.0.1,17.117839336395264,10
14.0,1711467871,,False,11,3a6a0844,2024-03-26_16-44-31,1.6807208061218262,18.79856014251709,436,Nicolass-Air.technicolor.net,127.0.0.1,18.79856014251709,11
14.0,1711467873,,False,12,3a6a0844,2024-03-26_16-44-33,1.7428827285766602,20.54144287109375,436,Nicolass-Air.technicolor.net,127.0.0.1,20.54144287109375,12
14.0,1711467874,,False,13,3a6a0844,2024-03-26_16-44-34,1.778367042541504,22.319809913635254,436,Nicolass-Air.technicolor.net,127.0.0.1,22.319809913635254,13
14.0,1711467876,,False,14,3a6a0844,2024-03-26_16-44-36,1.686790943145752,24.006600856781006,436,Nicolass-Air.technicolor.net,127.0.0.1,24.006600856781006,14
14.0,1711467878,,False,15,3a6a0844,2024-03-26_16-44-38,1.6792171001434326,25.68581795692444,436,Nicolass-Air.technicolor.net,127.0.0.1,25.68581795692444,15
14.0,1711467879,,False,16,3a6a0844,2024-03-26_16-44-39,1.577178955078125,27.262996912002563,436,Nicolass-Air.technicolor.net,127.0.0.1,27.262996912002563,16
0.0,1711467881,,False,17,3a6a0844,2024-03-26_16-44-41,1.366454839706421,28.629451751708984,436,Nicolass-Air.technicolor.net,127.0.0.1,28.629451751708984,17
