reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
20.0,1711467846,,False,1,425d6c3f,2024-03-26_16-44-06,1.8563389778137207,1.8563389778137207,269,Nicolass-Air.technicolor.net,127.0.0.1,1.8563389778137207,1
28.0,1711467848,,False,2,425d6c3f,2024-03-26_16-44-08,2.183830976486206,4.040169954299927,269,Nicolass-Air.technicolor.net,127.0.0.1,4.040169954299927,2
27.0,1711467850,,False,3,425d6c3f,2024-03-26_16-44-10,2.0950980186462402,6.135267972946167,269,Nicolass-Air.technicolor.net,127.0.0.1,6.135267972946167,3
25.0,1711467853,,False,4,425d6c3f,2024-03-26_16-44-13,2.1778512001037598,8.313119173049927,269,Nicolass-Air.technicolor.net,127.0.0.1,8.313119173049927,4
25.0,1711467855,,False,5,425d6c3f,2024-03-26_16-44-15,2.1541640758514404,10.467283248901367,269,Nicolass-Air.technicolor.net,127.0.0.1,10.467283248901367,5
25.0,1711467857,,False,6,425d6c3f,2024-03-26_16-44-17,2.0091567039489746,12.476439952850342,269,Nicolass-Air.technicolor.net,127.0.0.1,12.476439952850342,6
27.0,1711467859,,False,7,425d6c3f,2024-03-26_16-44-19,2.1839349269866943,14.660374879837036,269,Nicolass-Air.technicolor.net,127.0.0.1,14.660374879837036,7
27.0,1711467861,,False,8,425d6c3f,2024-03-26_16-44-21,2.0033090114593506,16.663683891296387,269,Nicolass-Air.technicolor.net,127.0.0.1,16.663683891296387,8
27.0,1711467863,,False,9,425d6c3f,2024-03-26_16-44-23,2.162065267562866,18.825749158859253,269,Nicolass-Air.technicolor.net,127.0.0.1,18.825749158859253,9
27.0,1711467866,,False,10,425d6c3f,2024-03-26_16-44-26,2.3114097118377686,21.13715887069702,269,Nicolass-Air.technicolor.net,127.0.0.1,21.13715887069702,10
28.0,1711467868,,False,11,425d6c3f,2024-03-26_16-44-28,2.214529037475586,23.351687908172607,269,Nicolass-Air.technicolor.net,127.0.0.1,23.351687908172607,11
28.0,1711467870,,False,12,425d6c3f,2024-03-26_16-44-30,2.2469286918640137,25.59861660003662,269,Nicolass-Air.technicolor.net,127.0.0.1,25.59861660003662,12
26.0,1711467872,,False,13,425d6c3f,2024-03-26_16-44-32,2.252101182937622,27.850717782974243,269,Nicolass-Air.technicolor.net,127.0.0.1,27.850717782974243,13
26.0,1711467874,,False,14,425d6c3f,2024-03-26_16-44-34,2.2090811729431152,30.05979895591736,269,Nicolass-Air.technicolor.net,127.0.0.1,30.05979895591736,14
26.0,1711467877,,False,15,425d6c3f,2024-03-26_16-44-37,2.1406919956207275,32.200490951538086,269,Nicolass-Air.technicolor.net,127.0.0.1,32.200490951538086,15
26.0,1711467879,,False,16,425d6c3f,2024-03-26_16-44-39,1.992448091506958,34.192939043045044,269,Nicolass-Air.technicolor.net,127.0.0.1,34.192939043045044,16
26.0,1711467881,,False,17,425d6c3f,2024-03-26_16-44-41,2.0567781925201416,36.249717235565186,269,Nicolass-Air.technicolor.net,127.0.0.1,36.249717235565186,17
26.0,1711467883,,False,18,425d6c3f,2024-03-26_16-44-43,2.095552921295166,38.34527015686035,269,Nicolass-Air.technicolor.net,127.0.0.1,38.34527015686035,18
26.0,1711467885,,False,19,425d6c3f,2024-03-26_16-44-45,2.193342924118042,40.538613080978394,269,Nicolass-Air.technicolor.net,127.0.0.1,40.538613080978394,19
26.0,1711467887,,False,20,425d6c3f,2024-03-26_16-44-47,2.0484189987182617,42.587032079696655,269,Nicolass-Air.technicolor.net,127.0.0.1,42.587032079696655,20
26.0,1711467889,,False,21,425d6c3f,2024-03-26_16-44-49,2.0576369762420654,44.64466905593872,269,Nicolass-Air.technicolor.net,127.0.0.1,44.64466905593872,21
