reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
14.0,1711468465,,False,1,466a2951,2024-03-26_16-54-25,1.4750118255615234,1.4750118255615234,533,Nicolass-Air.technicolor.net,127.0.0.1,1.4750118255615234,1
14.0,1711468467,,False,2,466a2951,2024-03-26_16-54-27,1.5097401142120361,2.9847519397735596,533,Nicolass-Air.technicolor.net,127.0.0.1,2.9847519397735596,2
14.0,1711468469,,False,3,466a2951,2024-03-26_16-54-29,1.8678908348083496,4.852642774581909,533,Nicolass-Air.technicolor.net,127.0.0.1,4.852642774581909,3
14.0,1711468470,,False,4,466a2951,2024-03-26_16-54-30,1.6398768424987793,6.4925196170806885,533,Nicolass-Air.technicolor.net,127.0.0.1,6.4925196170806885,4
14.0,1711468472,,False,5,466a2951,2024-03-26_16-54-32,1.5372560024261475,8.029775619506836,533,Nicolass-Air.technicolor.net,127.0.0.1,8.029775619506836,5
14.0,1711468474,,False,6,466a2951,2024-03-26_16-54-34,1.711313009262085,9.741088628768921,533,Nicolass-Air.technicolor.net,127.0.0.1,9.741088628768921,6
14.0,1711468475,,False,7,466a2951,2024-03-26_16-54-35,1.5843327045440674,11.325421333312988,533,Nicolass-Air.technicolor.net,127.0.0.1,11.325421333312988,7
14.0,1711468477,,False,8,466a2951,2024-03-26_16-54-37,1.5430009365081787,12.868422269821167,533,Nicolass-Air.technicolor.net,127.0.0.1,12.868422269821167,8
14.0,1711468478,,False,9,466a2951,2024-03-26_16-54-38,1.601762056350708,14.470184326171875,533,Nicolass-Air.technicolor.net,127.0.0.1,14.470184326171875,9
14.0,1711468480,,False,10,466a2951,2024-03-26_16-54-40,1.7645249366760254,16.2347092628479,533,Nicolass-Air.technicolor.net,127.0.0.1,16.2347092628479,10
14.0,1711468482,,False,11,466a2951,2024-03-26_16-54-42,1.5572941303253174,17.792003393173218,533,Nicolass-Air.technicolor.net,127.0.0.1,17.792003393173218,11
14.0,1711468483,,False,12,466a2951,2024-03-26_16-54-43,1.657893180847168,19.449896574020386,533,Nicolass-Air.technicolor.net,127.0.0.1,19.449896574020386,12
14.0,1711468485,,False,13,466a2951,2024-03-26_16-54-45,1.5746018886566162,21.024498462677002,533,Nicolass-Air.technicolor.net,127.0.0.1,21.024498462677002,13
14.0,1711468486,,False,14,466a2951,2024-03-26_16-54-46,1.6117157936096191,22.63621425628662,533,Nicolass-Air.technicolor.net,127.0.0.1,22.63621425628662,14
14.0,1711468488,,False,15,466a2951,2024-03-26_16-54-48,1.6729609966278076,24.30917525291443,533,Nicolass-Air.technicolor.net,127.0.0.1,24.30917525291443,15
14.0,1711468490,,False,16,466a2951,2024-03-26_16-54-50,1.538679838180542,25.84785509109497,533,Nicolass-Air.technicolor.net,127.0.0.1,25.84785509109497,16
14.0,1711468491,,False,17,466a2951,2024-03-26_16-54-51,1.5281410217285156,27.375996112823486,533,Nicolass-Air.technicolor.net,127.0.0.1,27.375996112823486,17
14.0,1711468493,,False,18,466a2951,2024-03-26_16-54-53,1.4296560287475586,28.805652141571045,533,Nicolass-Air.technicolor.net,127.0.0.1,28.805652141571045,18
14.0,1711468494,,False,19,466a2951,2024-03-26_16-54-54,1.5398228168487549,30.3454749584198,533,Nicolass-Air.technicolor.net,127.0.0.1,30.3454749584198,19
14.0,1711468496,,False,20,466a2951,2024-03-26_16-54-56,1.4019460678100586,31.74742102622986,533,Nicolass-Air.technicolor.net,127.0.0.1,31.74742102622986,20
14.0,1711468497,,False,21,466a2951,2024-03-26_16-54-57,1.5362322330474854,33.283653259277344,533,Nicolass-Air.technicolor.net,127.0.0.1,33.283653259277344,21
14.0,1711468499,,False,22,466a2951,2024-03-26_16-54-59,1.6344339847564697,34.91808724403381,533,Nicolass-Air.technicolor.net,127.0.0.1,34.91808724403381,22
14.0,1711468501,,False,23,466a2951,2024-03-26_16-55-01,1.742882251739502,36.660969495773315,533,Nicolass-Air.technicolor.net,127.0.0.1,36.660969495773315,23
14.0,1711468502,,False,24,466a2951,2024-03-26_16-55-02,1.6253399848937988,38.286309480667114,533,Nicolass-Air.technicolor.net,127.0.0.1,38.286309480667114,24
14.0,1711468504,,False,25,466a2951,2024-03-26_16-55-04,1.5138940811157227,39.80020356178284,533,Nicolass-Air.technicolor.net,127.0.0.1,39.80020356178284,25
0.0,1711468505,,False,26,466a2951,2024-03-26_16-55-05,1.2713241577148438,41.07152771949768,533,Nicolass-Air.technicolor.net,127.0.0.1,41.07152771949768,26
