reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
39.0,1711468298,,False,1,52c6fb46,2024-03-26_16-51-38,2.198038101196289,2.198038101196289,436,Nicolass-Air.technicolor.net,127.0.0.1,2.198038101196289,1
46.0,1711468301,,False,2,52c6fb46,2024-03-26_16-51-41,2.479249954223633,4.677288055419922,436,Nicolass-Air.technicolor.net,127.0.0.1,4.677288055419922,2
45.0,1711468303,,False,3,52c6fb46,2024-03-26_16-51-43,2.6141409873962402,7.291429042816162,436,Nicolass-Air.technicolor.net,127.0.0.1,7.291429042816162,3
48.0,1711468306,,False,4,52c6fb46,2024-03-26_16-51-46,2.592345952987671,9.883774995803833,436,Nicolass-Air.technicolor.net,127.0.0.1,9.883774995803833,4
45.0,1711468308,,False,5,52c6fb46,2024-03-26_16-51-48,2.669002056121826,12.55277705192566,436,Nicolass-Air.technicolor.net,127.0.0.1,12.55277705192566,5
42.0,1711468311,,False,6,52c6fb46,2024-03-26_16-51-51,2.6754369735717773,15.228214025497437,436,Nicolass-Air.technicolor.net,127.0.0.1,15.228214025497437,6
47.0,1711468314,,False,7,52c6fb46,2024-03-26_16-51-54,2.95670485496521,18.184918880462646,436,Nicolass-Air.technicolor.net,127.0.0.1,18.184918880462646,7
47.0,1711468317,,False,8,52c6fb46,2024-03-26_16-51-57,2.6867361068725586,20.871654987335205,436,Nicolass-Air.technicolor.net,127.0.0.1,20.871654987335205,8
45.0,1711468320,,False,9,52c6fb46,2024-03-26_16-52-00,2.7672290802001953,23.6388840675354,436,Nicolass-Air.technicolor.net,127.0.0.1,23.6388840675354,9
45.0,1711468322,,False,10,52c6fb46,2024-03-26_16-52-02,2.6372740268707275,26.276158094406128,436,Nicolass-Air.technicolor.net,127.0.0.1,26.276158094406128,10
45.0,1711468325,,False,11,52c6fb46,2024-03-26_16-52-05,2.6070070266723633,28.88316512107849,436,Nicolass-Air.technicolor.net,127.0.0.1,28.88316512107849,11
47.0,1711468328,,False,12,52c6fb46,2024-03-26_16-52-08,2.8662967681884766,31.749461889266968,436,Nicolass-Air.technicolor.net,127.0.0.1,31.749461889266968,12
47.0,1711468330,,False,13,52c6fb46,2024-03-26_16-52-10,2.586177110671997,34.335638999938965,436,Nicolass-Air.technicolor.net,127.0.0.1,34.335638999938965,13
47.0,1711468333,,False,14,52c6fb46,2024-03-26_16-52-13,2.5893049240112305,36.924943923950195,436,Nicolass-Air.technicolor.net,127.0.0.1,36.924943923950195,14
47.0,1711468335,,False,15,52c6fb46,2024-03-26_16-52-15,2.538745164871216,39.46368908882141,436,Nicolass-Air.technicolor.net,127.0.0.1,39.46368908882141,15
47.0,1711468338,,False,16,52c6fb46,2024-03-26_16-52-18,2.677734851837158,42.14142394065857,436,Nicolass-Air.technicolor.net,127.0.0.1,42.14142394065857,16
47.0,1711468341,,False,17,52c6fb46,2024-03-26_16-52-21,2.785146951675415,44.926570892333984,436,Nicolass-Air.technicolor.net,127.0.0.1,44.926570892333984,17
47.0,1711468344,,False,18,52c6fb46,2024-03-26_16-52-24,2.569627285003662,47.49619817733765,436,Nicolass-Air.technicolor.net,127.0.0.1,47.49619817733765,18
200.0,1711468350,,False,19,52c6fb46,2024-03-26_16-52-30,6.769986152648926,54.26618432998657,436,Nicolass-Air.technicolor.net,127.0.0.1,54.26618432998657,19
200.0,1711468357,,False,20,52c6fb46,2024-03-26_16-52-37,6.746125221252441,61.012309551239014,436,Nicolass-Air.technicolor.net,127.0.0.1,61.012309551239014,20
200.0,1711468364,,False,21,52c6fb46,2024-03-26_16-52-44,6.60304594039917,67.61535549163818,436,Nicolass-Air.technicolor.net,127.0.0.1,67.61535549163818,21
200.0,1711468370,,False,22,52c6fb46,2024-03-26_16-52-50,6.556427955627441,74.17178344726562,436,Nicolass-Air.technicolor.net,127.0.0.1,74.17178344726562,22
200.0,1711468377,,False,23,52c6fb46,2024-03-26_16-52-57,6.365267992019653,80.53705143928528,436,Nicolass-Air.technicolor.net,127.0.0.1,80.53705143928528,23
200.0,1711468383,,False,24,52c6fb46,2024-03-26_16-53-03,6.572968006134033,87.11001944541931,436,Nicolass-Air.technicolor.net,127.0.0.1,87.11001944541931,24
200.0,1711468389,,False,25,52c6fb46,2024-03-26_16-53-09,6.261140823364258,93.37116026878357,436,Nicolass-Air.technicolor.net,127.0.0.1,93.37116026878357,25
200.0,1711468396,,False,26,52c6fb46,2024-03-26_16-53-16,6.353363037109375,99.72452330589294,436,Nicolass-Air.technicolor.net,127.0.0.1,99.72452330589294,26
200.0,1711468402,,False,27,52c6fb46,2024-03-26_16-53-22,6.6604533195495605,106.3849766254425,436,Nicolass-Air.technicolor.net,127.0.0.1,106.3849766254425,27
200.0,1711468409,,False,28,52c6fb46,2024-03-26_16-53-29,6.652053117752075,113.03702974319458,436,Nicolass-Air.technicolor.net,127.0.0.1,113.03702974319458,28
200.0,1711468416,,False,29,52c6fb46,2024-03-26_16-53-36,6.753094911575317,119.7901246547699,436,Nicolass-Air.technicolor.net,127.0.0.1,119.7901246547699,29
200.0,1711468424,,False,30,52c6fb46,2024-03-26_16-53-44,8.070449829101562,127.86057448387146,436,Nicolass-Air.technicolor.net,127.0.0.1,127.86057448387146,30
200.0,1711468432,,False,31,52c6fb46,2024-03-26_16-53-52,7.510303020477295,135.37087750434875,436,Nicolass-Air.technicolor.net,127.0.0.1,135.37087750434875,31
200.0,1711468441,,False,32,52c6fb46,2024-03-26_16-54-01,9.419182777404785,144.79006028175354,436,Nicolass-Air.technicolor.net,127.0.0.1,144.79006028175354,32
200.0,1711468448,,False,33,52c6fb46,2024-03-26_16-54-08,7.353474855422974,152.1435351371765,436,Nicolass-Air.technicolor.net,127.0.0.1,152.1435351371765,33
200.0,1711468455,,False,34,52c6fb46,2024-03-26_16-54-15,6.7664759159088135,158.91001105308533,436,Nicolass-Air.technicolor.net,127.0.0.1,158.91001105308533,34
200.0,1711468462,,False,35,52c6fb46,2024-03-26_16-54-22,6.962506055831909,165.87251710891724,436,Nicolass-Air.technicolor.net,127.0.0.1,165.87251710891724,35
200.0,1711468469,,False,36,52c6fb46,2024-03-26_16-54-29,7.240918159484863,173.1134352684021,436,Nicolass-Air.technicolor.net,127.0.0.1,173.1134352684021,36
200.0,1711468476,,False,37,52c6fb46,2024-03-26_16-54-36,6.622321128845215,179.73575639724731,436,Nicolass-Air.technicolor.net,127.0.0.1,179.73575639724731,37
200.0,1711468482,,False,38,52c6fb46,2024-03-26_16-54-42,6.565293073654175,186.3010494709015,436,Nicolass-Air.technicolor.net,127.0.0.1,186.3010494709015,38
200.0,1711468489,,False,39,52c6fb46,2024-03-26_16-54-49,6.703162908554077,193.00421237945557,436,Nicolass-Air.technicolor.net,127.0.0.1,193.00421237945557,39
200.0,1711468496,,False,40,52c6fb46,2024-03-26_16-54-56,6.516749858856201,199.52096223831177,436,Nicolass-Air.technicolor.net,127.0.0.1,199.52096223831177,40
