reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
13.0,1711468658,,False,1,54817cec,2024-03-26_16-57-38,2.2928550243377686,2.2928550243377686,324,Nicolass-Air.technicolor.net,127.0.0.1,2.2928550243377686,1
13.0,1711468661,,False,2,54817cec,2024-03-26_16-57-41,2.537450075149536,4.830305099487305,324,Nicolass-Air.technicolor.net,127.0.0.1,4.830305099487305,2
13.0,1711468663,,False,3,54817cec,2024-03-26_16-57-43,2.520375967025757,7.3506810665130615,324,Nicolass-Air.technicolor.net,127.0.0.1,7.3506810665130615,3
13.0,1711468666,,False,4,54817cec,2024-03-26_16-57-46,2.3654420375823975,9.716123104095459,324,Nicolass-Air.technicolor.net,127.0.0.1,9.716123104095459,4
13.0,1711468668,,False,5,54817cec,2024-03-26_16-57-48,2.475682020187378,12.191805124282837,324,Nicolass-Air.technicolor.net,127.0.0.1,12.191805124282837,5
13.0,1711468671,,False,6,54817cec,2024-03-26_16-57-51,2.45318603515625,14.644991159439087,324,Nicolass-Air.technicolor.net,127.0.0.1,14.644991159439087,6
13.0,1711468673,,False,7,54817cec,2024-03-26_16-57-53,2.4544341564178467,17.099425315856934,324,Nicolass-Air.technicolor.net,127.0.0.1,17.099425315856934,7
13.0,1711468676,,False,8,54817cec,2024-03-26_16-57-56,2.5030698776245117,19.602495193481445,324,Nicolass-Air.technicolor.net,127.0.0.1,19.602495193481445,8
13.0,1711468678,,False,9,54817cec,2024-03-26_16-57-58,2.3829760551452637,21.98547124862671,324,Nicolass-Air.technicolor.net,127.0.0.1,21.98547124862671,9
13.0,1711468681,,False,10,54817cec,2024-03-26_16-58-01,2.748539924621582,24.73401117324829,324,Nicolass-Air.technicolor.net,127.0.0.1,24.73401117324829,10
13.0,1711468683,,False,11,54817cec,2024-03-26_16-58-03,2.4847970008850098,27.2188081741333,324,Nicolass-Air.technicolor.net,127.0.0.1,27.2188081741333,11
13.0,1711468686,,False,12,54817cec,2024-03-26_16-58-06,2.5870189666748047,29.805827140808105,324,Nicolass-Air.technicolor.net,127.0.0.1,29.805827140808105,12
13.0,1711468689,,False,13,54817cec,2024-03-26_16-58-09,2.615363121032715,32.42119026184082,324,Nicolass-Air.technicolor.net,127.0.0.1,32.42119026184082,13
13.0,1711468691,,False,14,54817cec,2024-03-26_16-58-11,2.4902000427246094,34.91139030456543,324,Nicolass-Air.technicolor.net,127.0.0.1,34.91139030456543,14
13.0,1711468693,,False,15,54817cec,2024-03-26_16-58-13,2.2760109901428223,37.18740129470825,324,Nicolass-Air.technicolor.net,127.0.0.1,37.18740129470825,15
