reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
17.5,1711466421,,False,1,59801294,2024-03-26_16-20-21,3.419106960296631,3.419106960296631,284,Nicolass-Air.technicolor.net,127.0.0.1,3.419106960296631,1
17.5,1711466425,,False,2,59801294,2024-03-26_16-20-25,3.64888596534729,7.067992925643921,284,Nicolass-Air.technicolor.net,127.0.0.1,7.067992925643921,2
19.5,1711466428,,False,3,59801294,2024-03-26_16-20-28,3.7167067527770996,10.78469967842102,284,Nicolass-Air.technicolor.net,127.0.0.1,10.78469967842102,3
20.0,1711466432,,False,4,59801294,2024-03-26_16-20-32,3.834691047668457,14.619390726089478,284,Nicolass-Air.technicolor.net,127.0.0.1,14.619390726089478,4
20.0,1711466436,,False,5,59801294,2024-03-26_16-20-36,3.6991028785705566,18.318493604660034,284,Nicolass-Air.technicolor.net,127.0.0.1,18.318493604660034,5
20.0,1711466440,,False,6,59801294,2024-03-26_16-20-40,3.799443006515503,22.117936611175537,284,Nicolass-Air.technicolor.net,127.0.0.1,22.117936611175537,6
20.0,1711466444,,False,7,59801294,2024-03-26_16-20-44,4.015454292297363,26.1333909034729,284,Nicolass-Air.technicolor.net,127.0.0.1,26.1333909034729,7
20.0,1711466448,,False,8,59801294,2024-03-26_16-20-48,3.712585926055908,29.84597682952881,284,Nicolass-Air.technicolor.net,127.0.0.1,29.84597682952881,8
20.0,1711466451,,False,9,59801294,2024-03-26_16-20-51,3.6551480293273926,33.5011248588562,284,Nicolass-Air.technicolor.net,127.0.0.1,33.5011248588562,9
20.0,1711466455,,False,10,59801294,2024-03-26_16-20-55,3.6698920726776123,37.17101693153381,284,Nicolass-Air.technicolor.net,127.0.0.1,37.17101693153381,10
20.0,1711466459,,False,11,59801294,2024-03-26_16-20-59,3.7507271766662598,40.92174410820007,284,Nicolass-Air.technicolor.net,127.0.0.1,40.92174410820007,11
20.0,1711466462,,False,12,59801294,2024-03-26_16-21-02,3.7001729011535645,44.62191700935364,284,Nicolass-Air.technicolor.net,127.0.0.1,44.62191700935364,12
20.0,1711466466,,False,13,59801294,2024-03-26_16-21-06,3.718715190887451,48.34063220024109,284,Nicolass-Air.technicolor.net,127.0.0.1,48.34063220024109,13
20.0,1711466470,,False,14,59801294,2024-03-26_16-21-10,3.6750569343566895,52.01568913459778,284,Nicolass-Air.technicolor.net,127.0.0.1,52.01568913459778,14
20.0,1711466473,,False,15,59801294,2024-03-26_16-21-13,3.7093019485473633,55.72499108314514,284,Nicolass-Air.technicolor.net,127.0.0.1,55.72499108314514,15
20.0,1711466477,,False,16,59801294,2024-03-26_16-21-17,3.8030948638916016,59.52808594703674,284,Nicolass-Air.technicolor.net,127.0.0.1,59.52808594703674,16
20.0,1711466481,,False,17,59801294,2024-03-26_16-21-21,3.5586671829223633,63.086753129959106,284,Nicolass-Air.technicolor.net,127.0.0.1,63.086753129959106,17
20.0,1711466485,,False,18,59801294,2024-03-26_16-21-25,3.80802583694458,66.89477896690369,284,Nicolass-Air.technicolor.net,127.0.0.1,66.89477896690369,18
20.0,1711466488,,False,19,59801294,2024-03-26_16-21-28,3.6007895469665527,70.49556851387024,284,Nicolass-Air.technicolor.net,127.0.0.1,70.49556851387024,19
31.5,1711466493,,False,20,59801294,2024-03-26_16-21-33,4.494004964828491,74.98957347869873,284,Nicolass-Air.technicolor.net,127.0.0.1,74.98957347869873,20
29.5,1711466497,,False,21,59801294,2024-03-26_16-21-37,4.177924156188965,79.1674976348877,284,Nicolass-Air.technicolor.net,127.0.0.1,79.1674976348877,21
29.0,1711466501,,False,22,59801294,2024-03-26_16-21-41,4.067307949066162,83.23480558395386,284,Nicolass-Air.technicolor.net,127.0.0.1,83.23480558395386,22
30.0,1711466505,,False,23,59801294,2024-03-26_16-21-45,4.3294336795806885,87.56423926353455,284,Nicolass-Air.technicolor.net,127.0.0.1,87.56423926353455,23
29.0,1711466509,,False,24,59801294,2024-03-26_16-21-49,4.021186828613281,91.58542609214783,284,Nicolass-Air.technicolor.net,127.0.0.1,91.58542609214783,24
28.0,1711466513,,False,25,59801294,2024-03-26_16-21-53,4.050173044204712,95.63559913635254,284,Nicolass-Air.technicolor.net,127.0.0.1,95.63559913635254,25
28.5,1711466518,,False,26,59801294,2024-03-26_16-21-58,4.359661817550659,99.9952609539032,284,Nicolass-Air.technicolor.net,127.0.0.1,99.9952609539032,26
30.5,1711466522,,False,27,59801294,2024-03-26_16-22-02,4.3297460079193115,104.32500696182251,284,Nicolass-Air.technicolor.net,127.0.0.1,104.32500696182251,27
31.0,1711466526,,False,28,59801294,2024-03-26_16-22-06,4.308599948883057,108.63360691070557,284,Nicolass-Air.technicolor.net,127.0.0.1,108.63360691070557,28
31.0,1711466531,,False,29,59801294,2024-03-26_16-22-11,4.2660088539123535,112.89961576461792,284,Nicolass-Air.technicolor.net,127.0.0.1,112.89961576461792,29
31.0,1711466535,,False,30,59801294,2024-03-26_16-22-15,4.408698797225952,117.30831456184387,284,Nicolass-Air.technicolor.net,127.0.0.1,117.30831456184387,30
31.0,1711466539,,False,31,59801294,2024-03-26_16-22-19,4.060539722442627,121.3688542842865,284,Nicolass-Air.technicolor.net,127.0.0.1,121.3688542842865,31
31.0,1711466543,,False,32,59801294,2024-03-26_16-22-23,4.268620014190674,125.63747429847717,284,Nicolass-Air.technicolor.net,127.0.0.1,125.63747429847717,32
31.0,1711466548,,False,33,59801294,2024-03-26_16-22-28,4.38016414642334,130.0176384449005,284,Nicolass-Air.technicolor.net,127.0.0.1,130.0176384449005,33
31.0,1711466552,,False,34,59801294,2024-03-26_16-22-32,4.0464928150177,134.0641312599182,284,Nicolass-Air.technicolor.net,127.0.0.1,134.0641312599182,34
31.0,1711466556,,False,35,59801294,2024-03-26_16-22-36,4.287991046905518,138.35212230682373,284,Nicolass-Air.technicolor.net,127.0.0.1,138.35212230682373,35
