reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
14.0,1711467648,,False,1,5c020db3,2024-03-26_16-40-48,0.49330615997314453,0.49330615997314453,269,Nicolass-Air.technicolor.net,127.0.0.1,0.49330615997314453,1
15.0,1711467649,,False,2,5c020db3,2024-03-26_16-40-49,0.570173978805542,1.0634801387786865,269,Nicolass-Air.technicolor.net,127.0.0.1,1.0634801387786865,2
15.0,1711467650,,False,3,5c020db3,2024-03-26_16-40-50,0.5691540241241455,1.632634162902832,269,Nicolass-Air.technicolor.net,127.0.0.1,1.632634162902832,3
15.0,1711467650,,False,4,5c020db3,2024-03-26_16-40-50,0.6066389083862305,2.2392730712890625,269,Nicolass-Air.technicolor.net,127.0.0.1,2.2392730712890625,4
15.0,1711467651,,False,5,5c020db3,2024-03-26_16-40-51,0.5913777351379395,2.830650806427002,269,Nicolass-Air.technicolor.net,127.0.0.1,2.830650806427002,5
15.0,1711467651,,False,6,5c020db3,2024-03-26_16-40-51,0.6025810241699219,3.433231830596924,269,Nicolass-Air.technicolor.net,127.0.0.1,3.433231830596924,6
15.0,1711467652,,False,7,5c020db3,2024-03-26_16-40-52,0.5622892379760742,3.995521068572998,269,Nicolass-Air.technicolor.net,127.0.0.1,3.995521068572998,7
15.0,1711467653,,False,8,5c020db3,2024-03-26_16-40-53,0.6069729328155518,4.60249400138855,269,Nicolass-Air.technicolor.net,127.0.0.1,4.60249400138855,8
15.0,1711467653,,False,9,5c020db3,2024-03-26_16-40-53,0.6445560455322266,5.247050046920776,269,Nicolass-Air.technicolor.net,127.0.0.1,5.247050046920776,9
15.0,1711467654,,False,10,5c020db3,2024-03-26_16-40-54,0.6311209201812744,5.878170967102051,269,Nicolass-Air.technicolor.net,127.0.0.1,5.878170967102051,10
15.0,1711467654,,False,11,5c020db3,2024-03-26_16-40-54,0.6219480037689209,6.500118970870972,269,Nicolass-Air.technicolor.net,127.0.0.1,6.500118970870972,11
15.0,1711467655,,False,12,5c020db3,2024-03-26_16-40-55,0.615307092666626,7.115426063537598,269,Nicolass-Air.technicolor.net,127.0.0.1,7.115426063537598,12
15.0,1711467656,,False,13,5c020db3,2024-03-26_16-40-56,0.6008467674255371,7.716272830963135,269,Nicolass-Air.technicolor.net,127.0.0.1,7.716272830963135,13
15.0,1711467656,,False,14,5c020db3,2024-03-26_16-40-56,0.59405517578125,8.310328006744385,269,Nicolass-Air.technicolor.net,127.0.0.1,8.310328006744385,14
15.0,1711467657,,False,15,5c020db3,2024-03-26_16-40-57,0.587817907333374,8.898145914077759,269,Nicolass-Air.technicolor.net,127.0.0.1,8.898145914077759,15
15.0,1711467658,,False,16,5c020db3,2024-03-26_16-40-58,0.6526608467102051,9.550806760787964,269,Nicolass-Air.technicolor.net,127.0.0.1,9.550806760787964,16
15.0,1711467660,,False,17,5c020db3,2024-03-26_16-41-00,0.5479092597961426,10.098716020584106,269,Nicolass-Air.technicolor.net,127.0.0.1,10.098716020584106,17
15.0,1711467661,,False,18,5c020db3,2024-03-26_16-41-01,0.6132330894470215,10.711949110031128,269,Nicolass-Air.technicolor.net,127.0.0.1,10.711949110031128,18
15.0,1711467661,,False,19,5c020db3,2024-03-26_16-41-01,0.6300561428070068,11.342005252838135,269,Nicolass-Air.technicolor.net,127.0.0.1,11.342005252838135,19
15.0,1711467662,,False,20,5c020db3,2024-03-26_16-41-02,0.599297046661377,11.941302299499512,269,Nicolass-Air.technicolor.net,127.0.0.1,11.941302299499512,20
15.0,1711467663,,False,21,5c020db3,2024-03-26_16-41-03,0.5627541542053223,12.504056453704834,269,Nicolass-Air.technicolor.net,127.0.0.1,12.504056453704834,21
15.0,1711467663,,False,22,5c020db3,2024-03-26_16-41-03,0.6168608665466309,13.120917320251465,269,Nicolass-Air.technicolor.net,127.0.0.1,13.120917320251465,22
15.0,1711467664,,False,23,5c020db3,2024-03-26_16-41-04,0.6892690658569336,13.810186386108398,269,Nicolass-Air.technicolor.net,127.0.0.1,13.810186386108398,23
15.0,1711467665,,False,24,5c020db3,2024-03-26_16-41-05,0.5907859802246094,14.400972366333008,269,Nicolass-Air.technicolor.net,127.0.0.1,14.400972366333008,24
15.0,1711467665,,False,25,5c020db3,2024-03-26_16-41-05,0.5829122066497803,14.983884572982788,269,Nicolass-Air.technicolor.net,127.0.0.1,14.983884572982788,25
15.0,1711467666,,False,26,5c020db3,2024-03-26_16-41-06,0.5954592227935791,15.579343795776367,269,Nicolass-Air.technicolor.net,127.0.0.1,15.579343795776367,26
15.0,1711467666,,False,27,5c020db3,2024-03-26_16-41-06,0.6143691539764404,16.193712949752808,269,Nicolass-Air.technicolor.net,127.0.0.1,16.193712949752808,27
15.0,1711467667,,False,28,5c020db3,2024-03-26_16-41-07,0.577362060546875,16.771075010299683,269,Nicolass-Air.technicolor.net,127.0.0.1,16.771075010299683,28
15.0,1711467668,,False,29,5c020db3,2024-03-26_16-41-08,0.6356968879699707,17.406771898269653,269,Nicolass-Air.technicolor.net,127.0.0.1,17.406771898269653,29
15.0,1711467668,,False,30,5c020db3,2024-03-26_16-41-08,0.6031739711761475,18.0099458694458,269,Nicolass-Air.technicolor.net,127.0.0.1,18.0099458694458,30
15.0,1711467669,,False,31,5c020db3,2024-03-26_16-41-09,0.6562638282775879,18.66620969772339,269,Nicolass-Air.technicolor.net,127.0.0.1,18.66620969772339,31
15.0,1711467669,,False,32,5c020db3,2024-03-26_16-41-09,0.6292848587036133,19.295494556427002,269,Nicolass-Air.technicolor.net,127.0.0.1,19.295494556427002,32
15.0,1711467670,,False,33,5c020db3,2024-03-26_16-41-10,0.5884997844696045,19.883994340896606,269,Nicolass-Air.technicolor.net,127.0.0.1,19.883994340896606,33
15.0,1711467671,,False,34,5c020db3,2024-03-26_16-41-11,0.5362539291381836,20.42024827003479,269,Nicolass-Air.technicolor.net,127.0.0.1,20.42024827003479,34
15.0,1711467671,,False,35,5c020db3,2024-03-26_16-41-11,0.5488877296447754,20.969135999679565,269,Nicolass-Air.technicolor.net,127.0.0.1,20.969135999679565,35
15.0,1711467672,,False,36,5c020db3,2024-03-26_16-41-12,0.601240873336792,21.570376873016357,269,Nicolass-Air.technicolor.net,127.0.0.1,21.570376873016357,36
15.0,1711467672,,False,37,5c020db3,2024-03-26_16-41-12,0.6162340641021729,22.18661093711853,269,Nicolass-Air.technicolor.net,127.0.0.1,22.18661093711853,37
15.0,1711467673,,False,38,5c020db3,2024-03-26_16-41-13,0.5756790637969971,22.762290000915527,269,Nicolass-Air.technicolor.net,127.0.0.1,22.762290000915527,38
15.0,1711467674,,False,39,5c020db3,2024-03-26_16-41-14,0.5872600078582764,23.349550008773804,269,Nicolass-Air.technicolor.net,127.0.0.1,23.349550008773804,39
15.0,1711467674,,False,40,5c020db3,2024-03-26_16-41-14,0.7122669219970703,24.061816930770874,269,Nicolass-Air.technicolor.net,127.0.0.1,24.061816930770874,40
