reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
20.0,1711467377,,False,1,5f50d4c7,2024-03-26_16-36-17,0.5426878929138184,0.5426878929138184,436,Nicolass-Air.technicolor.net,127.0.0.1,0.5426878929138184,1
55.0,1711467378,,False,2,5f50d4c7,2024-03-26_16-36-18,0.8692128658294678,1.4119007587432861,436,Nicolass-Air.technicolor.net,127.0.0.1,1.4119007587432861,2
58.0,1711467379,,False,3,5f50d4c7,2024-03-26_16-36-19,0.9342095851898193,2.3461103439331055,436,Nicolass-Air.technicolor.net,127.0.0.1,2.3461103439331055,3
57.0,1711467380,,False,4,5f50d4c7,2024-03-26_16-36-20,0.9774360656738281,3.3235464096069336,436,Nicolass-Air.technicolor.net,127.0.0.1,3.3235464096069336,4
58.0,1711467381,,False,5,5f50d4c7,2024-03-26_16-36-21,1.0792748928070068,4.40282130241394,436,Nicolass-Air.technicolor.net,127.0.0.1,4.40282130241394,5
58.0,1711467382,,False,6,5f50d4c7,2024-03-26_16-36-22,1.0781440734863281,5.4809653759002686,436,Nicolass-Air.technicolor.net,127.0.0.1,5.4809653759002686,6
58.0,1711467383,,False,7,5f50d4c7,2024-03-26_16-36-23,1.0966930389404297,6.577658414840698,436,Nicolass-Air.technicolor.net,127.0.0.1,6.577658414840698,7
58.0,1711467384,,False,8,5f50d4c7,2024-03-26_16-36-24,1.1466102600097656,7.724268674850464,436,Nicolass-Air.technicolor.net,127.0.0.1,7.724268674850464,8
58.0,1711467386,,False,9,5f50d4c7,2024-03-26_16-36-26,1.1808719635009766,8.90514063835144,436,Nicolass-Air.technicolor.net,127.0.0.1,8.90514063835144,9
58.0,1711467387,,False,10,5f50d4c7,2024-03-26_16-36-27,1.1471998691558838,10.052340507507324,436,Nicolass-Air.technicolor.net,127.0.0.1,10.052340507507324,10
58.0,1711467388,,False,11,5f50d4c7,2024-03-26_16-36-28,1.069242238998413,11.121582746505737,436,Nicolass-Air.technicolor.net,127.0.0.1,11.121582746505737,11
58.0,1711467389,,False,12,5f50d4c7,2024-03-26_16-36-29,1.0645270347595215,12.186109781265259,436,Nicolass-Air.technicolor.net,127.0.0.1,12.186109781265259,12
58.0,1711467390,,False,13,5f50d4c7,2024-03-26_16-36-30,1.0862338542938232,13.272343635559082,436,Nicolass-Air.technicolor.net,127.0.0.1,13.272343635559082,13
57.0,1711467391,,False,14,5f50d4c7,2024-03-26_16-36-31,1.0137252807617188,14.2860689163208,436,Nicolass-Air.technicolor.net,127.0.0.1,14.2860689163208,14
58.0,1711467392,,False,15,5f50d4c7,2024-03-26_16-36-32,1.084899663925171,15.370968580245972,436,Nicolass-Air.technicolor.net,127.0.0.1,15.370968580245972,15
58.0,1711467393,,False,16,5f50d4c7,2024-03-26_16-36-33,1.006314992904663,16.377283573150635,436,Nicolass-Air.technicolor.net,127.0.0.1,16.377283573150635,16
58.0,1711467394,,False,17,5f50d4c7,2024-03-26_16-36-34,1.0956249237060547,17.47290849685669,436,Nicolass-Air.technicolor.net,127.0.0.1,17.47290849685669,17
58.0,1711467395,,False,18,5f50d4c7,2024-03-26_16-36-35,1.0226101875305176,18.495518684387207,436,Nicolass-Air.technicolor.net,127.0.0.1,18.495518684387207,18
58.0,1711467396,,False,19,5f50d4c7,2024-03-26_16-36-36,1.1163411140441895,19.611859798431396,436,Nicolass-Air.technicolor.net,127.0.0.1,19.611859798431396,19
58.0,1711467398,,False,20,5f50d4c7,2024-03-26_16-36-38,1.113718032836914,20.72557783126831,436,Nicolass-Air.technicolor.net,127.0.0.1,20.72557783126831,20
58.0,1711467399,,False,21,5f50d4c7,2024-03-26_16-36-39,1.1085500717163086,21.83412790298462,436,Nicolass-Air.technicolor.net,127.0.0.1,21.83412790298462,21
58.0,1711467400,,False,22,5f50d4c7,2024-03-26_16-36-40,1.1047768592834473,22.938904762268066,436,Nicolass-Air.technicolor.net,127.0.0.1,22.938904762268066,22
58.0,1711467401,,False,23,5f50d4c7,2024-03-26_16-36-41,1.0770399570465088,24.015944719314575,436,Nicolass-Air.technicolor.net,127.0.0.1,24.015944719314575,23
58.0,1711467402,,False,24,5f50d4c7,2024-03-26_16-36-42,1.0941660404205322,25.110110759735107,436,Nicolass-Air.technicolor.net,127.0.0.1,25.110110759735107,24
58.0,1711467403,,False,25,5f50d4c7,2024-03-26_16-36-43,1.0876471996307373,26.197757959365845,436,Nicolass-Air.technicolor.net,127.0.0.1,26.197757959365845,25
58.0,1711467404,,False,26,5f50d4c7,2024-03-26_16-36-44,1.212925910949707,27.41068387031555,436,Nicolass-Air.technicolor.net,127.0.0.1,27.41068387031555,26
58.0,1711467405,,False,27,5f50d4c7,2024-03-26_16-36-45,1.1141529083251953,28.524836778640747,436,Nicolass-Air.technicolor.net,127.0.0.1,28.524836778640747,27
58.0,1711467406,,False,28,5f50d4c7,2024-03-26_16-36-46,1.0685861110687256,29.593422889709473,436,Nicolass-Air.technicolor.net,127.0.0.1,29.593422889709473,28
58.0,1711467408,,False,29,5f50d4c7,2024-03-26_16-36-48,1.2057452201843262,30.7991681098938,436,Nicolass-Air.technicolor.net,127.0.0.1,30.7991681098938,29
58.0,1711467409,,False,30,5f50d4c7,2024-03-26_16-36-49,1.0507493019104004,31.8499174118042,436,Nicolass-Air.technicolor.net,127.0.0.1,31.8499174118042,30
58.0,1711467410,,False,31,5f50d4c7,2024-03-26_16-36-50,1.1376078128814697,32.98752522468567,436,Nicolass-Air.technicolor.net,127.0.0.1,32.98752522468567,31
58.0,1711467411,,False,32,5f50d4c7,2024-03-26_16-36-51,1.086824893951416,34.074350118637085,436,Nicolass-Air.technicolor.net,127.0.0.1,34.074350118637085,32
58.0,1711467412,,False,33,5f50d4c7,2024-03-26_16-36-52,1.0836410522460938,35.15799117088318,436,Nicolass-Air.technicolor.net,127.0.0.1,35.15799117088318,33
58.0,1711467413,,False,34,5f50d4c7,2024-03-26_16-36-53,1.167253017425537,36.325244188308716,436,Nicolass-Air.technicolor.net,127.0.0.1,36.325244188308716,34
58.0,1711467414,,False,35,5f50d4c7,2024-03-26_16-36-54,1.0779497623443604,37.403193950653076,436,Nicolass-Air.technicolor.net,127.0.0.1,37.403193950653076,35
58.0,1711467415,,False,36,5f50d4c7,2024-03-26_16-36-55,1.1692440509796143,38.57243800163269,436,Nicolass-Air.technicolor.net,127.0.0.1,38.57243800163269,36
58.0,1711467417,,False,37,5f50d4c7,2024-03-26_16-36-57,1.078887939453125,39.651325941085815,436,Nicolass-Air.technicolor.net,127.0.0.1,39.651325941085815,37
58.0,1711467418,,False,38,5f50d4c7,2024-03-26_16-36-58,1.0083489418029785,40.659674882888794,436,Nicolass-Air.technicolor.net,127.0.0.1,40.659674882888794,38
58.0,1711467419,,False,39,5f50d4c7,2024-03-26_16-36-59,1.0768203735351562,41.73649525642395,436,Nicolass-Air.technicolor.net,127.0.0.1,41.73649525642395,39
58.0,1711467420,,False,40,5f50d4c7,2024-03-26_16-37-00,1.0727908611297607,42.80928611755371,436,Nicolass-Air.technicolor.net,127.0.0.1,42.80928611755371,40
