reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
17.5,1711466276,,False,1,656095a7,2024-03-26_16-17-56,2.1492598056793213,2.1492598056793213,498,Nicolass-Air.technicolor.net,127.0.0.1,2.1492598056793213,1
14.0,1711466279,,False,2,656095a7,2024-03-26_16-17-59,2.2841341495513916,4.433393955230713,498,Nicolass-Air.technicolor.net,127.0.0.1,4.433393955230713,2
13.0,1711466281,,False,3,656095a7,2024-03-26_16-18-01,2.0740749835968018,6.507468938827515,498,Nicolass-Air.technicolor.net,127.0.0.1,6.507468938827515,3
13.0,1711466283,,False,4,656095a7,2024-03-26_16-18-03,2.367649793624878,8.875118732452393,498,Nicolass-Air.technicolor.net,127.0.0.1,8.875118732452393,4
13.0,1711466285,,False,5,656095a7,2024-03-26_16-18-05,2.254624128341675,11.129742860794067,498,Nicolass-Air.technicolor.net,127.0.0.1,11.129742860794067,5
13.0,1711466287,,False,6,656095a7,2024-03-26_16-18-07,1.9809401035308838,13.110682964324951,498,Nicolass-Air.technicolor.net,127.0.0.1,13.110682964324951,6
13.0,1711466289,,False,7,656095a7,2024-03-26_16-18-09,2.1427578926086426,15.253440856933594,498,Nicolass-Air.technicolor.net,127.0.0.1,15.253440856933594,7
13.0,1711466292,,False,8,656095a7,2024-03-26_16-18-12,2.2424440383911133,17.495884895324707,498,Nicolass-Air.technicolor.net,127.0.0.1,17.495884895324707,8
13.0,1711466294,,False,9,656095a7,2024-03-26_16-18-14,1.931239366531372,19.42712426185608,498,Nicolass-Air.technicolor.net,127.0.0.1,19.42712426185608,9
13.0,1711466296,,False,10,656095a7,2024-03-26_16-18-16,2.265559196472168,21.692683458328247,498,Nicolass-Air.technicolor.net,127.0.0.1,21.692683458328247,10
13.0,1711466298,,False,11,656095a7,2024-03-26_16-18-18,2.0714550018310547,23.7641384601593,498,Nicolass-Air.technicolor.net,127.0.0.1,23.7641384601593,11
13.0,1711466300,,False,12,656095a7,2024-03-26_16-18-20,2.2577688694000244,26.021907329559326,498,Nicolass-Air.technicolor.net,127.0.0.1,26.021907329559326,12
13.0,1711466302,,False,13,656095a7,2024-03-26_16-18-22,2.128596067428589,28.150503396987915,498,Nicolass-Air.technicolor.net,127.0.0.1,28.150503396987915,13
13.0,1711466304,,False,14,656095a7,2024-03-26_16-18-24,2.147463083267212,30.297966480255127,498,Nicolass-Air.technicolor.net,127.0.0.1,30.297966480255127,14
13.0,1711466307,,False,15,656095a7,2024-03-26_16-18-27,2.1136062145233154,32.41157269477844,498,Nicolass-Air.technicolor.net,127.0.0.1,32.41157269477844,15
13.0,1711466309,,False,16,656095a7,2024-03-26_16-18-29,2.1283318996429443,34.53990459442139,498,Nicolass-Air.technicolor.net,127.0.0.1,34.53990459442139,16
13.0,1711466311,,False,17,656095a7,2024-03-26_16-18-31,2.0564370155334473,36.596341609954834,498,Nicolass-Air.technicolor.net,127.0.0.1,36.596341609954834,17
13.0,1711466313,,False,18,656095a7,2024-03-26_16-18-33,2.3165721893310547,38.91291379928589,498,Nicolass-Air.technicolor.net,127.0.0.1,38.91291379928589,18
13.0,1711466315,,False,19,656095a7,2024-03-26_16-18-35,2.121955156326294,41.03486895561218,498,Nicolass-Air.technicolor.net,127.0.0.1,41.03486895561218,19
13.0,1711466318,,False,20,656095a7,2024-03-26_16-18-38,2.3856027126312256,43.42047166824341,498,Nicolass-Air.technicolor.net,127.0.0.1,43.42047166824341,20
13.0,1711466320,,False,21,656095a7,2024-03-26_16-18-40,2.1519339084625244,45.57240557670593,498,Nicolass-Air.technicolor.net,127.0.0.1,45.57240557670593,21
13.0,1711466322,,False,22,656095a7,2024-03-26_16-18-42,2.1870949268341064,47.75950050354004,498,Nicolass-Air.technicolor.net,127.0.0.1,47.75950050354004,22
13.0,1711466324,,False,23,656095a7,2024-03-26_16-18-44,2.1880760192871094,49.94757652282715,498,Nicolass-Air.technicolor.net,127.0.0.1,49.94757652282715,23
13.0,1711466326,,False,24,656095a7,2024-03-26_16-18-46,2.259972095489502,52.20754861831665,498,Nicolass-Air.technicolor.net,127.0.0.1,52.20754861831665,24
13.0,1711466329,,False,25,656095a7,2024-03-26_16-18-49,2.2602853775024414,54.46783399581909,498,Nicolass-Air.technicolor.net,127.0.0.1,54.46783399581909,25
13.0,1711466331,,False,26,656095a7,2024-03-26_16-18-51,2.3355770111083984,56.80341100692749,498,Nicolass-Air.technicolor.net,127.0.0.1,56.80341100692749,26
13.0,1711466333,,False,27,656095a7,2024-03-26_16-18-53,2.4361348152160645,59.239545822143555,498,Nicolass-Air.technicolor.net,127.0.0.1,59.239545822143555,27
13.0,1711466336,,False,28,656095a7,2024-03-26_16-18-56,2.1054201126098633,61.34496593475342,498,Nicolass-Air.technicolor.net,127.0.0.1,61.34496593475342,28
13.0,1711466338,,False,29,656095a7,2024-03-26_16-18-58,2.16192889213562,63.50689482688904,498,Nicolass-Air.technicolor.net,127.0.0.1,63.50689482688904,29
13.0,1711466340,,False,30,656095a7,2024-03-26_16-19-00,2.1694540977478027,65.67634892463684,498,Nicolass-Air.technicolor.net,127.0.0.1,65.67634892463684,30
13.0,1711466342,,False,31,656095a7,2024-03-26_16-19-02,2.3687150478363037,68.04506397247314,498,Nicolass-Air.technicolor.net,127.0.0.1,68.04506397247314,31
13.0,1711466345,,False,32,656095a7,2024-03-26_16-19-05,2.388662099838257,70.4337260723114,498,Nicolass-Air.technicolor.net,127.0.0.1,70.4337260723114,32
13.0,1711466347,,False,33,656095a7,2024-03-26_16-19-07,2.2898619174957275,72.72358798980713,498,Nicolass-Air.technicolor.net,127.0.0.1,72.72358798980713,33
13.0,1711466349,,False,34,656095a7,2024-03-26_16-19-09,2.286746025085449,75.01033401489258,498,Nicolass-Air.technicolor.net,127.0.0.1,75.01033401489258,34
13.0,1711466351,,False,35,656095a7,2024-03-26_16-19-11,2.2405340671539307,77.25086808204651,498,Nicolass-Air.technicolor.net,127.0.0.1,77.25086808204651,35
13.0,1711466354,,False,36,656095a7,2024-03-26_16-19-14,2.3820390701293945,79.6329071521759,498,Nicolass-Air.technicolor.net,127.0.0.1,79.6329071521759,36
13.0,1711466356,,False,37,656095a7,2024-03-26_16-19-16,2.1565561294555664,81.78946328163147,498,Nicolass-Air.technicolor.net,127.0.0.1,81.78946328163147,37
13.0,1711466358,,False,38,656095a7,2024-03-26_16-19-18,2.1290056705474854,83.91846895217896,498,Nicolass-Air.technicolor.net,127.0.0.1,83.91846895217896,38
13.0,1711466360,,False,39,656095a7,2024-03-26_16-19-20,2.3131701946258545,86.23163914680481,498,Nicolass-Air.technicolor.net,127.0.0.1,86.23163914680481,39
13.0,1711466363,,False,40,656095a7,2024-03-26_16-19-23,2.414546012878418,88.64618515968323,498,Nicolass-Air.technicolor.net,127.0.0.1,88.64618515968323,40
