reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
14.2,1711466183,,False,1,6a27a064,2024-03-26_16-16-23,2.87601900100708,2.87601900100708,284,Nicolass-Air.technicolor.net,127.0.0.1,2.87601900100708,1
15.6,1711466186,,False,2,6a27a064,2024-03-26_16-16-26,3.0151479244232178,5.891166925430298,284,Nicolass-Air.technicolor.net,127.0.0.1,5.891166925430298,2
11.8,1711466188,,False,3,6a27a064,2024-03-26_16-16-28,2.526517629623413,8.417684555053711,284,Nicolass-Air.technicolor.net,127.0.0.1,8.417684555053711,3
9.0,1711466190,,False,4,6a27a064,2024-03-26_16-16-30,2.144157886505127,10.561842441558838,284,Nicolass-Air.technicolor.net,127.0.0.1,10.561842441558838,4
9.4,1711466192,,False,5,6a27a064,2024-03-26_16-16-32,2.092393159866333,12.654235601425171,284,Nicolass-Air.technicolor.net,127.0.0.1,12.654235601425171,5
9.0,1711466194,,False,6,6a27a064,2024-03-26_16-16-34,2.023749828338623,14.677985429763794,284,Nicolass-Air.technicolor.net,127.0.0.1,14.677985429763794,6
9.0,1711466196,,False,7,6a27a064,2024-03-26_16-16-36,1.9505739212036133,16.628559350967407,284,Nicolass-Air.technicolor.net,127.0.0.1,16.628559350967407,7
9.0,1711466198,,False,8,6a27a064,2024-03-26_16-16-38,2.084197998046875,18.712757349014282,284,Nicolass-Air.technicolor.net,127.0.0.1,18.712757349014282,8
9.0,1711466200,,False,9,6a27a064,2024-03-26_16-16-40,2.0453429222106934,20.758100271224976,284,Nicolass-Air.technicolor.net,127.0.0.1,20.758100271224976,9
9.0,1711466203,,False,10,6a27a064,2024-03-26_16-16-43,2.0280168056488037,22.78611707687378,284,Nicolass-Air.technicolor.net,127.0.0.1,22.78611707687378,10
9.0,1711466205,,False,11,6a27a064,2024-03-26_16-16-45,1.9655370712280273,24.751654148101807,284,Nicolass-Air.technicolor.net,127.0.0.1,24.751654148101807,11
9.0,1711466206,,False,12,6a27a064,2024-03-26_16-16-46,1.9864859580993652,26.738140106201172,284,Nicolass-Air.technicolor.net,127.0.0.1,26.738140106201172,12
9.0,1711466208,,False,13,6a27a064,2024-03-26_16-16-48,1.9057469367980957,28.643887042999268,284,Nicolass-Air.technicolor.net,127.0.0.1,28.643887042999268,13
9.0,1711466210,,False,14,6a27a064,2024-03-26_16-16-50,1.7998762130737305,30.443763256072998,284,Nicolass-Air.technicolor.net,127.0.0.1,30.443763256072998,14
9.0,1711466212,,False,15,6a27a064,2024-03-26_16-16-52,2.0027670860290527,32.44653034210205,284,Nicolass-Air.technicolor.net,127.0.0.1,32.44653034210205,15
9.0,1711466214,,False,16,6a27a064,2024-03-26_16-16-54,1.9610097408294678,34.40754008293152,284,Nicolass-Air.technicolor.net,127.0.0.1,34.40754008293152,16
9.0,1711466216,,False,17,6a27a064,2024-03-26_16-16-56,1.8565449714660645,36.26408505439758,284,Nicolass-Air.technicolor.net,127.0.0.1,36.26408505439758,17
9.0,1711466218,,False,18,6a27a064,2024-03-26_16-16-58,1.917525053024292,38.181610107421875,284,Nicolass-Air.technicolor.net,127.0.0.1,38.181610107421875,18
9.0,1711466220,,False,19,6a27a064,2024-03-26_16-17-00,1.875241994857788,40.05685210227966,284,Nicolass-Air.technicolor.net,127.0.0.1,40.05685210227966,19
9.0,1711466222,,False,20,6a27a064,2024-03-26_16-17-02,2.1355981826782227,42.192450284957886,284,Nicolass-Air.technicolor.net,127.0.0.1,42.192450284957886,20
9.0,1711466224,,False,21,6a27a064,2024-03-26_16-17-04,2.053325653076172,44.24577593803406,284,Nicolass-Air.technicolor.net,127.0.0.1,44.24577593803406,21
9.0,1711466226,,False,22,6a27a064,2024-03-26_16-17-06,1.9536619186401367,46.199437856674194,284,Nicolass-Air.technicolor.net,127.0.0.1,46.199437856674194,22
9.0,1711466228,,False,23,6a27a064,2024-03-26_16-17-08,1.8996682167053223,48.09910607337952,284,Nicolass-Air.technicolor.net,127.0.0.1,48.09910607337952,23
9.0,1711466230,,False,24,6a27a064,2024-03-26_16-17-10,1.9482169151306152,50.04732298851013,284,Nicolass-Air.technicolor.net,127.0.0.1,50.04732298851013,24
9.0,1711466232,,False,25,6a27a064,2024-03-26_16-17-12,1.9235508441925049,51.97087383270264,284,Nicolass-Air.technicolor.net,127.0.0.1,51.97087383270264,25
9.0,1711466234,,False,26,6a27a064,2024-03-26_16-17-14,1.8925719261169434,53.86344575881958,284,Nicolass-Air.technicolor.net,127.0.0.1,53.86344575881958,26
9.0,1711466236,,False,27,6a27a064,2024-03-26_16-17-16,1.903688907623291,55.76713466644287,284,Nicolass-Air.technicolor.net,127.0.0.1,55.76713466644287,27
9.0,1711466238,,False,28,6a27a064,2024-03-26_16-17-18,1.9198858737945557,57.68702054023743,284,Nicolass-Air.technicolor.net,127.0.0.1,57.68702054023743,28
9.0,1711466240,,False,29,6a27a064,2024-03-26_16-17-20,1.983313798904419,59.670334339141846,284,Nicolass-Air.technicolor.net,127.0.0.1,59.670334339141846,29
9.0,1711466241,,False,30,6a27a064,2024-03-26_16-17-21,1.9284641742706299,61.598798513412476,284,Nicolass-Air.technicolor.net,127.0.0.1,61.598798513412476,30
9.0,1711466243,,False,31,6a27a064,2024-03-26_16-17-23,1.8616409301757812,63.46043944358826,284,Nicolass-Air.technicolor.net,127.0.0.1,63.46043944358826,31
9.0,1711466245,,False,32,6a27a064,2024-03-26_16-17-25,1.8785970211029053,65.33903646469116,284,Nicolass-Air.technicolor.net,127.0.0.1,65.33903646469116,32
9.0,1711466247,,False,33,6a27a064,2024-03-26_16-17-27,1.929656982421875,67.26869344711304,284,Nicolass-Air.technicolor.net,127.0.0.1,67.26869344711304,33
9.0,1711466249,,False,34,6a27a064,2024-03-26_16-17-29,1.7965939044952393,69.06528735160828,284,Nicolass-Air.technicolor.net,127.0.0.1,69.06528735160828,34
9.0,1711466251,,False,35,6a27a064,2024-03-26_16-17-31,1.796694040298462,70.86198139190674,284,Nicolass-Air.technicolor.net,127.0.0.1,70.86198139190674,35
9.0,1711466253,,False,36,6a27a064,2024-03-26_16-17-33,2.0028772354125977,72.86485862731934,284,Nicolass-Air.technicolor.net,127.0.0.1,72.86485862731934,36
9.0,1711466255,,False,37,6a27a064,2024-03-26_16-17-35,2.1946680545806885,75.05952668190002,284,Nicolass-Air.technicolor.net,127.0.0.1,75.05952668190002,37
9.0,1711466257,,False,38,6a27a064,2024-03-26_16-17-37,2.0004382133483887,77.05996489524841,284,Nicolass-Air.technicolor.net,127.0.0.1,77.05996489524841,38
9.0,1711466259,,False,39,6a27a064,2024-03-26_16-17-39,1.9195990562438965,78.97956395149231,284,Nicolass-Air.technicolor.net,127.0.0.1,78.97956395149231,39
9.0,1711466261,,False,40,6a27a064,2024-03-26_16-17-41,1.9792678356170654,80.95883178710938,284,Nicolass-Air.technicolor.net,127.0.0.1,80.95883178710938,40
