reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
14.0,1711467204,,False,1,7261e2d6,2024-03-26_16-33-24,0.9505248069763184,0.9505248069763184,269,Nicolass-Air.technicolor.net,127.0.0.1,0.9505248069763184,1
15.0,1711467205,,False,2,7261e2d6,2024-03-26_16-33-25,1.1423249244689941,2.0928497314453125,269,Nicolass-Air.technicolor.net,127.0.0.1,2.0928497314453125,2
15.0,1711467206,,False,3,7261e2d6,2024-03-26_16-33-26,1.1397547721862793,3.232604503631592,269,Nicolass-Air.technicolor.net,127.0.0.1,3.232604503631592,3
15.0,1711467207,,False,4,7261e2d6,2024-03-26_16-33-27,1.2252418994903564,4.457846403121948,269,Nicolass-Air.technicolor.net,127.0.0.1,4.457846403121948,4
14.0,1711467209,,False,5,7261e2d6,2024-03-26_16-33-29,1.0837368965148926,5.541583299636841,269,Nicolass-Air.technicolor.net,127.0.0.1,5.541583299636841,5
14.0,1711467210,,False,6,7261e2d6,2024-03-26_16-33-30,1.103581190109253,6.645164489746094,269,Nicolass-Air.technicolor.net,127.0.0.1,6.645164489746094,6
14.0,1711467211,,False,7,7261e2d6,2024-03-26_16-33-31,1.3200418949127197,7.9652063846588135,269,Nicolass-Air.technicolor.net,127.0.0.1,7.9652063846588135,7
14.0,1711467212,,False,8,7261e2d6,2024-03-26_16-33-32,1.290666103363037,9.25587248802185,269,Nicolass-Air.technicolor.net,127.0.0.1,9.25587248802185,8
14.0,1711467213,,False,9,7261e2d6,2024-03-26_16-33-33,1.1021409034729004,10.358013391494751,269,Nicolass-Air.technicolor.net,127.0.0.1,10.358013391494751,9
14.0,1711467215,,False,10,7261e2d6,2024-03-26_16-33-35,1.2535359859466553,11.611549377441406,269,Nicolass-Air.technicolor.net,127.0.0.1,11.611549377441406,10
14.0,1711467216,,False,11,7261e2d6,2024-03-26_16-33-36,1.1009531021118164,12.712502479553223,269,Nicolass-Air.technicolor.net,127.0.0.1,12.712502479553223,11
14.0,1711467217,,False,12,7261e2d6,2024-03-26_16-33-37,1.2363240718841553,13.948826551437378,269,Nicolass-Air.technicolor.net,127.0.0.1,13.948826551437378,12
14.0,1711467218,,False,13,7261e2d6,2024-03-26_16-33-38,1.1312479972839355,15.080074548721313,269,Nicolass-Air.technicolor.net,127.0.0.1,15.080074548721313,13
14.0,1711467219,,False,14,7261e2d6,2024-03-26_16-33-39,1.2581682205200195,16.338242769241333,269,Nicolass-Air.technicolor.net,127.0.0.1,16.338242769241333,14
14.0,1711467220,,False,15,7261e2d6,2024-03-26_16-33-40,1.0572741031646729,17.395516872406006,269,Nicolass-Air.technicolor.net,127.0.0.1,17.395516872406006,15
