reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
20.0,1711467903,,False,1,7e1c2aa1,2024-03-26_16-45-03,0.7159318923950195,0.7159318923950195,498,Nicolass-Air.technicolor.net,127.0.0.1,0.7159318923950195,1
45.0,1711467904,,False,2,7e1c2aa1,2024-03-26_16-45-04,0.8080840110778809,1.5240159034729004,498,Nicolass-Air.technicolor.net,127.0.0.1,1.5240159034729004,2
40.0,1711467905,,False,3,7e1c2aa1,2024-03-26_16-45-05,0.8855319023132324,2.409547805786133,498,Nicolass-Air.technicolor.net,127.0.0.1,2.409547805786133,3
46.0,1711467906,,False,4,7e1c2aa1,2024-03-26_16-45-06,0.9088001251220703,3.318347930908203,498,Nicolass-Air.technicolor.net,127.0.0.1,3.318347930908203,4
46.0,1711467907,,False,5,7e1c2aa1,2024-03-26_16-45-07,0.9026999473571777,4.221047878265381,498,Nicolass-Air.technicolor.net,127.0.0.1,4.221047878265381,5
46.0,1711467908,,False,6,7e1c2aa1,2024-03-26_16-45-08,0.9680802822113037,5.189128160476685,498,Nicolass-Air.technicolor.net,127.0.0.1,5.189128160476685,6
46.0,1711467909,,False,7,7e1c2aa1,2024-03-26_16-45-09,1.1294610500335693,6.318589210510254,498,Nicolass-Air.technicolor.net,127.0.0.1,6.318589210510254,7
47.0,1711467910,,False,8,7e1c2aa1,2024-03-26_16-45-10,0.9042041301727295,7.222793340682983,498,Nicolass-Air.technicolor.net,127.0.0.1,7.222793340682983,8
47.0,1711467911,,False,9,7e1c2aa1,2024-03-26_16-45-11,0.9119458198547363,8.13473916053772,498,Nicolass-Air.technicolor.net,127.0.0.1,8.13473916053772,9
47.0,1711467911,,False,10,7e1c2aa1,2024-03-26_16-45-11,0.9384000301361084,9.073139190673828,498,Nicolass-Air.technicolor.net,127.0.0.1,9.073139190673828,10
47.0,1711467912,,False,11,7e1c2aa1,2024-03-26_16-45-12,0.9027259349822998,9.975865125656128,498,Nicolass-Air.technicolor.net,127.0.0.1,9.975865125656128,11
48.0,1711467913,,False,12,7e1c2aa1,2024-03-26_16-45-13,1.0673279762268066,11.043193101882935,498,Nicolass-Air.technicolor.net,127.0.0.1,11.043193101882935,12
48.0,1711467914,,False,13,7e1c2aa1,2024-03-26_16-45-14,0.9611959457397461,12.00438904762268,498,Nicolass-Air.technicolor.net,127.0.0.1,12.00438904762268,13
48.0,1711467915,,False,14,7e1c2aa1,2024-03-26_16-45-15,0.916856050491333,12.921245098114014,498,Nicolass-Air.technicolor.net,127.0.0.1,12.921245098114014,14
48.0,1711467916,,False,15,7e1c2aa1,2024-03-26_16-45-16,0.9314408302307129,13.852685928344727,498,Nicolass-Air.technicolor.net,127.0.0.1,13.852685928344727,15
48.0,1711467917,,False,16,7e1c2aa1,2024-03-26_16-45-17,0.9121420383453369,14.764827966690063,498,Nicolass-Air.technicolor.net,127.0.0.1,14.764827966690063,16
48.0,1711467918,,False,17,7e1c2aa1,2024-03-26_16-45-18,0.9511380195617676,15.715965986251831,498,Nicolass-Air.technicolor.net,127.0.0.1,15.715965986251831,17
48.0,1711467919,,False,18,7e1c2aa1,2024-03-26_16-45-19,0.9619550704956055,16.677921056747437,498,Nicolass-Air.technicolor.net,127.0.0.1,16.677921056747437,18
48.0,1711467920,,False,19,7e1c2aa1,2024-03-26_16-45-20,0.9961011409759521,17.67402219772339,498,Nicolass-Air.technicolor.net,127.0.0.1,17.67402219772339,19
48.0,1711467921,,False,20,7e1c2aa1,2024-03-26_16-45-21,0.9585700035095215,18.63259220123291,498,Nicolass-Air.technicolor.net,127.0.0.1,18.63259220123291,20
48.0,1711467922,,False,21,7e1c2aa1,2024-03-26_16-45-22,0.9829721450805664,19.615564346313477,498,Nicolass-Air.technicolor.net,127.0.0.1,19.615564346313477,21
48.0,1711467923,,False,22,7e1c2aa1,2024-03-26_16-45-23,1.0377988815307617,20.65336322784424,498,Nicolass-Air.technicolor.net,127.0.0.1,20.65336322784424,22
48.0,1711467924,,False,23,7e1c2aa1,2024-03-26_16-45-24,1.0775089263916016,21.73087215423584,498,Nicolass-Air.technicolor.net,127.0.0.1,21.73087215423584,23
48.0,1711467925,,False,24,7e1c2aa1,2024-03-26_16-45-25,1.0484123229980469,22.779284477233887,498,Nicolass-Air.technicolor.net,127.0.0.1,22.779284477233887,24
48.0,1711467926,,False,25,7e1c2aa1,2024-03-26_16-45-26,0.9334430694580078,23.712727546691895,498,Nicolass-Air.technicolor.net,127.0.0.1,23.712727546691895,25
48.0,1711467927,,False,26,7e1c2aa1,2024-03-26_16-45-27,0.8902831077575684,24.603010654449463,498,Nicolass-Air.technicolor.net,127.0.0.1,24.603010654449463,26
48.0,1711467928,,False,27,7e1c2aa1,2024-03-26_16-45-28,0.9735088348388672,25.57651948928833,498,Nicolass-Air.technicolor.net,127.0.0.1,25.57651948928833,27
48.0,1711467929,,False,28,7e1c2aa1,2024-03-26_16-45-29,0.9395809173583984,26.51610040664673,498,Nicolass-Air.technicolor.net,127.0.0.1,26.51610040664673,28
48.0,1711467930,,False,29,7e1c2aa1,2024-03-26_16-45-30,1.0646061897277832,27.58070659637451,498,Nicolass-Air.technicolor.net,127.0.0.1,27.58070659637451,29
48.0,1711467931,,False,30,7e1c2aa1,2024-03-26_16-45-31,0.9219050407409668,28.50261163711548,498,Nicolass-Air.technicolor.net,127.0.0.1,28.50261163711548,30
48.0,1711467932,,False,31,7e1c2aa1,2024-03-26_16-45-32,1.0396301746368408,29.54224181175232,498,Nicolass-Air.technicolor.net,127.0.0.1,29.54224181175232,31
48.0,1711467933,,False,32,7e1c2aa1,2024-03-26_16-45-33,0.8642318248748779,30.406473636627197,498,Nicolass-Air.technicolor.net,127.0.0.1,30.406473636627197,32
48.0,1711467934,,False,33,7e1c2aa1,2024-03-26_16-45-34,1.0333759784698486,31.439849615097046,498,Nicolass-Air.technicolor.net,127.0.0.1,31.439849615097046,33
48.0,1711467935,,False,34,7e1c2aa1,2024-03-26_16-45-35,0.9654829502105713,32.40533256530762,498,Nicolass-Air.technicolor.net,127.0.0.1,32.40533256530762,34
