reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
36.0,1711468983,,False,1,848eda25,2024-03-26_17-03-03,2.0268123149871826,2.0268123149871826,269,Nicolass-Air.technicolor.net,127.0.0.1,2.0268123149871826,1
24.0,1711468985,,False,2,848eda25,2024-03-26_17-03-05,1.7342300415039062,3.761042356491089,269,Nicolass-Air.technicolor.net,127.0.0.1,3.761042356491089,2
24.0,1711468986,,False,3,848eda25,2024-03-26_17-03-06,1.7620728015899658,5.523115158081055,269,Nicolass-Air.technicolor.net,127.0.0.1,5.523115158081055,3
24.0,1711468988,,False,4,848eda25,2024-03-26_17-03-08,1.7089660167694092,7.232081174850464,269,Nicolass-Air.technicolor.net,127.0.0.1,7.232081174850464,4
24.0,1711468990,,False,5,848eda25,2024-03-26_17-03-10,1.5498638153076172,8.781944990158081,269,Nicolass-Air.technicolor.net,127.0.0.1,8.781944990158081,5
24.0,1711468991,,False,6,848eda25,2024-03-26_17-03-11,1.6364951133728027,10.418440103530884,269,Nicolass-Air.technicolor.net,127.0.0.1,10.418440103530884,6
24.0,1711468993,,False,7,848eda25,2024-03-26_17-03-13,1.5697851181030273,11.988225221633911,269,Nicolass-Air.technicolor.net,127.0.0.1,11.988225221633911,7
24.0,1711468995,,False,8,848eda25,2024-03-26_17-03-15,1.5788798332214355,13.567105054855347,269,Nicolass-Air.technicolor.net,127.0.0.1,13.567105054855347,8
24.0,1711468996,,False,9,848eda25,2024-03-26_17-03-16,1.709794044494629,15.276899099349976,269,Nicolass-Air.technicolor.net,127.0.0.1,15.276899099349976,9
24.0,1711468998,,False,10,848eda25,2024-03-26_17-03-18,1.711900234222412,16.988799333572388,269,Nicolass-Air.technicolor.net,127.0.0.1,16.988799333572388,10
24.0,1711469000,,False,11,848eda25,2024-03-26_17-03-20,1.6970951557159424,18.68589448928833,269,Nicolass-Air.technicolor.net,127.0.0.1,18.68589448928833,11
24.0,1711469001,,False,12,848eda25,2024-03-26_17-03-21,1.5794627666473389,20.26535725593567,269,Nicolass-Air.technicolor.net,127.0.0.1,20.26535725593567,12
24.0,1711469003,,False,13,848eda25,2024-03-26_17-03-23,1.5844471454620361,21.849804401397705,269,Nicolass-Air.technicolor.net,127.0.0.1,21.849804401397705,13
24.0,1711469005,,False,14,848eda25,2024-03-26_17-03-25,1.8084518909454346,23.65825629234314,269,Nicolass-Air.technicolor.net,127.0.0.1,23.65825629234314,14
24.0,1711469006,,False,15,848eda25,2024-03-26_17-03-26,1.7378950119018555,25.396151304244995,269,Nicolass-Air.technicolor.net,127.0.0.1,25.396151304244995,15
24.0,1711469008,,False,16,848eda25,2024-03-26_17-03-28,1.7753360271453857,27.17148733139038,269,Nicolass-Air.technicolor.net,127.0.0.1,27.17148733139038,16
24.0,1711469010,,False,17,848eda25,2024-03-26_17-03-30,1.744062900543213,28.915550231933594,269,Nicolass-Air.technicolor.net,127.0.0.1,28.915550231933594,17
