reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
17.0,1711467437,,False,1,84d7f909,2024-03-26_16-37-17,0.6806058883666992,0.6806058883666992,457,Nicolass-Air.technicolor.net,127.0.0.1,0.6806058883666992,1
11.0,1711467438,,False,2,84d7f909,2024-03-26_16-37-18,0.6568219661712646,1.3374278545379639,457,Nicolass-Air.technicolor.net,127.0.0.1,1.3374278545379639,2
12.0,1711467439,,False,3,84d7f909,2024-03-26_16-37-19,0.7077021598815918,2.0451300144195557,457,Nicolass-Air.technicolor.net,127.0.0.1,2.0451300144195557,3
12.0,1711467439,,False,4,84d7f909,2024-03-26_16-37-19,0.700390100479126,2.7455201148986816,457,Nicolass-Air.technicolor.net,127.0.0.1,2.7455201148986816,4
12.0,1711467440,,False,5,84d7f909,2024-03-26_16-37-20,0.7092018127441406,3.4547219276428223,457,Nicolass-Air.technicolor.net,127.0.0.1,3.4547219276428223,5
12.0,1711467441,,False,6,84d7f909,2024-03-26_16-37-21,0.7345321178436279,4.18925404548645,457,Nicolass-Air.technicolor.net,127.0.0.1,4.18925404548645,6
12.0,1711467441,,False,7,84d7f909,2024-03-26_16-37-21,0.7302052974700928,4.919459342956543,457,Nicolass-Air.technicolor.net,127.0.0.1,4.919459342956543,7
12.0,1711467442,,False,8,84d7f909,2024-03-26_16-37-22,0.7174668312072754,5.636926174163818,457,Nicolass-Air.technicolor.net,127.0.0.1,5.636926174163818,8
12.0,1711467443,,False,9,84d7f909,2024-03-26_16-37-23,0.705498218536377,6.342424392700195,457,Nicolass-Air.technicolor.net,127.0.0.1,6.342424392700195,9
12.0,1711467444,,False,10,84d7f909,2024-03-26_16-37-24,0.6896908283233643,7.03211522102356,457,Nicolass-Air.technicolor.net,127.0.0.1,7.03211522102356,10
12.0,1711467444,,False,11,84d7f909,2024-03-26_16-37-24,0.654738187789917,7.686853408813477,457,Nicolass-Air.technicolor.net,127.0.0.1,7.686853408813477,11
12.0,1711467445,,False,12,84d7f909,2024-03-26_16-37-25,0.6953389644622803,8.382192373275757,457,Nicolass-Air.technicolor.net,127.0.0.1,8.382192373275757,12
12.0,1711467446,,False,13,84d7f909,2024-03-26_16-37-26,0.7668952941894531,9.14908766746521,457,Nicolass-Air.technicolor.net,127.0.0.1,9.14908766746521,13
12.0,1711467446,,False,14,84d7f909,2024-03-26_16-37-26,0.7422628402709961,9.891350507736206,457,Nicolass-Air.technicolor.net,127.0.0.1,9.891350507736206,14
12.0,1711467447,,False,15,84d7f909,2024-03-26_16-37-27,0.631727933883667,10.523078441619873,457,Nicolass-Air.technicolor.net,127.0.0.1,10.523078441619873,15
12.0,1711467448,,False,16,84d7f909,2024-03-26_16-37-28,0.6782791614532471,11.20135760307312,457,Nicolass-Air.technicolor.net,127.0.0.1,11.20135760307312,16
12.0,1711467448,,False,17,84d7f909,2024-03-26_16-37-28,0.7441420555114746,11.945499658584595,457,Nicolass-Air.technicolor.net,127.0.0.1,11.945499658584595,17
12.0,1711467449,,False,18,84d7f909,2024-03-26_16-37-29,0.6816778182983398,12.627177476882935,457,Nicolass-Air.technicolor.net,127.0.0.1,12.627177476882935,18
12.0,1711467450,,False,19,84d7f909,2024-03-26_16-37-30,0.6975822448730469,13.324759721755981,457,Nicolass-Air.technicolor.net,127.0.0.1,13.324759721755981,19
12.0,1711467451,,False,20,84d7f909,2024-03-26_16-37-31,0.6801369190216064,14.004896640777588,457,Nicolass-Air.technicolor.net,127.0.0.1,14.004896640777588,20
12.0,1711467451,,False,21,84d7f909,2024-03-26_16-37-31,0.7166810035705566,14.721577644348145,457,Nicolass-Air.technicolor.net,127.0.0.1,14.721577644348145,21
12.0,1711467452,,False,22,84d7f909,2024-03-26_16-37-32,0.6941561698913574,15.415733814239502,457,Nicolass-Air.technicolor.net,127.0.0.1,15.415733814239502,22
12.0,1711467453,,False,23,84d7f909,2024-03-26_16-37-33,0.7466259002685547,16.162359714508057,457,Nicolass-Air.technicolor.net,127.0.0.1,16.162359714508057,23
12.0,1711467453,,False,24,84d7f909,2024-03-26_16-37-33,0.7097828388214111,16.872142553329468,457,Nicolass-Air.technicolor.net,127.0.0.1,16.872142553329468,24
12.0,1711467454,,False,25,84d7f909,2024-03-26_16-37-34,0.6940081119537354,17.566150665283203,457,Nicolass-Air.technicolor.net,127.0.0.1,17.566150665283203,25
12.0,1711467455,,False,26,84d7f909,2024-03-26_16-37-35,0.6975107192993164,18.26366138458252,457,Nicolass-Air.technicolor.net,127.0.0.1,18.26366138458252,26
12.0,1711467456,,False,27,84d7f909,2024-03-26_16-37-36,0.8047380447387695,19.06839942932129,457,Nicolass-Air.technicolor.net,127.0.0.1,19.06839942932129,27
12.0,1711467456,,False,28,84d7f909,2024-03-26_16-37-36,0.6771817207336426,19.74558115005493,457,Nicolass-Air.technicolor.net,127.0.0.1,19.74558115005493,28
12.0,1711467457,,False,29,84d7f909,2024-03-26_16-37-37,0.7267436981201172,20.47232484817505,457,Nicolass-Air.technicolor.net,127.0.0.1,20.47232484817505,29
12.0,1711467458,,False,30,84d7f909,2024-03-26_16-37-38,0.6494841575622559,21.121809005737305,457,Nicolass-Air.technicolor.net,127.0.0.1,21.121809005737305,30
