reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
39.0,1711467200,,False,1,8ddb0f6b,2024-03-26_16-33-20,1.213486909866333,1.213486909866333,457,Nicolass-Air.technicolor.net,127.0.0.1,1.213486909866333,1
40.0,1711467201,,False,2,8ddb0f6b,2024-03-26_16-33-21,1.5996859073638916,2.8131728172302246,457,Nicolass-Air.technicolor.net,127.0.0.1,2.8131728172302246,2
39.0,1711467203,,False,3,8ddb0f6b,2024-03-26_16-33-23,1.6543471813201904,4.467519998550415,457,Nicolass-Air.technicolor.net,127.0.0.1,4.467519998550415,3
39.0,1711467205,,False,4,8ddb0f6b,2024-03-26_16-33-25,1.5297112464904785,5.9972312450408936,457,Nicolass-Air.technicolor.net,127.0.0.1,5.9972312450408936,4
39.0,1711467206,,False,5,8ddb0f6b,2024-03-26_16-33-26,1.6118509769439697,7.609082221984863,457,Nicolass-Air.technicolor.net,127.0.0.1,7.609082221984863,5
39.0,1711467208,,False,6,8ddb0f6b,2024-03-26_16-33-28,1.5919840335845947,9.201066255569458,457,Nicolass-Air.technicolor.net,127.0.0.1,9.201066255569458,6
39.0,1711467209,,False,7,8ddb0f6b,2024-03-26_16-33-29,1.3561289310455322,10.55719518661499,457,Nicolass-Air.technicolor.net,127.0.0.1,10.55719518661499,7
39.0,1711467211,,False,8,8ddb0f6b,2024-03-26_16-33-31,1.481687068939209,12.0388822555542,457,Nicolass-Air.technicolor.net,127.0.0.1,12.0388822555542,8
39.0,1711467212,,False,9,8ddb0f6b,2024-03-26_16-33-32,1.7374799251556396,13.776362180709839,457,Nicolass-Air.technicolor.net,127.0.0.1,13.776362180709839,9
39.0,1711467214,,False,10,8ddb0f6b,2024-03-26_16-33-34,1.4573328495025635,15.233695030212402,457,Nicolass-Air.technicolor.net,127.0.0.1,15.233695030212402,10
39.0,1711467215,,False,11,8ddb0f6b,2024-03-26_16-33-35,1.558866024017334,16.792561054229736,457,Nicolass-Air.technicolor.net,127.0.0.1,16.792561054229736,11
39.0,1711467217,,False,12,8ddb0f6b,2024-03-26_16-33-37,1.682642936706543,18.47520399093628,457,Nicolass-Air.technicolor.net,127.0.0.1,18.47520399093628,12
39.0,1711467219,,False,13,8ddb0f6b,2024-03-26_16-33-39,1.599958896636963,20.075162887573242,457,Nicolass-Air.technicolor.net,127.0.0.1,20.075162887573242,13
39.0,1711467220,,False,14,8ddb0f6b,2024-03-26_16-33-40,1.6693859100341797,21.744548797607422,457,Nicolass-Air.technicolor.net,127.0.0.1,21.744548797607422,14
39.0,1711467222,,False,15,8ddb0f6b,2024-03-26_16-33-42,1.5488910675048828,23.293439865112305,457,Nicolass-Air.technicolor.net,127.0.0.1,23.293439865112305,15
39.0,1711467224,,False,16,8ddb0f6b,2024-03-26_16-33-44,1.6378166675567627,24.931256532669067,457,Nicolass-Air.technicolor.net,127.0.0.1,24.931256532669067,16
39.0,1711467225,,False,17,8ddb0f6b,2024-03-26_16-33-45,1.520899772644043,26.45215630531311,457,Nicolass-Air.technicolor.net,127.0.0.1,26.45215630531311,17
39.0,1711467227,,False,18,8ddb0f6b,2024-03-26_16-33-47,1.488407850265503,27.940564155578613,457,Nicolass-Air.technicolor.net,127.0.0.1,27.940564155578613,18
39.0,1711467228,,False,19,8ddb0f6b,2024-03-26_16-33-48,1.647191047668457,29.58775520324707,457,Nicolass-Air.technicolor.net,127.0.0.1,29.58775520324707,19
39.0,1711467230,,False,20,8ddb0f6b,2024-03-26_16-33-50,1.5187749862670898,31.10653018951416,457,Nicolass-Air.technicolor.net,127.0.0.1,31.10653018951416,20
39.0,1711467231,,False,21,8ddb0f6b,2024-03-26_16-33-51,1.5182468891143799,32.62477707862854,457,Nicolass-Air.technicolor.net,127.0.0.1,32.62477707862854,21
39.0,1711467233,,False,22,8ddb0f6b,2024-03-26_16-33-53,1.7189052104949951,34.343682289123535,457,Nicolass-Air.technicolor.net,127.0.0.1,34.343682289123535,22
39.0,1711467235,,False,23,8ddb0f6b,2024-03-26_16-33-55,1.7280199527740479,36.07170224189758,457,Nicolass-Air.technicolor.net,127.0.0.1,36.07170224189758,23
39.0,1711467236,,False,24,8ddb0f6b,2024-03-26_16-33-56,1.5305941104888916,37.602296352386475,457,Nicolass-Air.technicolor.net,127.0.0.1,37.602296352386475,24
39.0,1711467238,,False,25,8ddb0f6b,2024-03-26_16-33-58,1.5726690292358398,39.174965381622314,457,Nicolass-Air.technicolor.net,127.0.0.1,39.174965381622314,25
39.0,1711467241,,False,26,8ddb0f6b,2024-03-26_16-34-01,3.5053796768188477,42.68034505844116,457,Nicolass-Air.technicolor.net,127.0.0.1,42.68034505844116,26
39.0,1711467243,,False,27,8ddb0f6b,2024-03-26_16-34-03,1.7304420471191406,44.4107871055603,457,Nicolass-Air.technicolor.net,127.0.0.1,44.4107871055603,27
39.0,1711467245,,False,28,8ddb0f6b,2024-03-26_16-34-05,1.5896501541137695,46.00043725967407,457,Nicolass-Air.technicolor.net,127.0.0.1,46.00043725967407,28
39.0,1711467247,,False,29,8ddb0f6b,2024-03-26_16-34-07,1.8856520652770996,47.88608932495117,457,Nicolass-Air.technicolor.net,127.0.0.1,47.88608932495117,29
39.0,1711467248,,False,30,8ddb0f6b,2024-03-26_16-34-08,1.5674679279327393,49.45355725288391,457,Nicolass-Air.technicolor.net,127.0.0.1,49.45355725288391,30
39.0,1711467250,,False,31,8ddb0f6b,2024-03-26_16-34-10,1.5833699703216553,51.036927223205566,457,Nicolass-Air.technicolor.net,127.0.0.1,51.036927223205566,31
39.0,1711467251,,False,32,8ddb0f6b,2024-03-26_16-34-11,1.6617960929870605,52.69872331619263,457,Nicolass-Air.technicolor.net,127.0.0.1,52.69872331619263,32
39.0,1711467253,,False,33,8ddb0f6b,2024-03-26_16-34-13,1.7582600116729736,54.4569833278656,457,Nicolass-Air.technicolor.net,127.0.0.1,54.4569833278656,33
39.0,1711467255,,False,34,8ddb0f6b,2024-03-26_16-34-15,1.6669366359710693,56.12391996383667,457,Nicolass-Air.technicolor.net,127.0.0.1,56.12391996383667,34
39.0,1711467256,,False,35,8ddb0f6b,2024-03-26_16-34-16,1.5902068614959717,57.71412682533264,457,Nicolass-Air.technicolor.net,127.0.0.1,57.71412682533264,35
39.0,1711467258,,False,36,8ddb0f6b,2024-03-26_16-34-18,1.6588480472564697,59.37297487258911,457,Nicolass-Air.technicolor.net,127.0.0.1,59.37297487258911,36
39.0,1711467260,,False,37,8ddb0f6b,2024-03-26_16-34-20,1.5634219646453857,60.9363968372345,457,Nicolass-Air.technicolor.net,127.0.0.1,60.9363968372345,37
39.0,1711467261,,False,38,8ddb0f6b,2024-03-26_16-34-21,1.569025993347168,62.505422830581665,457,Nicolass-Air.technicolor.net,127.0.0.1,62.505422830581665,38
39.0,1711467263,,False,39,8ddb0f6b,2024-03-26_16-34-23,1.6256301403045654,64.13105297088623,457,Nicolass-Air.technicolor.net,127.0.0.1,64.13105297088623,39
39.0,1711467264,,False,40,8ddb0f6b,2024-03-26_16-34-24,1.596552848815918,65.72760581970215,457,Nicolass-Air.technicolor.net,127.0.0.1,65.72760581970215,40
