reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
20.0,1711467388,,False,1,92d91cd9,2024-03-26_16-36-28,1.4970839023590088,1.4970839023590088,269,Nicolass-Air.technicolor.net,127.0.0.1,1.4970839023590088,1
20.0,1711467389,,False,2,92d91cd9,2024-03-26_16-36-29,1.6697378158569336,3.1668217182159424,269,Nicolass-Air.technicolor.net,127.0.0.1,3.1668217182159424,2
20.0,1711467391,,False,3,92d91cd9,2024-03-26_16-36-31,1.7539472579956055,4.920768976211548,269,Nicolass-Air.technicolor.net,127.0.0.1,4.920768976211548,3
20.0,1711467393,,False,4,92d91cd9,2024-03-26_16-36-33,1.7007582187652588,6.621527194976807,269,Nicolass-Air.technicolor.net,127.0.0.1,6.621527194976807,4
20.0,1711467395,,False,5,92d91cd9,2024-03-26_16-36-35,1.735198974609375,8.356726169586182,269,Nicolass-Air.technicolor.net,127.0.0.1,8.356726169586182,5
20.0,1711467396,,False,6,92d91cd9,2024-03-26_16-36-36,1.7589402198791504,10.115666389465332,269,Nicolass-Air.technicolor.net,127.0.0.1,10.115666389465332,6
20.0,1711467398,,False,7,92d91cd9,2024-03-26_16-36-38,1.7210350036621094,11.836701393127441,269,Nicolass-Air.technicolor.net,127.0.0.1,11.836701393127441,7
20.0,1711467400,,False,8,92d91cd9,2024-03-26_16-36-40,1.6759459972381592,13.5126473903656,269,Nicolass-Air.technicolor.net,127.0.0.1,13.5126473903656,8
20.0,1711467401,,False,9,92d91cd9,2024-03-26_16-36-41,1.7021749019622803,15.21482229232788,269,Nicolass-Air.technicolor.net,127.0.0.1,15.21482229232788,9
20.0,1711467403,,False,10,92d91cd9,2024-03-26_16-36-43,1.685283899307251,16.900106191635132,269,Nicolass-Air.technicolor.net,127.0.0.1,16.900106191635132,10
20.0,1711467405,,False,11,92d91cd9,2024-03-26_16-36-45,1.8794350624084473,18.77954125404358,269,Nicolass-Air.technicolor.net,127.0.0.1,18.77954125404358,11
20.0,1711467407,,False,12,92d91cd9,2024-03-26_16-36-47,1.7526521682739258,20.532193422317505,269,Nicolass-Air.technicolor.net,127.0.0.1,20.532193422317505,12
20.0,1711467409,,False,13,92d91cd9,2024-03-26_16-36-49,1.7626760005950928,22.294869422912598,269,Nicolass-Air.technicolor.net,127.0.0.1,22.294869422912598,13
20.0,1711467410,,False,14,92d91cd9,2024-03-26_16-36-50,1.6267352104187012,23.9216046333313,269,Nicolass-Air.technicolor.net,127.0.0.1,23.9216046333313,14
20.0,1711467412,,False,15,92d91cd9,2024-03-26_16-36-52,1.6949050426483154,25.616509675979614,269,Nicolass-Air.technicolor.net,127.0.0.1,25.616509675979614,15
20.0,1711467414,,False,16,92d91cd9,2024-03-26_16-36-54,1.7278506755828857,27.3443603515625,269,Nicolass-Air.technicolor.net,127.0.0.1,27.3443603515625,16
20.0,1711467415,,False,17,92d91cd9,2024-03-26_16-36-55,1.7495698928833008,29.0939302444458,269,Nicolass-Air.technicolor.net,127.0.0.1,29.0939302444458,17
20.0,1711467417,,False,18,92d91cd9,2024-03-26_16-36-57,1.600342035293579,30.69427227973938,269,Nicolass-Air.technicolor.net,127.0.0.1,30.69427227973938,18
20.0,1711467419,,False,19,92d91cd9,2024-03-26_16-36-59,1.6725211143493652,32.366793394088745,269,Nicolass-Air.technicolor.net,127.0.0.1,32.366793394088745,19
20.0,1711467420,,False,20,92d91cd9,2024-03-26_16-37-00,1.6768200397491455,34.04361343383789,269,Nicolass-Air.technicolor.net,127.0.0.1,34.04361343383789,20
20.0,1711467422,,False,21,92d91cd9,2024-03-26_16-37-02,1.7715349197387695,35.81514835357666,269,Nicolass-Air.technicolor.net,127.0.0.1,35.81514835357666,21
20.0,1711467424,,False,22,92d91cd9,2024-03-26_16-37-04,1.7062442302703857,37.521392583847046,269,Nicolass-Air.technicolor.net,127.0.0.1,37.521392583847046,22
20.0,1711467425,,False,23,92d91cd9,2024-03-26_16-37-05,1.6178112030029297,39.139203786849976,269,Nicolass-Air.technicolor.net,127.0.0.1,39.139203786849976,23
20.0,1711467427,,False,24,92d91cd9,2024-03-26_16-37-07,1.695173740386963,40.83437752723694,269,Nicolass-Air.technicolor.net,127.0.0.1,40.83437752723694,24
20.0,1711467429,,False,25,92d91cd9,2024-03-26_16-37-09,1.7933220863342285,42.62769961357117,269,Nicolass-Air.technicolor.net,127.0.0.1,42.62769961357117,25
20.0,1711467431,,False,26,92d91cd9,2024-03-26_16-37-11,1.6998188495635986,44.327518463134766,269,Nicolass-Air.technicolor.net,127.0.0.1,44.327518463134766,26
20.0,1711467432,,False,27,92d91cd9,2024-03-26_16-37-12,1.7341439723968506,46.061662435531616,269,Nicolass-Air.technicolor.net,127.0.0.1,46.061662435531616,27
20.0,1711467434,,False,28,92d91cd9,2024-03-26_16-37-14,1.6892271041870117,47.75088953971863,269,Nicolass-Air.technicolor.net,127.0.0.1,47.75088953971863,28
20.0,1711467436,,False,29,92d91cd9,2024-03-26_16-37-16,1.9067127704620361,49.657602310180664,269,Nicolass-Air.technicolor.net,127.0.0.1,49.657602310180664,29
20.0,1711467438,,False,30,92d91cd9,2024-03-26_16-37-18,1.7474172115325928,51.40501952171326,269,Nicolass-Air.technicolor.net,127.0.0.1,51.40501952171326,30
20.0,1711467439,,False,31,92d91cd9,2024-03-26_16-37-19,1.7315211296081543,53.13654065132141,269,Nicolass-Air.technicolor.net,127.0.0.1,53.13654065132141,31
20.0,1711467441,,False,32,92d91cd9,2024-03-26_16-37-21,1.778050184249878,54.91459083557129,269,Nicolass-Air.technicolor.net,127.0.0.1,54.91459083557129,32
