reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
36.0,1711468912,,False,1,972fbf73,2024-03-26_17-01-52,1.5947980880737305,1.5947980880737305,524,Nicolass-Air.technicolor.net,127.0.0.1,1.5947980880737305,1
53.0,1711468914,,False,2,972fbf73,2024-03-26_17-01-54,2.1610331535339355,3.755831241607666,524,Nicolass-Air.technicolor.net,127.0.0.1,3.755831241607666,2
55.0,1711468916,,False,3,972fbf73,2024-03-26_17-01-56,2.0710928440093994,5.826924085617065,524,Nicolass-Air.technicolor.net,127.0.0.1,5.826924085617065,3
56.0,1711468918,,False,4,972fbf73,2024-03-26_17-01-58,2.1545169353485107,7.981441020965576,524,Nicolass-Air.technicolor.net,127.0.0.1,7.981441020965576,4
55.0,1711468921,,False,5,972fbf73,2024-03-26_17-02-01,2.2836830615997314,10.265124082565308,524,Nicolass-Air.technicolor.net,127.0.0.1,10.265124082565308,5
55.0,1711468923,,False,6,972fbf73,2024-03-26_17-02-03,2.017559766769409,12.282683849334717,524,Nicolass-Air.technicolor.net,127.0.0.1,12.282683849334717,6
55.0,1711468925,,False,7,972fbf73,2024-03-26_17-02-05,2.287026882171631,14.569710731506348,524,Nicolass-Air.technicolor.net,127.0.0.1,14.569710731506348,7
55.0,1711468927,,False,8,972fbf73,2024-03-26_17-02-07,2.154629945755005,16.724340677261353,524,Nicolass-Air.technicolor.net,127.0.0.1,16.724340677261353,8
54.0,1711468929,,False,9,972fbf73,2024-03-26_17-02-09,1.94669508934021,18.671035766601562,524,Nicolass-Air.technicolor.net,127.0.0.1,18.671035766601562,9
54.0,1711468931,,False,10,972fbf73,2024-03-26_17-02-11,1.967717170715332,20.638752937316895,524,Nicolass-Air.technicolor.net,127.0.0.1,20.638752937316895,10
52.0,1711468933,,False,11,972fbf73,2024-03-26_17-02-13,2.077059030532837,22.71581196784973,524,Nicolass-Air.technicolor.net,127.0.0.1,22.71581196784973,11
52.0,1711468935,,False,12,972fbf73,2024-03-26_17-02-15,2.0298900604248047,24.745702028274536,524,Nicolass-Air.technicolor.net,127.0.0.1,24.745702028274536,12
52.0,1711468937,,False,13,972fbf73,2024-03-26_17-02-17,2.047558307647705,26.79326033592224,524,Nicolass-Air.technicolor.net,127.0.0.1,26.79326033592224,13
52.0,1711468939,,False,14,972fbf73,2024-03-26_17-02-19,2.1799941062927246,28.973254442214966,524,Nicolass-Air.technicolor.net,127.0.0.1,28.973254442214966,14
52.0,1711468941,,False,15,972fbf73,2024-03-26_17-02-21,1.9182767868041992,30.891531229019165,524,Nicolass-Air.technicolor.net,127.0.0.1,30.891531229019165,15
52.0,1711468943,,False,16,972fbf73,2024-03-26_17-02-23,1.9617371559143066,32.85326838493347,524,Nicolass-Air.technicolor.net,127.0.0.1,32.85326838493347,16
52.0,1711468945,,False,17,972fbf73,2024-03-26_17-02-25,2.011281967163086,34.86455035209656,524,Nicolass-Air.technicolor.net,127.0.0.1,34.86455035209656,17
52.0,1711468947,,False,18,972fbf73,2024-03-26_17-02-27,1.896777868270874,36.76132822036743,524,Nicolass-Air.technicolor.net,127.0.0.1,36.76132822036743,18
52.0,1711468949,,False,19,972fbf73,2024-03-26_17-02-29,1.9421896934509277,38.70351791381836,524,Nicolass-Air.technicolor.net,127.0.0.1,38.70351791381836,19
52.0,1711468951,,False,20,972fbf73,2024-03-26_17-02-31,1.9765598773956299,40.68007779121399,524,Nicolass-Air.technicolor.net,127.0.0.1,40.68007779121399,20
52.0,1711468953,,False,21,972fbf73,2024-03-26_17-02-33,1.9319610595703125,42.6120388507843,524,Nicolass-Air.technicolor.net,127.0.0.1,42.6120388507843,21
52.0,1711468955,,False,22,972fbf73,2024-03-26_17-02-35,2.0444862842559814,44.65652513504028,524,Nicolass-Air.technicolor.net,127.0.0.1,44.65652513504028,22
