reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
15.5,1711466099,,False,1,9ea4dc57,2024-03-26_16-14-59,3.457198143005371,3.457198143005371,457,Nicolass-Air.technicolor.net,127.0.0.1,3.457198143005371,1
21.375,1711466105,,False,2,9ea4dc57,2024-03-26_16-15-05,5.377472877502441,8.834671020507812,457,Nicolass-Air.technicolor.net,127.0.0.1,8.834671020507812,2
20.125,1711466109,,False,3,9ea4dc57,2024-03-26_16-15-09,4.444455146789551,13.279126167297363,457,Nicolass-Air.technicolor.net,127.0.0.1,13.279126167297363,3
20.375,1711466114,,False,4,9ea4dc57,2024-03-26_16-15-14,4.783128976821899,18.062255144119263,457,Nicolass-Air.technicolor.net,127.0.0.1,18.062255144119263,4
18.875,1711466118,,False,5,9ea4dc57,2024-03-26_16-15-18,4.361275911331177,22.42353105545044,457,Nicolass-Air.technicolor.net,127.0.0.1,22.42353105545044,5
18.75,1711466123,,False,6,9ea4dc57,2024-03-26_16-15-23,4.965064287185669,27.38859534263611,457,Nicolass-Air.technicolor.net,127.0.0.1,27.38859534263611,6
17.625,1711466128,,False,7,9ea4dc57,2024-03-26_16-15-28,4.841568946838379,32.23016428947449,457,Nicolass-Air.technicolor.net,127.0.0.1,32.23016428947449,7
18.375,1711466134,,False,8,9ea4dc57,2024-03-26_16-15-34,5.397342920303345,37.62750720977783,457,Nicolass-Air.technicolor.net,127.0.0.1,37.62750720977783,8
17.625,1711466138,,False,9,9ea4dc57,2024-03-26_16-15-38,4.801480054855347,42.42898726463318,457,Nicolass-Air.technicolor.net,127.0.0.1,42.42898726463318,9
17.0,1711466143,,False,10,9ea4dc57,2024-03-26_16-15-43,4.6570587158203125,47.08604598045349,457,Nicolass-Air.technicolor.net,127.0.0.1,47.08604598045349,10
16.0,1711466147,,False,11,9ea4dc57,2024-03-26_16-15-47,4.033987998962402,51.120033979415894,457,Nicolass-Air.technicolor.net,127.0.0.1,51.120033979415894,11
15.625,1711466151,,False,12,9ea4dc57,2024-03-26_16-15-51,4.065046072006226,55.18508005142212,457,Nicolass-Air.technicolor.net,127.0.0.1,55.18508005142212,12
15.5,1711466155,,False,13,9ea4dc57,2024-03-26_16-15-55,3.9303250312805176,59.11540508270264,457,Nicolass-Air.technicolor.net,127.0.0.1,59.11540508270264,13
16.125,1711466159,,False,14,9ea4dc57,2024-03-26_16-15-59,3.9055850505828857,63.02099013328552,457,Nicolass-Air.technicolor.net,127.0.0.1,63.02099013328552,14
