reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
13.0,1711467444,,False,1,a6667678,2024-03-26_16-37-24,1.8223950862884521,1.8223950862884521,498,Nicolass-Air.technicolor.net,127.0.0.1,1.8223950862884521,1
13.0,1711467446,,False,2,a6667678,2024-03-26_16-37-26,1.8419809341430664,3.6643760204315186,498,Nicolass-Air.technicolor.net,127.0.0.1,3.6643760204315186,2
13.0,1711467448,,False,3,a6667678,2024-03-26_16-37-28,1.8439807891845703,5.508356809616089,498,Nicolass-Air.technicolor.net,127.0.0.1,5.508356809616089,3
13.0,1711467450,,False,4,a6667678,2024-03-26_16-37-30,1.7907400131225586,7.2990968227386475,498,Nicolass-Air.technicolor.net,127.0.0.1,7.2990968227386475,4
13.0,1711467451,,False,5,a6667678,2024-03-26_16-37-31,1.7562098503112793,9.055306673049927,498,Nicolass-Air.technicolor.net,127.0.0.1,9.055306673049927,5
13.0,1711467453,,False,6,a6667678,2024-03-26_16-37-33,1.8620738983154297,10.917380571365356,498,Nicolass-Air.technicolor.net,127.0.0.1,10.917380571365356,6
13.0,1711467455,,False,7,a6667678,2024-03-26_16-37-35,1.819674015045166,12.737054586410522,498,Nicolass-Air.technicolor.net,127.0.0.1,12.737054586410522,7
13.0,1711467457,,False,8,a6667678,2024-03-26_16-37-37,1.8884458541870117,14.625500440597534,498,Nicolass-Air.technicolor.net,127.0.0.1,14.625500440597534,8
13.0,1711467459,,False,9,a6667678,2024-03-26_16-37-39,1.9121999740600586,16.537700414657593,498,Nicolass-Air.technicolor.net,127.0.0.1,16.537700414657593,9
13.0,1711467461,,False,10,a6667678,2024-03-26_16-37-41,1.8094310760498047,18.347131490707397,498,Nicolass-Air.technicolor.net,127.0.0.1,18.347131490707397,10
13.0,1711467463,,False,11,a6667678,2024-03-26_16-37-43,1.857172966003418,20.204304456710815,498,Nicolass-Air.technicolor.net,127.0.0.1,20.204304456710815,11
13.0,1711467464,,False,12,a6667678,2024-03-26_16-37-44,1.8210501670837402,22.025354623794556,498,Nicolass-Air.technicolor.net,127.0.0.1,22.025354623794556,12
13.0,1711467466,,False,13,a6667678,2024-03-26_16-37-46,1.8460519313812256,23.87140655517578,498,Nicolass-Air.technicolor.net,127.0.0.1,23.87140655517578,13
13.0,1711467468,,False,14,a6667678,2024-03-26_16-37-48,2.0536789894104004,25.92508554458618,498,Nicolass-Air.technicolor.net,127.0.0.1,25.92508554458618,14
13.0,1711467470,,False,15,a6667678,2024-03-26_16-37-50,1.8043498992919922,27.729435443878174,498,Nicolass-Air.technicolor.net,127.0.0.1,27.729435443878174,15
13.0,1711467472,,False,16,a6667678,2024-03-26_16-37-52,1.9505329132080078,29.67996835708618,498,Nicolass-Air.technicolor.net,127.0.0.1,29.67996835708618,16
13.0,1711467474,,False,17,a6667678,2024-03-26_16-37-54,1.9559919834136963,31.635960340499878,498,Nicolass-Air.technicolor.net,127.0.0.1,31.635960340499878,17
13.0,1711467476,,False,18,a6667678,2024-03-26_16-37-56,1.906214952468872,33.54217529296875,498,Nicolass-Air.technicolor.net,127.0.0.1,33.54217529296875,18
13.0,1711467478,,False,19,a6667678,2024-03-26_16-37-58,1.988337755203247,35.530513048172,498,Nicolass-Air.technicolor.net,127.0.0.1,35.530513048172,19
13.0,1711467480,,False,20,a6667678,2024-03-26_16-38-00,2.0943470001220703,37.62486004829407,498,Nicolass-Air.technicolor.net,127.0.0.1,37.62486004829407,20
13.0,1711467482,,False,21,a6667678,2024-03-26_16-38-02,1.9245367050170898,39.54939675331116,498,Nicolass-Air.technicolor.net,127.0.0.1,39.54939675331116,21
13.0,1711467484,,False,22,a6667678,2024-03-26_16-38-04,2.015354871749878,41.564751625061035,498,Nicolass-Air.technicolor.net,127.0.0.1,41.564751625061035,22
13.0,1711467486,,False,23,a6667678,2024-03-26_16-38-06,1.9019801616668701,43.466731786727905,498,Nicolass-Air.technicolor.net,127.0.0.1,43.466731786727905,23
13.0,1711467488,,False,24,a6667678,2024-03-26_16-38-08,1.932068109512329,45.398799896240234,498,Nicolass-Air.technicolor.net,127.0.0.1,45.398799896240234,24
13.0,1711467490,,False,25,a6667678,2024-03-26_16-38-10,1.925631046295166,47.3244309425354,498,Nicolass-Air.technicolor.net,127.0.0.1,47.3244309425354,25
13.0,1711467492,,False,26,a6667678,2024-03-26_16-38-12,1.8559608459472656,49.180391788482666,498,Nicolass-Air.technicolor.net,127.0.0.1,49.180391788482666,26
13.0,1711467493,,False,27,a6667678,2024-03-26_16-38-13,1.8752009868621826,51.05559277534485,498,Nicolass-Air.technicolor.net,127.0.0.1,51.05559277534485,27
13.0,1711467495,,False,28,a6667678,2024-03-26_16-38-15,1.890437126159668,52.94602990150452,498,Nicolass-Air.technicolor.net,127.0.0.1,52.94602990150452,28
13.0,1711467497,,False,29,a6667678,2024-03-26_16-38-17,2.1027278900146484,55.048757791519165,498,Nicolass-Air.technicolor.net,127.0.0.1,55.048757791519165,29
