reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
17.0,1711467459,,False,1,aa4a92c2,2024-03-26_16-37-39,1.953523874282837,1.953523874282837,284,Nicolass-Air.technicolor.net,127.0.0.1,1.953523874282837,1
17.0,1711467461,,False,2,aa4a92c2,2024-03-26_16-37-41,2.1307177543640137,4.084241628646851,284,Nicolass-Air.technicolor.net,127.0.0.1,4.084241628646851,2
17.0,1711467463,,False,3,aa4a92c2,2024-03-26_16-37-43,2.1240339279174805,6.208275556564331,284,Nicolass-Air.technicolor.net,127.0.0.1,6.208275556564331,3
17.0,1711467465,,False,4,aa4a92c2,2024-03-26_16-37-45,2.0317068099975586,8.23998236656189,284,Nicolass-Air.technicolor.net,127.0.0.1,8.23998236656189,4
17.0,1711467467,,False,5,aa4a92c2,2024-03-26_16-37-47,2.353769063949585,10.593751430511475,284,Nicolass-Air.technicolor.net,127.0.0.1,10.593751430511475,5
17.0,1711467469,,False,6,aa4a92c2,2024-03-26_16-37-49,2.200671911239624,12.794423341751099,284,Nicolass-Air.technicolor.net,127.0.0.1,12.794423341751099,6
17.0,1711467472,,False,7,aa4a92c2,2024-03-26_16-37-52,2.221698045730591,15.01612138748169,284,Nicolass-Air.technicolor.net,127.0.0.1,15.01612138748169,7
17.0,1711467474,,False,8,aa4a92c2,2024-03-26_16-37-54,2.1268811225891113,17.1430025100708,284,Nicolass-Air.technicolor.net,127.0.0.1,17.1430025100708,8
17.0,1711467476,,False,9,aa4a92c2,2024-03-26_16-37-56,2.1440467834472656,19.287049293518066,284,Nicolass-Air.technicolor.net,127.0.0.1,19.287049293518066,9
17.0,1711467478,,False,10,aa4a92c2,2024-03-26_16-37-58,2.178668975830078,21.465718269348145,284,Nicolass-Air.technicolor.net,127.0.0.1,21.465718269348145,10
17.0,1711467480,,False,11,aa4a92c2,2024-03-26_16-38-00,2.16249680519104,23.628215074539185,284,Nicolass-Air.technicolor.net,127.0.0.1,23.628215074539185,11
17.0,1711467482,,False,12,aa4a92c2,2024-03-26_16-38-02,2.13295578956604,25.761170864105225,284,Nicolass-Air.technicolor.net,127.0.0.1,25.761170864105225,12
17.0,1711467485,,False,13,aa4a92c2,2024-03-26_16-38-05,2.3439931869506836,28.105164051055908,284,Nicolass-Air.technicolor.net,127.0.0.1,28.105164051055908,13
17.0,1711467487,,False,14,aa4a92c2,2024-03-26_16-38-07,2.158889055252075,30.264053106307983,284,Nicolass-Air.technicolor.net,127.0.0.1,30.264053106307983,14
17.0,1711467489,,False,15,aa4a92c2,2024-03-26_16-38-09,2.205291748046875,32.46934485435486,284,Nicolass-Air.technicolor.net,127.0.0.1,32.46934485435486,15
17.0,1711467491,,False,16,aa4a92c2,2024-03-26_16-38-11,2.2614190578460693,34.73076391220093,284,Nicolass-Air.technicolor.net,127.0.0.1,34.73076391220093,16
17.0,1711467494,,False,17,aa4a92c2,2024-03-26_16-38-14,2.1869916915893555,36.91775560379028,284,Nicolass-Air.technicolor.net,127.0.0.1,36.91775560379028,17
17.0,1711467496,,False,18,aa4a92c2,2024-03-26_16-38-16,2.3464303016662598,39.26418590545654,284,Nicolass-Air.technicolor.net,127.0.0.1,39.26418590545654,18
17.0,1711467498,,False,19,aa4a92c2,2024-03-26_16-38-18,2.35536789894104,41.61955380439758,284,Nicolass-Air.technicolor.net,127.0.0.1,41.61955380439758,19
17.0,1711467500,,False,20,aa4a92c2,2024-03-26_16-38-20,2.0728487968444824,43.692402601242065,284,Nicolass-Air.technicolor.net,127.0.0.1,43.692402601242065,20
17.0,1711467503,,False,21,aa4a92c2,2024-03-26_16-38-23,2.1290149688720703,45.821417570114136,284,Nicolass-Air.technicolor.net,127.0.0.1,45.821417570114136,21
17.0,1711467505,,False,22,aa4a92c2,2024-03-26_16-38-25,2.09541916847229,47.916836738586426,284,Nicolass-Air.technicolor.net,127.0.0.1,47.916836738586426,22
17.0,1711467507,,False,23,aa4a92c2,2024-03-26_16-38-27,2.3678159713745117,50.28465270996094,284,Nicolass-Air.technicolor.net,127.0.0.1,50.28465270996094,23
17.0,1711467509,,False,24,aa4a92c2,2024-03-26_16-38-29,2.163302183151245,52.44795489311218,284,Nicolass-Air.technicolor.net,127.0.0.1,52.44795489311218,24
17.0,1711467511,,False,25,aa4a92c2,2024-03-26_16-38-31,2.1748239994049072,54.62277889251709,284,Nicolass-Air.technicolor.net,127.0.0.1,54.62277889251709,25
17.0,1711467514,,False,26,aa4a92c2,2024-03-26_16-38-34,2.117279052734375,56.740057945251465,284,Nicolass-Air.technicolor.net,127.0.0.1,56.740057945251465,26
17.0,1711467516,,False,27,aa4a92c2,2024-03-26_16-38-36,2.054835081100464,58.79489302635193,284,Nicolass-Air.technicolor.net,127.0.0.1,58.79489302635193,27
17.0,1711467518,,False,28,aa4a92c2,2024-03-26_16-38-38,2.181641101837158,60.97653412818909,284,Nicolass-Air.technicolor.net,127.0.0.1,60.97653412818909,28
17.0,1711467520,,False,29,aa4a92c2,2024-03-26_16-38-40,1.9855232238769531,62.96205735206604,284,Nicolass-Air.technicolor.net,127.0.0.1,62.96205735206604,29
17.0,1711467523,,False,30,aa4a92c2,2024-03-26_16-38-43,2.06221604347229,65.02427339553833,284,Nicolass-Air.technicolor.net,127.0.0.1,65.02427339553833,30
17.0,1711467525,,False,31,aa4a92c2,2024-03-26_16-38-45,2.1046431064605713,67.1289165019989,284,Nicolass-Air.technicolor.net,127.0.0.1,67.1289165019989,31
17.0,1711467527,,False,32,aa4a92c2,2024-03-26_16-38-47,2.2516438961029053,69.3805603981018,284,Nicolass-Air.technicolor.net,127.0.0.1,69.3805603981018,32
17.0,1711467529,,False,33,aa4a92c2,2024-03-26_16-38-49,2.031316041946411,71.41187644004822,284,Nicolass-Air.technicolor.net,127.0.0.1,71.41187644004822,33
17.0,1711467531,,False,34,aa4a92c2,2024-03-26_16-38-51,2.0567190647125244,73.46859550476074,284,Nicolass-Air.technicolor.net,127.0.0.1,73.46859550476074,34
17.0,1711467534,,False,35,aa4a92c2,2024-03-26_16-38-54,2.3550572395324707,75.82365274429321,284,Nicolass-Air.technicolor.net,127.0.0.1,75.82365274429321,35
17.0,1711467536,,False,36,aa4a92c2,2024-03-26_16-38-56,2.082275152206421,77.90592789649963,284,Nicolass-Air.technicolor.net,127.0.0.1,77.90592789649963,36
17.0,1711467538,,False,37,aa4a92c2,2024-03-26_16-38-58,2.2031517028808594,80.1090795993805,284,Nicolass-Air.technicolor.net,127.0.0.1,80.1090795993805,37
17.0,1711467540,,False,38,aa4a92c2,2024-03-26_16-39-00,2.138827085494995,82.24790668487549,284,Nicolass-Air.technicolor.net,127.0.0.1,82.24790668487549,38
17.0,1711467542,,False,39,aa4a92c2,2024-03-26_16-39-02,2.066439151763916,84.3143458366394,284,Nicolass-Air.technicolor.net,127.0.0.1,84.3143458366394,39
17.0,1711467544,,False,40,aa4a92c2,2024-03-26_16-39-04,2.134382724761963,86.44872856140137,284,Nicolass-Air.technicolor.net,127.0.0.1,86.44872856140137,40
