reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
39.0,1711469385,,False,1,accd03be,2024-03-26_17-09-45,0.346754789352417,0.346754789352417,436,Nicolass-Air.technicolor.net,127.0.0.1,0.346754789352417,1
39.0,1711469385,,False,2,accd03be,2024-03-26_17-09-45,0.3624129295349121,0.7091677188873291,436,Nicolass-Air.technicolor.net,127.0.0.1,0.7091677188873291,2
46.0,1711469386,,False,3,accd03be,2024-03-26_17-09-46,0.44510507583618164,1.1542727947235107,436,Nicolass-Air.technicolor.net,127.0.0.1,1.1542727947235107,3
47.0,1711469386,,False,4,accd03be,2024-03-26_17-09-46,0.4681248664855957,1.6223976612091064,436,Nicolass-Air.technicolor.net,127.0.0.1,1.6223976612091064,4
53.0,1711469387,,False,5,accd03be,2024-03-26_17-09-47,0.5983889102935791,2.2207865715026855,436,Nicolass-Air.technicolor.net,127.0.0.1,2.2207865715026855,5
53.0,1711469388,,False,6,accd03be,2024-03-26_17-09-48,0.5376629829406738,2.7584495544433594,436,Nicolass-Air.technicolor.net,127.0.0.1,2.7584495544433594,6
53.0,1711469388,,False,7,accd03be,2024-03-26_17-09-48,0.5122780799865723,3.2707276344299316,436,Nicolass-Air.technicolor.net,127.0.0.1,3.2707276344299316,7
55.0,1711469389,,False,8,accd03be,2024-03-26_17-09-49,0.5437939167022705,3.814521551132202,436,Nicolass-Air.technicolor.net,127.0.0.1,3.814521551132202,8
52.0,1711469389,,False,9,accd03be,2024-03-26_17-09-49,0.5362570285797119,4.350778579711914,436,Nicolass-Air.technicolor.net,127.0.0.1,4.350778579711914,9
52.0,1711469390,,False,10,accd03be,2024-03-26_17-09-50,0.5362300872802734,4.8870086669921875,436,Nicolass-Air.technicolor.net,127.0.0.1,4.8870086669921875,10
52.0,1711469390,,False,11,accd03be,2024-03-26_17-09-50,0.5603132247924805,5.447321891784668,436,Nicolass-Air.technicolor.net,127.0.0.1,5.447321891784668,11
52.0,1711469391,,False,12,accd03be,2024-03-26_17-09-51,0.5218920707702637,5.969213962554932,436,Nicolass-Air.technicolor.net,127.0.0.1,5.969213962554932,12
52.0,1711469391,,False,13,accd03be,2024-03-26_17-09-51,0.5059411525726318,6.4751551151275635,436,Nicolass-Air.technicolor.net,127.0.0.1,6.4751551151275635,13
50.0,1711469392,,False,14,accd03be,2024-03-26_17-09-52,0.49180102348327637,6.96695613861084,436,Nicolass-Air.technicolor.net,127.0.0.1,6.96695613861084,14
50.0,1711469392,,False,15,accd03be,2024-03-26_17-09-52,0.495574951171875,7.462531089782715,436,Nicolass-Air.technicolor.net,127.0.0.1,7.462531089782715,15
55.0,1711469393,,False,16,accd03be,2024-03-26_17-09-53,0.610288143157959,8.072819232940674,436,Nicolass-Air.technicolor.net,127.0.0.1,8.072819232940674,16
55.0,1711469393,,False,17,accd03be,2024-03-26_17-09-53,0.5087471008300781,8.581566333770752,436,Nicolass-Air.technicolor.net,127.0.0.1,8.581566333770752,17
55.0,1711469394,,False,18,accd03be,2024-03-26_17-09-54,0.5135772228240967,9.095143556594849,436,Nicolass-Air.technicolor.net,127.0.0.1,9.095143556594849,18
55.0,1711469394,,False,19,accd03be,2024-03-26_17-09-54,0.48438286781311035,9.579526424407959,436,Nicolass-Air.technicolor.net,127.0.0.1,9.579526424407959,19
55.0,1711469395,,False,20,accd03be,2024-03-26_17-09-55,0.4717440605163574,10.051270484924316,436,Nicolass-Air.technicolor.net,127.0.0.1,10.051270484924316,20
55.0,1711469395,,False,21,accd03be,2024-03-26_17-09-55,0.5096979141235352,10.560968399047852,436,Nicolass-Air.technicolor.net,127.0.0.1,10.560968399047852,21
55.0,1711469396,,False,22,accd03be,2024-03-26_17-09-56,0.6322460174560547,11.193214416503906,436,Nicolass-Air.technicolor.net,127.0.0.1,11.193214416503906,22
55.0,1711469397,,False,23,accd03be,2024-03-26_17-09-57,0.5161869525909424,11.709401369094849,436,Nicolass-Air.technicolor.net,127.0.0.1,11.709401369094849,23
55.0,1711469397,,False,24,accd03be,2024-03-26_17-09-57,0.5040130615234375,12.213414430618286,436,Nicolass-Air.technicolor.net,127.0.0.1,12.213414430618286,24
55.0,1711469398,,False,25,accd03be,2024-03-26_17-09-58,0.5277731418609619,12.741187572479248,436,Nicolass-Air.technicolor.net,127.0.0.1,12.741187572479248,25
55.0,1711469398,,False,26,accd03be,2024-03-26_17-09-58,0.6335620880126953,13.374749660491943,436,Nicolass-Air.technicolor.net,127.0.0.1,13.374749660491943,26
55.0,1711469399,,False,27,accd03be,2024-03-26_17-09-59,0.5266168117523193,13.901366472244263,436,Nicolass-Air.technicolor.net,127.0.0.1,13.901366472244263,27
55.0,1711469399,,False,28,accd03be,2024-03-26_17-09-59,0.5307621955871582,14.432128667831421,436,Nicolass-Air.technicolor.net,127.0.0.1,14.432128667831421,28
55.0,1711469400,,False,29,accd03be,2024-03-26_17-10-00,0.4983689785003662,14.930497646331787,436,Nicolass-Air.technicolor.net,127.0.0.1,14.930497646331787,29
55.0,1711469400,,False,30,accd03be,2024-03-26_17-10-00,0.5113492012023926,15.44184684753418,436,Nicolass-Air.technicolor.net,127.0.0.1,15.44184684753418,30
55.0,1711469401,,False,31,accd03be,2024-03-26_17-10-01,0.5536890029907227,15.995535850524902,436,Nicolass-Air.technicolor.net,127.0.0.1,15.995535850524902,31
55.0,1711469401,,False,32,accd03be,2024-03-26_17-10-01,0.5298678874969482,16.52540373802185,436,Nicolass-Air.technicolor.net,127.0.0.1,16.52540373802185,32
55.0,1711469402,,False,33,accd03be,2024-03-26_17-10-02,0.5117807388305664,17.037184476852417,436,Nicolass-Air.technicolor.net,127.0.0.1,17.037184476852417,33
55.0,1711469403,,False,34,accd03be,2024-03-26_17-10-03,0.5641360282897949,17.601320505142212,436,Nicolass-Air.technicolor.net,127.0.0.1,17.601320505142212,34
55.0,1711469403,,False,35,accd03be,2024-03-26_17-10-03,0.5342280864715576,18.13554859161377,436,Nicolass-Air.technicolor.net,127.0.0.1,18.13554859161377,35
55.0,1711469404,,False,36,accd03be,2024-03-26_17-10-04,0.6196410655975342,18.755189657211304,436,Nicolass-Air.technicolor.net,127.0.0.1,18.755189657211304,36
