reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
39.0,1711469038,,False,1,afb2a0d1,2024-03-26_17-03-58,0.6555180549621582,0.6555180549621582,324,Nicolass-Air.technicolor.net,127.0.0.1,0.6555180549621582,1
40.0,1711469041,,False,2,afb2a0d1,2024-03-26_17-04-01,3.4111578464508057,4.066675901412964,324,Nicolass-Air.technicolor.net,127.0.0.1,4.066675901412964,2
46.0,1711469042,,False,3,afb2a0d1,2024-03-26_17-04-02,1.1484150886535645,5.215090990066528,324,Nicolass-Air.technicolor.net,127.0.0.1,5.215090990066528,3
42.0,1711469044,,False,4,afb2a0d1,2024-03-26_17-04-04,1.2380967140197754,6.453187704086304,324,Nicolass-Air.technicolor.net,127.0.0.1,6.453187704086304,4
42.0,1711469045,,False,5,afb2a0d1,2024-03-26_17-04-05,1.0649998188018799,7.518187522888184,324,Nicolass-Air.technicolor.net,127.0.0.1,7.518187522888184,5
42.0,1711469046,,False,6,afb2a0d1,2024-03-26_17-04-06,1.099989891052246,8.61817741394043,324,Nicolass-Air.technicolor.net,127.0.0.1,8.61817741394043,6
42.0,1711469047,,False,7,afb2a0d1,2024-03-26_17-04-07,1.2079410552978516,9.826118469238281,324,Nicolass-Air.technicolor.net,127.0.0.1,9.826118469238281,7
42.0,1711469048,,False,8,afb2a0d1,2024-03-26_17-04-08,1.0791778564453125,10.905296325683594,324,Nicolass-Air.technicolor.net,127.0.0.1,10.905296325683594,8
42.0,1711469049,,False,9,afb2a0d1,2024-03-26_17-04-09,1.0132701396942139,11.918566465377808,324,Nicolass-Air.technicolor.net,127.0.0.1,11.918566465377808,9
42.0,1711469050,,False,10,afb2a0d1,2024-03-26_17-04-10,1.1887660026550293,13.107332468032837,324,Nicolass-Air.technicolor.net,127.0.0.1,13.107332468032837,10
44.0,1711469052,,False,11,afb2a0d1,2024-03-26_17-04-12,1.2240970134735107,14.331429481506348,324,Nicolass-Air.technicolor.net,127.0.0.1,14.331429481506348,11
44.0,1711469053,,False,12,afb2a0d1,2024-03-26_17-04-13,1.5225229263305664,15.853952407836914,324,Nicolass-Air.technicolor.net,127.0.0.1,15.853952407836914,12
44.0,1711469054,,False,13,afb2a0d1,2024-03-26_17-04-14,1.1712288856506348,17.02518129348755,324,Nicolass-Air.technicolor.net,127.0.0.1,17.02518129348755,13
44.0,1711469055,,False,14,afb2a0d1,2024-03-26_17-04-15,1.0873749256134033,18.112556219100952,324,Nicolass-Air.technicolor.net,127.0.0.1,18.112556219100952,14
44.0,1711469057,,False,15,afb2a0d1,2024-03-26_17-04-17,1.1529319286346436,19.265488147735596,324,Nicolass-Air.technicolor.net,127.0.0.1,19.265488147735596,15
44.0,1711469057,,False,16,afb2a0d1,2024-03-26_17-04-17,0.9422049522399902,20.207693099975586,324,Nicolass-Air.technicolor.net,127.0.0.1,20.207693099975586,16
44.0,1711469058,,False,17,afb2a0d1,2024-03-26_17-04-18,0.9396030902862549,21.14729619026184,324,Nicolass-Air.technicolor.net,127.0.0.1,21.14729619026184,17
44.0,1711469059,,False,18,afb2a0d1,2024-03-26_17-04-19,0.924278736114502,22.071574926376343,324,Nicolass-Air.technicolor.net,127.0.0.1,22.071574926376343,18
44.0,1711469060,,False,19,afb2a0d1,2024-03-26_17-04-20,0.9172518253326416,22.988826751708984,324,Nicolass-Air.technicolor.net,127.0.0.1,22.988826751708984,19
44.0,1711469061,,False,20,afb2a0d1,2024-03-26_17-04-21,0.9967000484466553,23.98552680015564,324,Nicolass-Air.technicolor.net,127.0.0.1,23.98552680015564,20
44.0,1711469062,,False,21,afb2a0d1,2024-03-26_17-04-22,0.919813871383667,24.905340671539307,324,Nicolass-Air.technicolor.net,127.0.0.1,24.905340671539307,21
44.0,1711469063,,False,22,afb2a0d1,2024-03-26_17-04-23,0.8590002059936523,25.76434087753296,324,Nicolass-Air.technicolor.net,127.0.0.1,25.76434087753296,22
44.0,1711469064,,False,23,afb2a0d1,2024-03-26_17-04-24,0.895427942276001,26.65976881980896,324,Nicolass-Air.technicolor.net,127.0.0.1,26.65976881980896,23
