reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
17.5,1711469243,,False,1,b1fd7ba7,2024-03-26_17-07-23,2.230252981185913,2.230252981185913,269,Nicolass-Air.technicolor.net,127.0.0.1,2.230252981185913,1
18.5,1711469246,,False,2,b1fd7ba7,2024-03-26_17-07-26,2.7220208644866943,4.952273845672607,269,Nicolass-Air.technicolor.net,127.0.0.1,4.952273845672607,2
18.5,1711469248,,False,3,b1fd7ba7,2024-03-26_17-07-28,2.650035858154297,7.602309703826904,269,Nicolass-Air.technicolor.net,127.0.0.1,7.602309703826904,3
18.5,1711469251,,False,4,b1fd7ba7,2024-03-26_17-07-31,2.82354998588562,10.425859689712524,269,Nicolass-Air.technicolor.net,127.0.0.1,10.425859689712524,4
17.0,1711469254,,False,5,b1fd7ba7,2024-03-26_17-07-34,2.503650188446045,12.92950987815857,269,Nicolass-Air.technicolor.net,127.0.0.1,12.92950987815857,5
13.0,1711469256,,False,6,b1fd7ba7,2024-03-26_17-07-36,2.2867472171783447,15.216257095336914,269,Nicolass-Air.technicolor.net,127.0.0.1,15.216257095336914,6
12.5,1711469258,,False,7,b1fd7ba7,2024-03-26_17-07-38,2.0952751636505127,17.311532258987427,269,Nicolass-Air.technicolor.net,127.0.0.1,17.311532258987427,7
12.5,1711469260,,False,8,b1fd7ba7,2024-03-26_17-07-40,2.088193893432617,19.399726152420044,269,Nicolass-Air.technicolor.net,127.0.0.1,19.399726152420044,8
10.0,1711469262,,False,9,b1fd7ba7,2024-03-26_17-07-42,1.9205849170684814,21.320311069488525,269,Nicolass-Air.technicolor.net,127.0.0.1,21.320311069488525,9
10.0,1711469264,,False,10,b1fd7ba7,2024-03-26_17-07-44,1.9102740287780762,23.2305850982666,269,Nicolass-Air.technicolor.net,127.0.0.1,23.2305850982666,10
10.0,1711469266,,False,11,b1fd7ba7,2024-03-26_17-07-46,1.8415889739990234,25.072174072265625,269,Nicolass-Air.technicolor.net,127.0.0.1,25.072174072265625,11
10.0,1711469268,,False,12,b1fd7ba7,2024-03-26_17-07-48,2.109379768371582,27.181553840637207,269,Nicolass-Air.technicolor.net,127.0.0.1,27.181553840637207,12
10.0,1711469270,,False,13,b1fd7ba7,2024-03-26_17-07-50,1.9746942520141602,29.156248092651367,269,Nicolass-Air.technicolor.net,127.0.0.1,29.156248092651367,13
10.0,1711469272,,False,14,b1fd7ba7,2024-03-26_17-07-52,1.850862979888916,31.007111072540283,269,Nicolass-Air.technicolor.net,127.0.0.1,31.007111072540283,14
10.0,1711469274,,False,15,b1fd7ba7,2024-03-26_17-07-54,1.987287998199463,32.994399070739746,269,Nicolass-Air.technicolor.net,127.0.0.1,32.994399070739746,15
10.0,1711469276,,False,16,b1fd7ba7,2024-03-26_17-07-56,1.9550609588623047,34.94946002960205,269,Nicolass-Air.technicolor.net,127.0.0.1,34.94946002960205,16
10.0,1711469278,,False,17,b1fd7ba7,2024-03-26_17-07-58,1.8499228954315186,36.79938292503357,269,Nicolass-Air.technicolor.net,127.0.0.1,36.79938292503357,17
10.0,1711469280,,False,18,b1fd7ba7,2024-03-26_17-08-00,2.1484389305114746,38.947821855545044,269,Nicolass-Air.technicolor.net,127.0.0.1,38.947821855545044,18
10.0,1711469282,,False,19,b1fd7ba7,2024-03-26_17-08-02,1.9175050258636475,40.86532688140869,269,Nicolass-Air.technicolor.net,127.0.0.1,40.86532688140869,19
10.0,1711469284,,False,20,b1fd7ba7,2024-03-26_17-08-04,2.0960381031036377,42.96136498451233,269,Nicolass-Air.technicolor.net,127.0.0.1,42.96136498451233,20
10.0,1711469285,,False,21,b1fd7ba7,2024-03-26_17-08-05,1.6368560791015625,44.59822106361389,269,Nicolass-Air.technicolor.net,127.0.0.1,44.59822106361389,21
10.0,1711469288,,False,22,b1fd7ba7,2024-03-26_17-08-08,1.831017017364502,46.429238080978394,269,Nicolass-Air.technicolor.net,127.0.0.1,46.429238080978394,22
10.0,1711469290,,False,23,b1fd7ba7,2024-03-26_17-08-10,2.003136157989502,48.432374238967896,269,Nicolass-Air.technicolor.net,127.0.0.1,48.432374238967896,23
10.0,1711469292,,False,24,b1fd7ba7,2024-03-26_17-08-12,1.8195710182189941,50.25194525718689,269,Nicolass-Air.technicolor.net,127.0.0.1,50.25194525718689,24
10.0,1711469294,,False,25,b1fd7ba7,2024-03-26_17-08-14,1.8650758266448975,52.11702108383179,269,Nicolass-Air.technicolor.net,127.0.0.1,52.11702108383179,25
10.0,1711469296,,False,26,b1fd7ba7,2024-03-26_17-08-16,1.8742752075195312,53.99129629135132,269,Nicolass-Air.technicolor.net,127.0.0.1,53.99129629135132,26
10.0,1711469298,,False,27,b1fd7ba7,2024-03-26_17-08-18,1.9723179340362549,55.96361422538757,269,Nicolass-Air.technicolor.net,127.0.0.1,55.96361422538757,27
0.0,1711469299,,False,28,b1fd7ba7,2024-03-26_17-08-19,1.0997860431671143,57.06340026855469,269,Nicolass-Air.technicolor.net,127.0.0.1,57.06340026855469,28
