reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
15.5,1711468171,,False,1,b4b81687,2024-03-26_16-49-31,0.7052867412567139,0.7052867412567139,284,Nicolass-Air.technicolor.net,127.0.0.1,0.7052867412567139,1
17.25,1711468172,,False,2,b4b81687,2024-03-26_16-49-32,0.9286060333251953,1.6338927745819092,284,Nicolass-Air.technicolor.net,127.0.0.1,1.6338927745819092,2
21.0,1711468174,,False,3,b4b81687,2024-03-26_16-49-34,1.4696662425994873,3.1035590171813965,284,Nicolass-Air.technicolor.net,127.0.0.1,3.1035590171813965,3
19.0,1711468176,,False,4,b4b81687,2024-03-26_16-49-36,1.7058830261230469,4.809442043304443,284,Nicolass-Air.technicolor.net,127.0.0.1,4.809442043304443,4
21.875,1711468177,,False,5,b4b81687,2024-03-26_16-49-37,1.5232210159301758,6.332663059234619,284,Nicolass-Air.technicolor.net,127.0.0.1,6.332663059234619,5
20.875,1711468179,,False,6,b4b81687,2024-03-26_16-49-39,1.4220921993255615,7.754755258560181,284,Nicolass-Air.technicolor.net,127.0.0.1,7.754755258560181,6
21.125,1711468180,,False,7,b4b81687,2024-03-26_16-49-40,1.2927780151367188,9.0475332736969,284,Nicolass-Air.technicolor.net,127.0.0.1,9.0475332736969,7
19.375,1711468181,,False,8,b4b81687,2024-03-26_16-49-41,1.087195873260498,10.134729146957397,284,Nicolass-Air.technicolor.net,127.0.0.1,10.134729146957397,8
19.0,1711468182,,False,9,b4b81687,2024-03-26_16-49-42,1.0964040756225586,11.231133222579956,284,Nicolass-Air.technicolor.net,127.0.0.1,11.231133222579956,9
23.125,1711468185,,False,10,b4b81687,2024-03-26_16-49-45,1.1499650478363037,12.38109827041626,284,Nicolass-Air.technicolor.net,127.0.0.1,12.38109827041626,10
22.125,1711468186,,False,11,b4b81687,2024-03-26_16-49-46,1.1939678192138672,13.575066089630127,284,Nicolass-Air.technicolor.net,127.0.0.1,13.575066089630127,11
25.0,1711468187,,False,12,b4b81687,2024-03-26_16-49-47,1.352247953414917,14.927314043045044,284,Nicolass-Air.technicolor.net,127.0.0.1,14.927314043045044,12
24.375,1711468189,,False,13,b4b81687,2024-03-26_16-49-49,1.311903953552246,16.23921799659729,284,Nicolass-Air.technicolor.net,127.0.0.1,16.23921799659729,13
26.625,1711468190,,False,14,b4b81687,2024-03-26_16-49-50,1.4759619235992432,17.715179920196533,284,Nicolass-Air.technicolor.net,127.0.0.1,17.715179920196533,14
26.625,1711468191,,False,15,b4b81687,2024-03-26_16-49-51,1.3817121982574463,19.09689211845398,284,Nicolass-Air.technicolor.net,127.0.0.1,19.09689211845398,15
26.625,1711468193,,False,16,b4b81687,2024-03-26_16-49-53,1.3815279006958008,20.47842001914978,284,Nicolass-Air.technicolor.net,127.0.0.1,20.47842001914978,16
25.5,1711468194,,False,17,b4b81687,2024-03-26_16-49-54,1.5013282299041748,21.979748249053955,284,Nicolass-Air.technicolor.net,127.0.0.1,21.979748249053955,17
23.25,1711468195,,False,18,b4b81687,2024-03-26_16-49-55,1.2162480354309082,23.195996284484863,284,Nicolass-Air.technicolor.net,127.0.0.1,23.195996284484863,18
26.625,1711468197,,False,19,b4b81687,2024-03-26_16-49-57,1.6616499423980713,24.857646226882935,284,Nicolass-Air.technicolor.net,127.0.0.1,24.857646226882935,19
29.125,1711468199,,False,20,b4b81687,2024-03-26_16-49-59,1.7235209941864014,26.581167221069336,284,Nicolass-Air.technicolor.net,127.0.0.1,26.581167221069336,20
30.25,1711468201,,False,21,b4b81687,2024-03-26_16-50-01,1.7075409889221191,28.288708209991455,284,Nicolass-Air.technicolor.net,127.0.0.1,28.288708209991455,21
30.25,1711468202,,False,22,b4b81687,2024-03-26_16-50-02,1.5479001998901367,29.836608409881592,284,Nicolass-Air.technicolor.net,127.0.0.1,29.836608409881592,22
30.0,1711468204,,False,23,b4b81687,2024-03-26_16-50-04,2.0390748977661133,31.875683307647705,284,Nicolass-Air.technicolor.net,127.0.0.1,31.875683307647705,23
30.0,1711468206,,False,24,b4b81687,2024-03-26_16-50-06,1.7616682052612305,33.637351512908936,284,Nicolass-Air.technicolor.net,127.0.0.1,33.637351512908936,24
30.0,1711468208,,False,25,b4b81687,2024-03-26_16-50-08,1.6042060852050781,35.241557598114014,284,Nicolass-Air.technicolor.net,127.0.0.1,35.241557598114014,25
30.0,1711468209,,False,26,b4b81687,2024-03-26_16-50-09,1.5439071655273438,36.78546476364136,284,Nicolass-Air.technicolor.net,127.0.0.1,36.78546476364136,26
30.0,1711468211,,False,27,b4b81687,2024-03-26_16-50-11,1.629148006439209,38.414612770080566,284,Nicolass-Air.technicolor.net,127.0.0.1,38.414612770080566,27
30.0,1711468212,,False,28,b4b81687,2024-03-26_16-50-12,1.6120810508728027,40.02669382095337,284,Nicolass-Air.technicolor.net,127.0.0.1,40.02669382095337,28
30.0,1711468214,,False,29,b4b81687,2024-03-26_16-50-14,1.6033332347869873,41.630027055740356,284,Nicolass-Air.technicolor.net,127.0.0.1,41.630027055740356,29
30.0,1711468216,,False,30,b4b81687,2024-03-26_16-50-16,1.699676752090454,43.32970380783081,284,Nicolass-Air.technicolor.net,127.0.0.1,43.32970380783081,30
30.0,1711468217,,False,31,b4b81687,2024-03-26_16-50-17,1.6755151748657227,45.00521898269653,284,Nicolass-Air.technicolor.net,127.0.0.1,45.00521898269653,31
30.0,1711468219,,False,32,b4b81687,2024-03-26_16-50-19,1.6456339359283447,46.65085291862488,284,Nicolass-Air.technicolor.net,127.0.0.1,46.65085291862488,32
