reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
20.0,1711467948,,False,1,b53a8e1c,2024-03-26_16-45-48,1.9363288879394531,1.9363288879394531,284,Nicolass-Air.technicolor.net,127.0.0.1,1.9363288879394531,1
60.0,1711467951,,False,2,b53a8e1c,2024-03-26_16-45-51,3.1535491943359375,5.089878082275391,284,Nicolass-Air.technicolor.net,127.0.0.1,5.089878082275391,2
26.0,1711467954,,False,3,b53a8e1c,2024-03-26_16-45-54,2.5981850624084473,7.688063144683838,284,Nicolass-Air.technicolor.net,127.0.0.1,7.688063144683838,3
26.0,1711467956,,False,4,b53a8e1c,2024-03-26_16-45-56,2.28275203704834,9.970815181732178,284,Nicolass-Air.technicolor.net,127.0.0.1,9.970815181732178,4
26.0,1711467959,,False,5,b53a8e1c,2024-03-26_16-45-59,2.3341240882873535,12.304939270019531,284,Nicolass-Air.technicolor.net,127.0.0.1,12.304939270019531,5
26.0,1711467961,,False,6,b53a8e1c,2024-03-26_16-46-01,2.3549001216888428,14.659839391708374,284,Nicolass-Air.technicolor.net,127.0.0.1,14.659839391708374,6
26.0,1711467963,,False,7,b53a8e1c,2024-03-26_16-46-03,2.460693120956421,17.120532512664795,284,Nicolass-Air.technicolor.net,127.0.0.1,17.120532512664795,7
26.0,1711467966,,False,8,b53a8e1c,2024-03-26_16-46-06,2.233016014099121,19.353548526763916,284,Nicolass-Air.technicolor.net,127.0.0.1,19.353548526763916,8
26.0,1711467968,,False,9,b53a8e1c,2024-03-26_16-46-08,2.2528469562530518,21.606395483016968,284,Nicolass-Air.technicolor.net,127.0.0.1,21.606395483016968,9
26.0,1711467970,,False,10,b53a8e1c,2024-03-26_16-46-10,2.1183390617370605,23.72473454475403,284,Nicolass-Air.technicolor.net,127.0.0.1,23.72473454475403,10
26.0,1711467972,,False,11,b53a8e1c,2024-03-26_16-46-12,2.2058680057525635,25.930602550506592,284,Nicolass-Air.technicolor.net,127.0.0.1,25.930602550506592,11
26.0,1711467975,,False,12,b53a8e1c,2024-03-26_16-46-15,2.321160078048706,28.251762628555298,284,Nicolass-Air.technicolor.net,127.0.0.1,28.251762628555298,12
26.0,1711467977,,False,13,b53a8e1c,2024-03-26_16-46-17,2.174888849258423,30.42665147781372,284,Nicolass-Air.technicolor.net,127.0.0.1,30.42665147781372,13
26.0,1711467979,,False,14,b53a8e1c,2024-03-26_16-46-19,2.4218568801879883,32.84850835800171,284,Nicolass-Air.technicolor.net,127.0.0.1,32.84850835800171,14
26.0,1711467981,,False,15,b53a8e1c,2024-03-26_16-46-21,2.270214796066284,35.11872315406799,284,Nicolass-Air.technicolor.net,127.0.0.1,35.11872315406799,15
26.0,1711467984,,False,16,b53a8e1c,2024-03-26_16-46-24,2.402533769607544,37.52125692367554,284,Nicolass-Air.technicolor.net,127.0.0.1,37.52125692367554,16
26.0,1711467986,,False,17,b53a8e1c,2024-03-26_16-46-26,2.3333828449249268,39.854639768600464,284,Nicolass-Air.technicolor.net,127.0.0.1,39.854639768600464,17
26.0,1711467988,,False,18,b53a8e1c,2024-03-26_16-46-28,2.1610450744628906,42.015684843063354,284,Nicolass-Air.technicolor.net,127.0.0.1,42.015684843063354,18
26.0,1711467990,,False,19,b53a8e1c,2024-03-26_16-46-30,2.1586310863494873,44.17431592941284,284,Nicolass-Air.technicolor.net,127.0.0.1,44.17431592941284,19
26.0,1711467993,,False,20,b53a8e1c,2024-03-26_16-46-33,2.139064073562622,46.313380002975464,284,Nicolass-Air.technicolor.net,127.0.0.1,46.313380002975464,20
26.0,1711467995,,False,21,b53a8e1c,2024-03-26_16-46-35,2.3597781658172607,48.673158168792725,284,Nicolass-Air.technicolor.net,127.0.0.1,48.673158168792725,21
26.0,1711467997,,False,22,b53a8e1c,2024-03-26_16-46-37,2.130506992340088,50.80366516113281,284,Nicolass-Air.technicolor.net,127.0.0.1,50.80366516113281,22
26.0,1711467999,,False,23,b53a8e1c,2024-03-26_16-46-39,2.3376498222351074,53.14131498336792,284,Nicolass-Air.technicolor.net,127.0.0.1,53.14131498336792,23
26.0,1711468002,,False,24,b53a8e1c,2024-03-26_16-46-42,2.3599421977996826,55.5012571811676,284,Nicolass-Air.technicolor.net,127.0.0.1,55.5012571811676,24
26.0,1711468005,,False,25,b53a8e1c,2024-03-26_16-46-45,2.6966280937194824,58.197885274887085,284,Nicolass-Air.technicolor.net,127.0.0.1,58.197885274887085,25
26.0,1711468007,,False,26,b53a8e1c,2024-03-26_16-46-47,2.3394510746002197,60.537336349487305,284,Nicolass-Air.technicolor.net,127.0.0.1,60.537336349487305,26
26.0,1711468009,,False,27,b53a8e1c,2024-03-26_16-46-49,2.4247066974639893,62.962043046951294,284,Nicolass-Air.technicolor.net,127.0.0.1,62.962043046951294,27
26.0,1711468012,,False,28,b53a8e1c,2024-03-26_16-46-52,2.219649076461792,65.18169212341309,284,Nicolass-Air.technicolor.net,127.0.0.1,65.18169212341309,28
26.0,1711468014,,False,29,b53a8e1c,2024-03-26_16-46-54,2.3310580253601074,67.5127501487732,284,Nicolass-Air.technicolor.net,127.0.0.1,67.5127501487732,29
26.0,1711468016,,False,30,b53a8e1c,2024-03-26_16-46-56,2.1728219985961914,69.68557214736938,284,Nicolass-Air.technicolor.net,127.0.0.1,69.68557214736938,30
26.0,1711468018,,False,31,b53a8e1c,2024-03-26_16-46-58,2.25537109375,71.94094324111938,284,Nicolass-Air.technicolor.net,127.0.0.1,71.94094324111938,31
26.0,1711468023,,False,32,b53a8e1c,2024-03-26_16-47-03,2.0811939239501953,74.02213716506958,284,Nicolass-Air.technicolor.net,127.0.0.1,74.02213716506958,32
26.0,1711468025,,False,33,b53a8e1c,2024-03-26_16-47-05,2.1655218601226807,76.18765902519226,284,Nicolass-Air.technicolor.net,127.0.0.1,76.18765902519226,33
26.0,1711468027,,False,34,b53a8e1c,2024-03-26_16-47-07,2.0872859954833984,78.27494502067566,284,Nicolass-Air.technicolor.net,127.0.0.1,78.27494502067566,34
26.0,1711468029,,False,35,b53a8e1c,2024-03-26_16-47-09,2.1251449584960938,80.40008997917175,284,Nicolass-Air.technicolor.net,127.0.0.1,80.40008997917175,35
26.0,1711468031,,False,36,b53a8e1c,2024-03-26_16-47-11,2.066749095916748,82.4668390750885,284,Nicolass-Air.technicolor.net,127.0.0.1,82.4668390750885,36
26.0,1711468033,,False,37,b53a8e1c,2024-03-26_16-47-13,2.139813184738159,84.60665225982666,284,Nicolass-Air.technicolor.net,127.0.0.1,84.60665225982666,37
26.0,1711468036,,False,38,b53a8e1c,2024-03-26_16-47-16,2.4609081745147705,87.06756043434143,284,Nicolass-Air.technicolor.net,127.0.0.1,87.06756043434143,38
26.0,1711468038,,False,39,b53a8e1c,2024-03-26_16-47-18,2.226789951324463,89.2943503856659,284,Nicolass-Air.technicolor.net,127.0.0.1,89.2943503856659,39
26.0,1711468040,,False,40,b53a8e1c,2024-03-26_16-47-20,2.1346070766448975,91.42895746231079,284,Nicolass-Air.technicolor.net,127.0.0.1,91.42895746231079,40
