reward,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
24.0,1711466706,,False,1,bdf8500f,2024-03-26_16-25-06,4.598456144332886,4.598456144332886,284,Nicolass-Air.technicolor.net,127.0.0.1,4.598456144332886,1
18.5,1711466710,,False,2,bdf8500f,2024-03-26_16-25-10,4.652879238128662,9.251335382461548,284,Nicolass-Air.technicolor.net,127.0.0.1,9.251335382461548,2
18.25,1711466715,,False,3,bdf8500f,2024-03-26_16-25-15,4.50189995765686,13.753235340118408,284,Nicolass-Air.technicolor.net,127.0.0.1,13.753235340118408,3
17.0,1711466719,,False,4,bdf8500f,2024-03-26_16-25-19,4.2291998863220215,17.98243522644043,284,Nicolass-Air.technicolor.net,127.0.0.1,17.98243522644043,4
13.5,1711466723,,False,5,bdf8500f,2024-03-26_16-25-23,3.6394360065460205,21.62187123298645,284,Nicolass-Air.technicolor.net,127.0.0.1,21.62187123298645,5
11.625,1711466726,,False,6,bdf8500f,2024-03-26_16-25-26,3.174819231033325,24.796690464019775,284,Nicolass-Air.technicolor.net,127.0.0.1,24.796690464019775,6
9.0,1711466729,,False,7,bdf8500f,2024-03-26_16-25-29,2.6065921783447266,27.403282642364502,284,Nicolass-Air.technicolor.net,127.0.0.1,27.403282642364502,7
9.0,1711466731,,False,8,bdf8500f,2024-03-26_16-25-31,2.651486873626709,30.05476951599121,284,Nicolass-Air.technicolor.net,127.0.0.1,30.05476951599121,8
9.0,1711466734,,False,9,bdf8500f,2024-03-26_16-25-34,2.5610311031341553,32.615800619125366,284,Nicolass-Air.technicolor.net,127.0.0.1,32.615800619125366,9
9.0,1711466737,,False,10,bdf8500f,2024-03-26_16-25-37,2.6995468139648438,35.31534743309021,284,Nicolass-Air.technicolor.net,127.0.0.1,35.31534743309021,10
9.0,1711466739,,False,11,bdf8500f,2024-03-26_16-25-39,2.63651704788208,37.95186448097229,284,Nicolass-Air.technicolor.net,127.0.0.1,37.95186448097229,11
9.0,1711466742,,False,12,bdf8500f,2024-03-26_16-25-42,2.4877469539642334,40.43961143493652,284,Nicolass-Air.technicolor.net,127.0.0.1,40.43961143493652,12
0.0,1711466743,,False,13,bdf8500f,2024-03-26_16-25-43,1.325118064880371,41.764729499816895,284,Nicolass-Air.technicolor.net,127.0.0.1,41.764729499816895,13
